|dates|Wyoming_NewYork_UnitedStates.JHU_ConfirmedCases.data|Wyoming_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Wyoming_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Wyoming_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Wyoming_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Wyoming_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|1.0|0|0.0|0
0|2020-03-24|4.0|0|1.0|0|0.0|0
0|2020-03-25|4.0|0|1.0|0|0.0|0
0|2020-03-26|7.0|0|1.0|0|0.0|0
0|2020-03-27|7.0|0|1.0|0|0.0|0
0|2020-03-28|7.0|0|1.0|0|0.0|0
0|2020-03-29|8.0|0|1.0|0|0.0|0
0|2020-03-30|8.0|0|1.0|0|0.0|0
0|2020-03-31|8.0|0|1.0|0|0.0|0
0|2020-04-01|10.0|0|1.0|0|0.0|0
0|2020-04-02|14.0|0|1.0|0|0.0|0
0|2020-04-03|15.0|0|1.0|0|0.0|0
0|2020-04-04|18.0|0|1.0|0|0.0|0
0|2020-04-05|22.0|0|1.0|0|0.0|0
0|2020-04-06|23.0|0|1.0|0|0.0|0
0|2020-04-07|23.0|0|1.0|0|0.0|0
0|2020-04-08|27.0|0|1.0|0|0.0|0
0|2020-04-09|29.0|0|1.0|0|0.0|0
0|2020-04-10|30.0|0|1.0|0|0.0|0
0|2020-04-11|31.0|0|1.0|0|0.0|0
0|2020-04-12|31.0|0|1.0|0|0.0|0
0|2020-04-13|31.0|0|1.0|0|0.0|0
0|2020-04-14|32.0|0|1.0|0|0.0|0
0|2020-04-15|42.0|0|3.0|0|0.0|0
0|2020-04-16|42.0|0|3.0|0|0.0|0
0|2020-04-17|44.0|0|3.0|0|0.0|0
0|2020-04-18|44.0|0|3.0|0|0.0|0
0|2020-04-19|44.0|0|3.0|0|0.0|0
0|2020-04-20|44.0|0|3.0|0|0.0|0
0|2020-04-21|44.0|0|3.0|0|0.0|0
0|2020-04-22|44.0|0|3.0|0|0.0|0
0|2020-04-23|41.0|0|4.0|0|0.0|0
0|2020-04-24|43.0|0|5.0|0|0.0|0
0|2020-04-25|57.0|0|5.0|0|0.0|0
0|2020-04-26|59.0|0|5.0|0|0.0|0
0|2020-04-27|63.0|0|5.0|0|0.0|0
0|2020-04-28|63.0|0|5.0|0|0.0|0
0|2020-04-29|65.0|0|5.0|0|0.0|0
0|2020-04-30|67.0|0|5.0|0|0.0|0
0|2020-05-01|68.0|0|5.0|0|0.0|0
0|2020-05-02|69.0|0|5.0|0|0.0|0
0|2020-05-03|69.0|0|5.0|0|0.0|0
0|2020-05-04|69.0|0|5.0|0|0.0|0
0|2020-05-05|70.0|0|5.0|0|0.0|0
0|2020-05-06|70.0|0|5.0|0|0.0|0
0|2020-05-07|71.0|0|5.0|0|0.0|0
0|2020-05-08|73.0|0|5.0|0|0.0|0
0|2020-05-09|75.0|0|5.0|0|0.0|0
0|2020-05-10|77.0|0|5.0|0|0.0|0
0|2020-05-11|77.0|0|5.0|0|0.0|0
0|2020-05-12|77.0|0|5.0|0|0.0|0
0|2020-05-13|77.0|0|5.0|0|0.0|0
