|dates|Keweenaw_Michigan_UnitedStates.JHU_ConfirmedCases.data|Keweenaw_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Keweenaw_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Keweenaw_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Keweenaw_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Keweenaw_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|2.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|16.0|0|0.0|0|0.0|0
0|2020-03-14|25.0|0|0.0|0|0.0|0
0|2020-03-15|32.0|0|0.0|0|0.0|0
0|2020-03-16|54.0|0|0.0|0|0.0|0
0|2020-03-17|63.0|0|0.0|0|0.0|0
0|2020-03-18|119.0|0|1.0|0|0.0|0
0|2020-03-19|259.0|0|1.0|0|0.0|0
0|2020-03-20|402.0|0|1.0|0|0.0|0
0|2020-03-21|540.0|0|3.0|0|0.0|0
0|2020-03-22|1035.0|0|9.0|0|0.0|0
0|2020-03-23|1329.0|0|15.0|0|0.0|0
0|2020-03-24|1793.0|0|24.0|0|0.0|0
0|2020-03-25|2296.0|0|43.0|0|0.0|0
0|2020-03-26|2845.0|0|61.0|0|0.0|0
0|2020-03-27|3634.0|0|92.0|0|0.0|0
0|2020-03-28|4650.0|0|111.0|0|0.0|0
0|2020-03-29|5488.0|0|132.0|0|0.0|0
0|2020-03-30|6498.0|0|184.0|0|0.0|0
0|2020-03-31|7615.0|0|259.0|0|0.0|0
0|2020-04-01|9315.0|0|335.0|0|0.0|0
0|2020-04-02|10791.0|0|417.0|0|0.0|0
0|2020-04-03|12744.0|0|479.0|0|0.0|0
0|2020-04-04|14226.0|0|540.0|0|0.0|0
0|2020-04-05|15718.0|0|617.0|0|0.0|0
0|2020-04-06|17221.0|0|727.0|0|0.0|0
0|2020-04-07|18970.0|0|845.0|0|0.0|0
0|2020-04-08|20346.0|0|959.0|0|0.0|0
0|2020-04-09|21504.0|0|1076.0|0|0.0|0
0|2020-04-10|22434.0|0|1276.0|0|0.0|0
0|2020-04-11|23605.0|0|1384.0|0|0.0|0
0|2020-04-12|24244.0|0|1479.0|0|0.0|0
0|2020-04-13|25635.0|0|1602.0|0|0.0|0
0|2020-04-14|27001.0|0|1768.0|0|0.0|0
0|2020-04-15|28059.0|0|1921.0|0|0.0|0
0|2020-04-16|28809.0|0|1996.0|0|0.0|0
0|2020-04-17|30023.0|0|2227.0|0|0.0|0
0|2020-04-18|30791.0|0|2308.0|0|0.0|0
0|2020-04-19|31424.0|0|2391.0|0|0.0|0
0|2020-04-20|32000.0|0|2468.0|0|0.0|0
0|2020-04-21|32667.0|0|2575.0|0|0.0|0
0|2020-04-22|33966.0|0|2813.0|0|0.0|0
0|2020-04-23|35296.0|0|2977.0|0|0.0|0
0|2020-04-24|36641.0|0|3085.0|0|0.0|0
0|2020-04-25|37074.0|0|3155.0|0|0.0|0
0|2020-04-26|37778.0|0|3315.0|0|0.0|0
0|2020-04-27|38210.0|0|3407.0|0|0.0|0
0|2020-04-28|39262.0|0|3568.0|0|0.0|0
0|2020-04-29|40399.0|0|3670.0|0|0.0|0
0|2020-04-30|41379.0|0|3789.0|0|0.0|0
0|2020-05-01|42356.0|0|3866.0|0|0.0|0
0|2020-05-02|43207.0|0|4021.0|0|0.0|0
0|2020-05-03|43801.0|0|4053.0|0|0.0|0
0|2020-05-04|43990.0|0|4139.0|0|0.0|0
0|2020-05-05|44451.0|0|4183.0|0|0.0|0
0|2020-05-06|44451.0|0|4183.0|0|0.0|0
0|2020-05-07|44451.0|0|4183.0|0|0.0|0
0|2020-05-08|44451.0|0|4183.0|0|0.0|0
0|2020-05-09|44451.0|0|4183.0|0|0.0|0
0|2020-05-10|44451.0|0|4183.0|0|0.0|0
0|2020-05-11|44451.0|0|4183.0|0|0.0|0
0|2020-05-12|44451.0|0|4183.0|0|0.0|0
0|2020-05-13|44451.0|0|4183.0|0|0.0|0
