|dates|St.Lucie_Florida_UnitedStates.JHU_ConfirmedCases.data|St.Lucie_Florida_UnitedStates.JHU_ConfirmedCases.missing|St.Lucie_Florida_UnitedStates.JHU_ConfirmedDeaths.data|St.Lucie_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|St.Lucie_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|St.Lucie_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|5.0|0|0.0|0|0.0|0
0|2020-03-24|6.0|0|0.0|0|0.0|0
0|2020-03-25|8.0|0|0.0|0|0.0|0
0|2020-03-26|10.0|0|0.0|0|0.0|0
0|2020-03-27|14.0|0|1.0|0|0.0|0
0|2020-03-28|21.0|0|1.0|0|0.0|0
0|2020-03-29|23.0|0|1.0|0|0.0|0
0|2020-03-30|29.0|0|2.0|0|0.0|0
0|2020-03-31|38.0|0|2.0|0|0.0|0
0|2020-04-01|40.0|0|2.0|0|0.0|0
0|2020-04-02|48.0|0|3.0|0|0.0|0
0|2020-04-03|60.0|0|3.0|0|0.0|0
0|2020-04-04|76.0|0|3.0|0|0.0|0
0|2020-04-05|82.0|0|3.0|0|0.0|0
0|2020-04-06|100.0|0|4.0|0|0.0|0
0|2020-04-07|118.0|0|5.0|0|0.0|0
0|2020-04-08|130.0|0|6.0|0|0.0|0
0|2020-04-09|132.0|0|6.0|0|0.0|0
0|2020-04-10|144.0|0|6.0|0|0.0|0
0|2020-04-11|148.0|0|6.0|0|0.0|0
0|2020-04-12|152.0|0|6.0|0|0.0|0
0|2020-04-13|161.0|0|7.0|0|0.0|0
0|2020-04-14|165.0|0|7.0|0|0.0|0
0|2020-04-15|172.0|0|8.0|0|0.0|0
0|2020-04-16|186.0|0|9.0|0|0.0|0
0|2020-04-17|192.0|0|11.0|0|0.0|0
0|2020-04-18|196.0|0|13.0|0|0.0|0
0|2020-04-19|202.0|0|15.0|0|0.0|0
0|2020-04-20|204.0|0|15.0|0|0.0|0
0|2020-04-21|206.0|0|16.0|0|0.0|0
0|2020-04-22|207.0|0|16.0|0|0.0|0
0|2020-04-23|220.0|0|17.0|0|0.0|0
0|2020-04-24|223.0|0|19.0|0|0.0|0
0|2020-04-25|225.0|0|19.0|0|0.0|0
0|2020-04-26|228.0|0|19.0|0|0.0|0
0|2020-04-27|236.0|0|20.0|0|0.0|0
0|2020-04-28|239.0|0|22.0|0|0.0|0
0|2020-04-29|239.0|0|22.0|0|0.0|0
0|2020-04-30|247.0|0|22.0|0|0.0|0
0|2020-05-01|249.0|0|23.0|0|0.0|0
0|2020-05-02|254.0|0|24.0|0|0.0|0
0|2020-05-03|257.0|0|24.0|0|0.0|0
0|2020-05-04|260.0|0|25.0|0|0.0|0
0|2020-05-05|259.0|0|25.0|0|0.0|0
0|2020-05-06|265.0|0|25.0|0|0.0|0
0|2020-05-07|271.0|0|25.0|0|0.0|0
0|2020-05-08|275.0|0|25.0|0|0.0|0
0|2020-05-09|280.0|0|25.0|0|0.0|0
0|2020-05-10|282.0|0|25.0|0|0.0|0
0|2020-05-11|282.0|0|25.0|0|0.0|0
0|2020-05-12|290.0|0|26.0|0|0.0|0
0|2020-05-13|299.0|0|26.0|0|0.0|0
