|dates|Dooly_Georgia_UnitedStates.JHU_ConfirmedCases.data|Dooly_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Dooly_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Dooly_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Dooly_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Dooly_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|0.0|0|0.0|0|0.0|0
0|2020-03-28|0.0|0|0.0|0|0.0|0
0|2020-03-29|0.0|0|0.0|0|0.0|0
0|2020-03-30|1.0|0|0.0|0|0.0|0
0|2020-03-31|6.0|0|0.0|0|0.0|0
0|2020-04-01|10.0|0|0.0|0|0.0|0
0|2020-04-02|11.0|0|0.0|0|0.0|0
0|2020-04-03|12.0|0|0.0|0|0.0|0
0|2020-04-04|15.0|0|1.0|0|0.0|0
0|2020-04-05|15.0|0|1.0|0|0.0|0
0|2020-04-06|19.0|0|1.0|0|0.0|0
0|2020-04-07|28.0|0|1.0|0|0.0|0
0|2020-04-08|27.0|0|1.0|0|0.0|0
0|2020-04-09|28.0|0|1.0|0|0.0|0
0|2020-04-10|35.0|0|1.0|0|0.0|0
0|2020-04-11|40.0|0|1.0|0|0.0|0
0|2020-04-12|40.0|0|1.0|0|0.0|0
0|2020-04-13|50.0|0|2.0|0|0.0|0
0|2020-04-14|51.0|0|2.0|0|0.0|0
0|2020-04-15|52.0|0|3.0|0|0.0|0
0|2020-04-16|63.0|0|4.0|0|0.0|0
0|2020-04-17|66.0|0|4.0|0|0.0|0
0|2020-04-18|69.0|0|4.0|0|0.0|0
0|2020-04-19|70.0|0|4.0|0|0.0|0
0|2020-04-20|71.0|0|5.0|0|0.0|0
0|2020-04-21|73.0|0|5.0|0|0.0|0
0|2020-04-22|74.0|0|6.0|0|0.0|0
0|2020-04-23|81.0|0|7.0|0|0.0|0
0|2020-04-24|106.0|0|7.0|0|0.0|0
0|2020-04-25|108.0|0|7.0|0|0.0|0
0|2020-04-26|112.0|0|7.0|0|0.0|0
0|2020-04-27|119.0|0|8.0|0|0.0|0
0|2020-04-28|119.0|0|8.0|0|0.0|0
0|2020-04-29|122.0|0|9.0|0|0.0|0
0|2020-04-30|129.0|0|9.0|0|0.0|0
0|2020-05-01|129.0|0|9.0|0|0.0|0
0|2020-05-02|131.0|0|9.0|0|0.0|0
0|2020-05-03|132.0|0|9.0|0|0.0|0
0|2020-05-04|133.0|0|12.0|0|0.0|0
0|2020-05-05|132.0|0|11.0|0|0.0|0
0|2020-05-06|133.0|0|11.0|0|0.0|0
0|2020-05-07|135.0|0|13.0|0|0.0|0
0|2020-05-08|140.0|0|12.0|0|0.0|0
0|2020-05-09|141.0|0|12.0|0|0.0|0
0|2020-05-10|146.0|0|12.0|0|0.0|0
0|2020-05-11|146.0|0|12.0|0|0.0|0
0|2020-05-12|148.0|0|12.0|0|0.0|0
0|2020-05-13|151.0|0|12.0|0|0.0|0
