|dates|Mahoning_Ohio_UnitedStates.JHU_ConfirmedCases.data|Mahoning_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Mahoning_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Mahoning_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Mahoning_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Mahoning_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|5.0|0|0.0|0|0.0|0
0|2020-03-20|7.0|0|0.0|0|0.0|0
0|2020-03-21|14.0|0|0.0|0|0.0|0
0|2020-03-22|18.0|0|0.0|0|0.0|0
0|2020-03-23|23.0|0|0.0|0|0.0|0
0|2020-03-24|28.0|0|0.0|0|0.0|0
0|2020-03-25|42.0|0|0.0|0|0.0|0
0|2020-03-26|51.0|0|1.0|0|0.0|0
0|2020-03-27|68.0|0|2.0|0|0.0|0
0|2020-03-28|80.0|0|2.0|0|0.0|0
0|2020-03-29|84.0|0|2.0|0|0.0|0
0|2020-03-30|117.0|0|4.0|0|0.0|0
0|2020-03-31|153.0|0|9.0|0|0.0|0
0|2020-04-01|177.0|0|10.0|0|0.0|0
0|2020-04-02|192.0|0|11.0|0|0.0|0
0|2020-04-03|220.0|0|12.0|0|0.0|0
0|2020-04-04|250.0|0|13.0|0|0.0|0
0|2020-04-05|261.0|0|15.0|0|0.0|0
0|2020-04-06|272.0|0|17.0|0|0.0|0
0|2020-04-07|300.0|0|19.0|0|0.0|0
0|2020-04-08|305.0|0|28.0|0|0.0|0
0|2020-04-09|334.0|0|28.0|0|0.0|0
0|2020-04-10|358.0|0|28.0|0|0.0|0
0|2020-04-11|375.0|0|31.0|0|0.0|0
0|2020-04-12|417.0|0|31.0|0|0.0|0
0|2020-04-13|443.0|0|31.0|0|0.0|0
0|2020-04-14|469.0|0|35.0|0|0.0|0
0|2020-04-15|486.0|0|41.0|0|0.0|0
0|2020-04-16|512.0|0|42.0|0|0.0|0
0|2020-04-17|547.0|0|44.0|0|0.0|0
0|2020-04-18|572.0|0|45.0|0|0.0|0
0|2020-04-19|589.0|0|48.0|0|0.0|0
0|2020-04-20|604.0|0|50.0|0|0.0|0
0|2020-04-21|621.0|0|54.0|0|0.0|0
0|2020-04-22|635.0|0|56.0|0|0.0|0
0|2020-04-23|666.0|0|62.0|0|0.0|0
0|2020-04-24|688.0|0|65.0|0|0.0|0
0|2020-04-25|721.0|0|66.0|0|0.0|0
0|2020-04-26|737.0|0|66.0|0|0.0|0
0|2020-04-27|764.0|0|65.0|0|0.0|0
0|2020-04-28|784.0|0|67.0|0|0.0|0
0|2020-04-29|804.0|0|81.0|0|0.0|0
0|2020-04-30|828.0|0|80.0|0|0.0|0
0|2020-05-01|853.0|0|82.0|0|0.0|0
0|2020-05-02|883.0|0|82.0|0|0.0|0
0|2020-05-03|937.0|0|83.0|0|0.0|0
0|2020-05-04|961.0|0|83.0|0|0.0|0
0|2020-05-05|998.0|0|92.0|0|0.0|0
0|2020-05-06|1024.0|0|108.0|0|0.0|0
0|2020-05-07|1044.0|0|115.0|0|0.0|0
0|2020-05-08|1087.0|0|119.0|0|0.0|0
0|2020-05-09|1104.0|0|122.0|0|0.0|0
0|2020-05-10|1119.0|0|122.0|0|0.0|0
0|2020-05-11|1119.0|0|122.0|0|0.0|0
0|2020-05-12|1150.0|0|132.0|0|0.0|0
0|2020-05-13|1163.0|0|134.0|0|0.0|0
