|dates|Rockingham_NewHampshire_UnitedStates.JHU_ConfirmedCases.data|Rockingham_NewHampshire_UnitedStates.JHU_ConfirmedCases.missing|Rockingham_NewHampshire_UnitedStates.JHU_ConfirmedDeaths.data|Rockingham_NewHampshire_UnitedStates.JHU_ConfirmedDeaths.missing|Rockingham_NewHampshire_UnitedStates.JHU_ConfirmedRecoveries.data|Rockingham_NewHampshire_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|2.0|0|0.0|0|0.0|0
0|2020-03-12|3.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|4.0|0|0.0|0|0.0|0
0|2020-03-15|4.0|0|0.0|0|0.0|0
0|2020-03-16|10.0|0|0.0|0|0.0|0
0|2020-03-17|14.0|0|0.0|0|0.0|0
0|2020-03-18|17.0|0|0.0|0|0.0|0
0|2020-03-19|17.0|0|0.0|0|0.0|0
0|2020-03-20|19.0|0|0.0|0|0.0|0
0|2020-03-21|25.0|0|0.0|0|0.0|0
0|2020-03-22|28.0|0|0.0|0|0.0|0
0|2020-03-23|28.0|0|0.0|0|0.0|0
0|2020-03-24|38.0|0|0.0|0|0.0|0
0|2020-03-25|42.0|0|0.0|0|0.0|0
0|2020-03-26|56.0|0|0.0|0|0.0|0
0|2020-03-27|67.0|0|0.0|0|0.0|0
0|2020-03-28|75.0|0|0.0|0|0.0|0
0|2020-03-29|86.0|0|0.0|0|0.0|0
0|2020-03-30|100.0|0|1.0|0|0.0|0
0|2020-03-31|137.0|0|1.0|0|0.0|0
0|2020-04-01|137.0|0|1.0|0|0.0|0
0|2020-04-02|170.0|0|1.0|0|0.0|0
0|2020-04-03|170.0|0|1.0|0|0.0|0
0|2020-04-04|190.0|0|1.0|0|0.0|0
0|2020-04-05|213.0|0|1.0|0|0.0|0
0|2020-04-06|246.0|0|1.0|0|0.0|0
0|2020-04-07|246.0|0|1.0|0|0.0|0
0|2020-04-08|255.0|0|1.0|0|0.0|0
0|2020-04-09|268.0|0|1.0|0|0.0|0
0|2020-04-10|268.0|0|1.0|0|0.0|0
0|2020-04-11|305.0|0|1.0|0|0.0|0
0|2020-04-12|314.0|0|1.0|0|0.0|0
0|2020-04-13|345.0|0|1.0|0|0.0|0
0|2020-04-14|378.0|0|1.0|0|0.0|0
0|2020-04-15|399.0|0|1.0|0|0.0|0
0|2020-04-16|399.0|0|1.0|0|0.0|0
0|2020-04-17|449.0|0|1.0|0|0.0|0
0|2020-04-18|466.0|0|1.0|0|0.0|0
0|2020-04-19|479.0|0|1.0|0|0.0|0
0|2020-04-20|489.0|0|1.0|0|0.0|0
0|2020-04-21|493.0|0|1.0|0|0.0|0
0|2020-04-22|519.0|0|1.0|0|0.0|0
0|2020-04-23|551.0|0|1.0|0|0.0|0
0|2020-04-24|568.0|0|1.0|0|0.0|0
0|2020-04-25|593.0|0|1.0|0|0.0|0
0|2020-04-26|619.0|0|1.0|0|0.0|0
0|2020-04-27|643.0|0|1.0|0|0.0|0
0|2020-04-28|664.0|0|1.0|0|0.0|0
0|2020-04-29|670.0|0|1.0|0|0.0|0
0|2020-04-30|692.0|0|16.0|0|0.0|0
0|2020-05-01|779.0|0|16.0|0|0.0|0
0|2020-05-02|828.0|0|16.0|0|0.0|0
0|2020-05-03|862.0|0|16.0|0|0.0|0
0|2020-05-04|878.0|0|16.0|0|0.0|0
0|2020-05-05|888.0|0|16.0|0|0.0|0
0|2020-05-06|903.0|0|16.0|0|0.0|0
0|2020-05-07|933.0|0|28.0|0|0.0|0
0|2020-05-08|949.0|0|28.0|0|0.0|0
0|2020-05-09|964.0|0|28.0|0|0.0|0
0|2020-05-10|978.0|0|28.0|0|0.0|0
0|2020-05-11|978.0|0|28.0|0|0.0|0
0|2020-05-12|1010.0|0|28.0|0|0.0|0
0|2020-05-13|1021.0|0|28.0|0|0.0|0
