|dates|Henderson_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Henderson_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Henderson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Henderson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Henderson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Henderson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|2.0|0|0.0|0|0.0|0
0|2020-03-26|2.0|0|0.0|0|0.0|0
0|2020-03-27|2.0|0|0.0|0|0.0|0
0|2020-03-28|3.0|0|0.0|0|0.0|0
0|2020-03-29|3.0|0|0.0|0|0.0|0
0|2020-03-30|3.0|0|0.0|0|0.0|0
0|2020-03-31|5.0|0|0.0|0|0.0|0
0|2020-04-01|5.0|0|0.0|0|0.0|0
0|2020-04-02|5.0|0|0.0|0|0.0|0
0|2020-04-03|5.0|0|0.0|0|0.0|0
0|2020-04-04|6.0|0|0.0|0|0.0|0
0|2020-04-05|6.0|0|0.0|0|0.0|0
0|2020-04-06|6.0|0|0.0|0|0.0|0
0|2020-04-07|6.0|0|0.0|0|0.0|0
0|2020-04-08|6.0|0|0.0|0|0.0|0
0|2020-04-09|9.0|0|0.0|0|0.0|0
0|2020-04-10|23.0|0|0.0|0|0.0|0
0|2020-04-11|23.0|0|0.0|0|0.0|0
0|2020-04-12|29.0|0|0.0|0|0.0|0
0|2020-04-13|29.0|0|0.0|0|0.0|0
0|2020-04-14|23.0|0|0.0|0|0.0|0
0|2020-04-15|20.0|0|0.0|0|0.0|0
0|2020-04-16|26.0|0|0.0|0|0.0|0
0|2020-04-17|25.0|0|0.0|0|0.0|0
0|2020-04-18|28.0|0|0.0|0|0.0|0
0|2020-04-19|28.0|0|0.0|0|0.0|0
0|2020-04-20|33.0|0|0.0|0|0.0|0
0|2020-04-21|36.0|0|0.0|0|0.0|0
0|2020-04-22|40.0|0|0.0|0|0.0|0
0|2020-04-23|40.0|0|1.0|0|0.0|0
0|2020-04-24|44.0|0|1.0|0|0.0|0
0|2020-04-25|45.0|0|1.0|0|0.0|0
0|2020-04-26|45.0|0|1.0|0|0.0|0
0|2020-04-27|49.0|0|1.0|0|0.0|0
0|2020-04-28|58.0|0|1.0|0|0.0|0
0|2020-04-29|58.0|0|1.0|0|0.0|0
0|2020-04-30|58.0|0|1.0|0|0.0|0
0|2020-05-01|62.0|0|1.0|0|0.0|0
0|2020-05-02|62.0|0|1.0|0|0.0|0
0|2020-05-03|65.0|0|1.0|0|0.0|0
0|2020-05-04|67.0|0|1.0|0|0.0|0
0|2020-05-05|73.0|0|2.0|0|0.0|0
0|2020-05-06|72.0|0|2.0|0|0.0|0
0|2020-05-07|75.0|0|2.0|0|0.0|0
0|2020-05-08|75.0|0|2.0|0|0.0|0
0|2020-05-09|77.0|0|2.0|0|0.0|0
0|2020-05-10|77.0|0|2.0|0|0.0|0
0|2020-05-11|77.0|0|2.0|0|0.0|0
0|2020-05-12|80.0|0|3.0|0|0.0|0
0|2020-05-13|80.0|0|3.0|0|0.0|0
