|dates|Gaston_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Gaston_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Gaston_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Gaston_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Gaston_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Gaston_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|4.0|0|0.0|0|0.0|0
0|2020-03-24|4.0|0|0.0|0|0.0|0
0|2020-03-25|6.0|0|0.0|0|0.0|0
0|2020-03-26|12.0|0|0.0|0|0.0|0
0|2020-03-27|17.0|0|0.0|0|0.0|0
0|2020-03-28|17.0|0|0.0|0|0.0|0
0|2020-03-29|21.0|0|0.0|0|0.0|0
0|2020-03-30|25.0|0|0.0|0|0.0|0
0|2020-03-31|27.0|0|0.0|0|0.0|0
0|2020-04-01|31.0|0|0.0|0|0.0|0
0|2020-04-02|33.0|0|1.0|0|0.0|0
0|2020-04-03|39.0|0|1.0|0|0.0|0
0|2020-04-04|43.0|0|1.0|0|0.0|0
0|2020-04-05|47.0|0|1.0|0|0.0|0
0|2020-04-06|58.0|0|1.0|0|0.0|0
0|2020-04-07|58.0|0|2.0|0|0.0|0
0|2020-04-08|62.0|0|3.0|0|0.0|0
0|2020-04-09|68.0|0|3.0|0|0.0|0
0|2020-04-10|73.0|0|3.0|0|0.0|0
0|2020-04-11|80.0|0|3.0|0|0.0|0
0|2020-04-12|81.0|0|3.0|0|0.0|0
0|2020-04-13|86.0|0|3.0|0|0.0|0
0|2020-04-14|86.0|0|3.0|0|0.0|0
0|2020-04-15|91.0|0|3.0|0|0.0|0
0|2020-04-16|95.0|0|3.0|0|0.0|0
0|2020-04-17|110.0|0|3.0|0|0.0|0
0|2020-04-18|110.0|0|3.0|0|0.0|0
0|2020-04-19|111.0|0|3.0|0|0.0|0
0|2020-04-20|112.0|0|3.0|0|0.0|0
0|2020-04-21|120.0|0|3.0|0|0.0|0
0|2020-04-22|124.0|0|3.0|0|0.0|0
0|2020-04-23|126.0|0|3.0|0|0.0|0
0|2020-04-24|127.0|0|3.0|0|0.0|0
0|2020-04-25|132.0|0|3.0|0|0.0|0
0|2020-04-26|136.0|0|3.0|0|0.0|0
0|2020-04-27|139.0|0|3.0|0|0.0|0
0|2020-04-28|139.0|0|3.0|0|0.0|0
0|2020-04-29|140.0|0|3.0|0|0.0|0
0|2020-04-30|140.0|0|3.0|0|0.0|0
0|2020-05-01|150.0|0|3.0|0|0.0|0
0|2020-05-02|150.0|0|3.0|0|0.0|0
0|2020-05-03|150.0|0|3.0|0|0.0|0
0|2020-05-04|152.0|0|3.0|0|0.0|0
0|2020-05-05|152.0|0|3.0|0|0.0|0
0|2020-05-06|155.0|0|4.0|0|0.0|0
0|2020-05-07|157.0|0|4.0|0|0.0|0
0|2020-05-08|161.0|0|4.0|0|0.0|0
0|2020-05-09|168.0|0|5.0|0|0.0|0
0|2020-05-10|178.0|0|5.0|0|0.0|0
0|2020-05-11|178.0|0|5.0|0|0.0|0
0|2020-05-12|178.0|0|5.0|0|0.0|0
0|2020-05-13|195.0|0|5.0|0|0.0|0
