|dates|Greene_Georgia_UnitedStates.JHU_ConfirmedCases.data|Greene_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Greene_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Greene_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Greene_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Greene_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|2.0|0|0.0|0|0.0|0
0|2020-03-26|1.0|0|0.0|0|0.0|0
0|2020-03-27|1.0|0|0.0|0|0.0|0
0|2020-03-28|1.0|0|0.0|0|0.0|0
0|2020-03-29|1.0|0|0.0|0|0.0|0
0|2020-03-30|3.0|0|0.0|0|0.0|0
0|2020-03-31|7.0|0|0.0|0|0.0|0
0|2020-04-01|8.0|0|0.0|0|0.0|0
0|2020-04-02|8.0|0|0.0|0|0.0|0
0|2020-04-03|9.0|0|0.0|0|0.0|0
0|2020-04-04|12.0|0|0.0|0|0.0|0
0|2020-04-05|12.0|0|0.0|0|0.0|0
0|2020-04-06|15.0|0|0.0|0|0.0|0
0|2020-04-07|21.0|0|1.0|0|0.0|0
0|2020-04-08|22.0|0|1.0|0|0.0|0
0|2020-04-09|23.0|0|1.0|0|0.0|0
0|2020-04-10|25.0|0|1.0|0|0.0|0
0|2020-04-11|25.0|0|1.0|0|0.0|0
0|2020-04-12|25.0|0|1.0|0|0.0|0
0|2020-04-13|29.0|0|1.0|0|0.0|0
0|2020-04-14|31.0|0|1.0|0|0.0|0
0|2020-04-15|34.0|0|1.0|0|0.0|0
0|2020-04-16|39.0|0|1.0|0|0.0|0
0|2020-04-17|40.0|0|1.0|0|0.0|0
0|2020-04-18|42.0|0|1.0|0|0.0|0
0|2020-04-19|43.0|0|1.0|0|0.0|0
0|2020-04-20|45.0|0|1.0|0|0.0|0
0|2020-04-21|45.0|0|1.0|0|0.0|0
0|2020-04-22|50.0|0|1.0|0|0.0|0
0|2020-04-23|49.0|0|1.0|0|0.0|0
0|2020-04-24|51.0|0|1.0|0|0.0|0
0|2020-04-25|53.0|0|1.0|0|0.0|0
0|2020-04-26|53.0|0|1.0|0|0.0|0
0|2020-04-27|54.0|0|1.0|0|0.0|0
0|2020-04-28|52.0|0|2.0|0|0.0|0
0|2020-04-29|54.0|0|2.0|0|0.0|0
0|2020-04-30|54.0|0|2.0|0|0.0|0
0|2020-05-01|55.0|0|2.0|0|0.0|0
0|2020-05-02|56.0|0|2.0|0|0.0|0
0|2020-05-03|54.0|0|3.0|0|0.0|0
0|2020-05-04|57.0|0|5.0|0|0.0|0
0|2020-05-05|57.0|0|5.0|0|0.0|0
0|2020-05-06|55.0|0|5.0|0|0.0|0
0|2020-05-07|56.0|0|5.0|0|0.0|0
0|2020-05-08|57.0|0|5.0|0|0.0|0
0|2020-05-09|57.0|0|5.0|0|0.0|0
0|2020-05-10|56.0|0|5.0|0|0.0|0
0|2020-05-11|56.0|0|5.0|0|0.0|0
0|2020-05-12|58.0|0|5.0|0|0.0|0
0|2020-05-13|57.0|0|5.0|0|0.0|0
