|dates|Humboldt_California_UnitedStates.JHU_ConfirmedCases.data|Humboldt_California_UnitedStates.JHU_ConfirmedCases.missing|Humboldt_California_UnitedStates.JHU_ConfirmedDeaths.data|Humboldt_California_UnitedStates.JHU_ConfirmedDeaths.missing|Humboldt_California_UnitedStates.JHU_ConfirmedRecoveries.data|Humboldt_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|1.0|0|0.0|0|0.0|0
0|2020-02-22|1.0|0|0.0|0|0.0|0
0|2020-02-23|1.0|0|0.0|0|0.0|0
0|2020-02-24|1.0|0|0.0|0|0.0|0
0|2020-02-25|1.0|0|0.0|0|0.0|0
0|2020-02-26|1.0|0|0.0|0|0.0|0
0|2020-02-27|1.0|0|0.0|0|0.0|0
0|2020-02-28|1.0|0|0.0|0|0.0|0
0|2020-02-29|1.0|0|0.0|0|0.0|0
0|2020-03-01|1.0|0|0.0|0|0.0|0
0|2020-03-02|1.0|0|0.0|0|0.0|0
0|2020-03-03|1.0|0|0.0|0|0.0|0
0|2020-03-04|1.0|0|0.0|0|0.0|0
0|2020-03-05|1.0|0|0.0|0|0.0|0
0|2020-03-06|1.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|4.0|0|0.0|0|0.0|0
0|2020-03-25|5.0|0|0.0|0|0.0|0
0|2020-03-26|10.0|0|0.0|0|0.0|0
0|2020-03-27|12.0|0|0.0|0|0.0|0
0|2020-03-28|14.0|0|0.0|0|0.0|0
0|2020-03-29|18.0|0|0.0|0|0.0|0
0|2020-03-30|18.0|0|0.0|0|0.0|0
0|2020-03-31|21.0|0|0.0|0|0.0|0
0|2020-04-01|27.0|0|0.0|0|0.0|0
0|2020-04-02|28.0|0|0.0|0|0.0|0
0|2020-04-03|37.0|0|0.0|0|0.0|0
0|2020-04-04|44.0|0|0.0|0|0.0|0
0|2020-04-05|44.0|0|0.0|0|0.0|0
0|2020-04-06|44.0|0|0.0|0|0.0|0
0|2020-04-07|49.0|0|0.0|0|0.0|0
0|2020-04-08|50.0|0|0.0|0|0.0|0
0|2020-04-09|50.0|0|0.0|0|0.0|0
0|2020-04-10|50.0|0|0.0|0|0.0|0
0|2020-04-11|50.0|0|0.0|0|0.0|0
0|2020-04-12|50.0|0|0.0|0|0.0|0
0|2020-04-13|50.0|0|0.0|0|0.0|0
0|2020-04-14|50.0|0|0.0|0|0.0|0
0|2020-04-15|51.0|0|0.0|0|0.0|0
0|2020-04-16|52.0|0|0.0|0|0.0|0
0|2020-04-17|52.0|0|0.0|0|0.0|0
0|2020-04-18|52.0|0|0.0|0|0.0|0
0|2020-04-19|52.0|0|0.0|0|0.0|0
0|2020-04-20|52.0|0|0.0|0|0.0|0
0|2020-04-21|52.0|0|0.0|0|0.0|0
0|2020-04-22|52.0|0|0.0|0|0.0|0
0|2020-04-23|52.0|0|0.0|0|0.0|0
0|2020-04-24|53.0|0|0.0|0|0.0|0
0|2020-04-25|53.0|0|0.0|0|0.0|0
0|2020-04-26|53.0|0|0.0|0|0.0|0
0|2020-04-27|53.0|0|0.0|0|0.0|0
0|2020-04-28|53.0|0|0.0|0|0.0|0
0|2020-04-29|54.0|0|0.0|0|0.0|0
0|2020-04-30|54.0|0|0.0|0|0.0|0
0|2020-05-01|54.0|0|0.0|0|0.0|0
0|2020-05-02|54.0|0|0.0|0|0.0|0
0|2020-05-03|54.0|0|0.0|0|0.0|0
0|2020-05-04|54.0|0|0.0|0|0.0|0
0|2020-05-05|54.0|0|0.0|0|0.0|0
0|2020-05-06|55.0|0|0.0|0|0.0|0
0|2020-05-07|55.0|0|0.0|0|0.0|0
0|2020-05-08|55.0|0|0.0|0|0.0|0
0|2020-05-09|55.0|0|0.0|0|0.0|0
0|2020-05-10|57.0|0|0.0|0|0.0|0
0|2020-05-11|57.0|0|0.0|0|0.0|0
0|2020-05-12|64.0|0|0.0|0|0.0|0
0|2020-05-13|64.0|0|0.0|0|0.0|0
