|dates|Hodgeman_Kansas_UnitedStates.JHU_ConfirmedCases.data|Hodgeman_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Hodgeman_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Hodgeman_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Hodgeman_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Hodgeman_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|4.0|0|0.0|0|0.0|0
0|2020-03-13|6.0|0|1.0|0|0.0|0
0|2020-03-14|8.0|0|1.0|0|0.0|0
0|2020-03-15|8.0|0|1.0|0|0.0|0
0|2020-03-16|11.0|0|1.0|0|0.0|0
0|2020-03-17|18.0|0|1.0|0|0.0|0
0|2020-03-18|22.0|0|1.0|0|0.0|0
0|2020-03-19|35.0|0|1.0|0|0.0|0
0|2020-03-20|48.0|0|1.0|0|0.0|0
0|2020-03-21|57.0|0|2.0|0|0.0|0
0|2020-03-22|65.0|0|2.0|0|0.0|0
0|2020-03-23|84.0|0|2.0|0|0.0|0
0|2020-03-24|100.0|0|2.0|0|0.0|0
0|2020-03-25|134.0|0|3.0|0|0.0|0
0|2020-03-26|172.0|0|3.0|0|0.0|0
0|2020-03-27|206.0|0|4.0|0|0.0|0
0|2020-03-28|266.0|0|4.0|0|0.0|0
0|2020-03-29|330.0|0|7.0|0|0.0|0
0|2020-03-30|372.0|0|8.0|0|0.0|0
0|2020-03-31|434.0|0|9.0|0|0.0|0
0|2020-04-01|485.0|0|10.0|0|0.0|0
0|2020-04-02|553.0|0|12.0|0|0.0|0
0|2020-04-03|630.0|0|18.0|0|0.0|0
0|2020-04-04|699.0|0|21.0|0|0.0|0
0|2020-04-05|751.0|0|22.0|0|0.0|0
0|2020-04-06|849.0|0|25.0|0|0.0|0
0|2020-04-07|912.0|0|29.0|0|0.0|0
0|2020-04-08|1046.0|0|34.0|0|0.0|0
0|2020-04-09|1116.0|0|42.0|0|0.0|0
0|2020-04-10|1117.0|0|42.0|0|0.0|0
0|2020-04-11|1275.0|0|55.0|0|0.0|0
0|2020-04-12|1344.0|0|56.0|0|0.0|0
0|2020-04-13|1390.0|0|62.0|0|0.0|0
0|2020-04-14|1441.0|0|69.0|0|0.0|0
0|2020-04-15|1504.0|0|71.0|0|0.0|0
0|2020-04-16|1615.0|0|80.0|0|0.0|0
0|2020-04-17|1730.0|0|82.0|0|0.0|0
0|2020-04-18|1821.0|0|85.0|0|0.0|0
0|2020-04-19|1905.0|0|93.0|0|0.0|0
0|2020-04-20|2048.0|0|102.0|0|0.0|0
0|2020-04-21|2164.0|0|109.0|0|0.0|0
0|2020-04-22|2331.0|0|112.0|0|0.0|0
0|2020-04-23|2721.0|0|113.0|0|0.0|0
0|2020-04-24|2959.0|0|118.0|0|0.0|0
0|2020-04-25|3135.0|0|120.0|0|0.0|0
0|2020-04-26|3277.0|0|121.0|0|0.0|0
0|2020-04-27|3473.0|0|126.0|0|0.0|0
0|2020-04-28|3652.0|0|127.0|0|0.0|0
0|2020-04-29|3839.0|0|134.0|0|0.0|0
0|2020-04-30|4413.0|0|134.0|0|0.0|0
0|2020-05-01|4634.0|0|140.0|0|0.0|0
0|2020-05-02|4885.0|0|142.0|0|0.0|0
0|2020-05-03|5156.0|0|144.0|0|0.0|0
0|2020-05-04|5383.0|0|156.0|0|0.0|0
0|2020-05-05|5648.0|0|161.0|0|0.0|0
0|2020-05-06|5648.0|0|161.0|0|0.0|0
0|2020-05-07|5648.0|0|161.0|0|0.0|0
0|2020-05-08|5648.0|0|161.0|0|0.0|0
0|2020-05-09|5648.0|0|161.0|0|0.0|0
0|2020-05-10|5648.0|0|161.0|0|0.0|0
0|2020-05-11|5648.0|0|161.0|0|0.0|0
0|2020-05-12|5648.0|0|161.0|0|0.0|0
0|2020-05-13|5648.0|0|161.0|0|0.0|0
