|dates|CapeGirardeau_Missouri_UnitedStates.JHU_ConfirmedCases.data|CapeGirardeau_Missouri_UnitedStates.JHU_ConfirmedCases.missing|CapeGirardeau_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|CapeGirardeau_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|CapeGirardeau_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|CapeGirardeau_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|5.0|0|0.0|0|0.0|0
0|2020-03-28|5.0|0|0.0|0|0.0|0
0|2020-03-29|5.0|0|0.0|0|0.0|0
0|2020-03-30|13.0|0|0.0|0|0.0|0
0|2020-03-31|15.0|0|0.0|0|0.0|0
0|2020-04-01|15.0|0|0.0|0|0.0|0
0|2020-04-02|15.0|0|0.0|0|0.0|0
0|2020-04-03|15.0|0|0.0|0|0.0|0
0|2020-04-04|16.0|0|0.0|0|0.0|0
0|2020-04-05|16.0|0|0.0|0|0.0|0
0|2020-04-06|20.0|0|0.0|0|0.0|0
0|2020-04-07|20.0|0|0.0|0|0.0|0
0|2020-04-08|20.0|0|1.0|0|0.0|0
0|2020-04-09|23.0|0|1.0|0|0.0|0
0|2020-04-10|26.0|0|1.0|0|0.0|0
0|2020-04-11|28.0|0|1.0|0|0.0|0
0|2020-04-12|28.0|0|1.0|0|0.0|0
0|2020-04-13|30.0|0|1.0|0|0.0|0
0|2020-04-14|30.0|0|1.0|0|0.0|0
0|2020-04-15|30.0|0|1.0|0|0.0|0
0|2020-04-16|33.0|0|1.0|0|0.0|0
0|2020-04-17|35.0|0|1.0|0|0.0|0
0|2020-04-18|36.0|0|1.0|0|0.0|0
0|2020-04-19|36.0|0|1.0|0|0.0|0
0|2020-04-20|36.0|0|1.0|0|0.0|0
0|2020-04-21|37.0|0|1.0|0|0.0|0
0|2020-04-22|40.0|0|1.0|0|0.0|0
0|2020-04-23|42.0|0|1.0|0|0.0|0
0|2020-04-24|43.0|0|1.0|0|0.0|0
0|2020-04-25|43.0|0|1.0|0|0.0|0
0|2020-04-26|47.0|0|1.0|0|0.0|0
0|2020-04-27|48.0|0|1.0|0|0.0|0
0|2020-04-28|48.0|0|1.0|0|0.0|0
0|2020-04-29|49.0|0|1.0|0|0.0|0
0|2020-04-30|49.0|0|1.0|0|0.0|0
0|2020-05-01|49.0|0|1.0|0|0.0|0
0|2020-05-02|49.0|0|1.0|0|0.0|0
0|2020-05-03|49.0|0|1.0|0|0.0|0
0|2020-05-04|49.0|0|1.0|0|0.0|0
0|2020-05-05|49.0|0|1.0|0|0.0|0
0|2020-05-06|49.0|0|1.0|0|0.0|0
0|2020-05-07|49.0|0|1.0|0|0.0|0
0|2020-05-08|49.0|0|1.0|0|0.0|0
0|2020-05-09|49.0|0|1.0|0|0.0|0
0|2020-05-10|51.0|0|1.0|0|0.0|0
0|2020-05-11|51.0|0|1.0|0|0.0|0
0|2020-05-12|52.0|0|1.0|0|0.0|0
0|2020-05-13|52.0|0|1.0|0|0.0|0
