|dates|Riverside_California_UnitedStates.JHU_ConfirmedCases.data|Riverside_California_UnitedStates.JHU_ConfirmedCases.missing|Riverside_California_UnitedStates.JHU_ConfirmedDeaths.data|Riverside_California_UnitedStates.JHU_ConfirmedDeaths.missing|Riverside_California_UnitedStates.JHU_ConfirmedRecoveries.data|Riverside_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|4.0|0|0.0|0|0.0|0
0|2020-03-11|6.0|0|0.0|0|0.0|0
0|2020-03-12|8.0|0|0.0|0|0.0|0
0|2020-03-13|8.0|0|0.0|0|0.0|0
0|2020-03-14|14.0|0|0.0|0|0.0|0
0|2020-03-15|14.0|0|0.0|0|0.0|0
0|2020-03-16|15.0|0|0.0|0|0.0|0
0|2020-03-17|15.0|0|3.0|0|0.0|0
0|2020-03-18|16.0|0|3.0|0|0.0|0
0|2020-03-19|22.0|0|3.0|0|0.0|0
0|2020-03-20|28.0|0|4.0|0|0.0|0
0|2020-03-21|28.0|0|4.0|0|0.0|0
0|2020-03-22|29.0|0|6.0|0|0.0|0
0|2020-03-23|46.0|0|6.0|0|0.0|0
0|2020-03-24|57.0|0|6.0|0|0.0|0
0|2020-03-25|68.0|0|7.0|0|0.0|0
0|2020-03-26|105.0|0|8.0|0|0.0|0
0|2020-03-27|149.0|0|8.0|0|0.0|0
0|2020-03-28|183.0|0|8.0|0|0.0|0
0|2020-03-29|195.0|0|8.0|0|0.0|0
0|2020-03-30|291.0|0|9.0|0|0.0|0
0|2020-03-31|371.0|0|13.0|0|0.0|0
0|2020-04-01|371.0|0|13.0|0|0.0|0
0|2020-04-02|493.0|0|14.0|0|0.0|0
0|2020-04-03|493.0|0|14.0|0|0.0|0
0|2020-04-04|638.0|0|15.0|0|0.0|0
0|2020-04-05|799.0|0|19.0|0|0.0|0
0|2020-04-06|946.0|0|25.0|0|0.0|0
0|2020-04-07|1016.0|0|28.0|0|0.0|0
0|2020-04-08|1179.0|0|32.0|0|0.0|0
0|2020-04-09|1280.0|0|33.0|0|0.0|0
0|2020-04-10|1350.0|0|39.0|0|0.0|0
0|2020-04-11|1431.0|0|41.0|0|0.0|0
0|2020-04-12|1619.0|0|41.0|0|0.0|0
0|2020-04-13|1619.0|0|41.0|0|0.0|0
0|2020-04-14|1961.0|0|50.0|0|0.0|0
0|2020-04-15|1961.0|0|50.0|0|0.0|0
0|2020-04-16|2105.0|0|54.0|0|0.0|0
0|2020-04-17|2457.0|0|69.0|0|0.0|0
0|2020-04-18|2457.0|0|69.0|0|0.0|0
0|2020-04-19|2638.0|0|75.0|0|0.0|0
0|2020-04-20|2847.0|0|85.0|0|0.0|0
0|2020-04-21|2847.0|0|85.0|0|0.0|0
0|2020-04-22|2960.0|0|93.0|0|0.0|0
0|2020-04-23|3218.0|0|100.0|0|0.0|0
0|2020-04-24|3315.0|0|112.0|0|0.0|0
0|2020-04-25|3315.0|0|112.0|0|0.0|0
0|2020-04-26|3563.0|0|118.0|0|0.0|0
0|2020-04-27|3643.0|0|141.0|0|0.0|0
0|2020-04-28|3735.0|0|141.0|0|0.0|0
0|2020-04-29|3942.0|0|143.0|0|0.0|0
0|2020-04-30|4031.0|0|149.0|0|0.0|0
0|2020-05-01|4079.0|0|156.0|0|0.0|0
0|2020-05-02|4079.0|0|156.0|0|0.0|0
0|2020-05-03|4180.0|0|161.0|0|0.0|0
0|2020-05-04|4354.0|0|181.0|0|0.0|0
0|2020-05-05|4454.0|0|184.0|0|0.0|0
0|2020-05-06|4672.0|0|186.0|0|0.0|0
0|2020-05-07|4756.0|0|192.0|0|0.0|0
0|2020-05-08|4756.0|0|192.0|0|0.0|0
0|2020-05-09|4992.0|0|204.0|0|0.0|0
0|2020-05-10|4992.0|0|204.0|0|0.0|0
0|2020-05-11|4992.0|0|204.0|0|0.0|0
0|2020-05-12|5248.0|0|225.0|0|0.0|0
0|2020-05-13|5248.0|0|225.0|0|0.0|0
