|dates|Dyer_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Dyer_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Dyer_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Dyer_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Dyer_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Dyer_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|2.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|3.0|0|0.0|0|0.0|0
0|2020-03-28|3.0|0|0.0|0|0.0|0
0|2020-03-29|3.0|0|0.0|0|0.0|0
0|2020-03-30|3.0|0|0.0|0|0.0|0
0|2020-03-31|3.0|0|0.0|0|0.0|0
0|2020-04-01|3.0|0|0.0|0|0.0|0
0|2020-04-02|5.0|0|0.0|0|0.0|0
0|2020-04-03|5.0|0|0.0|0|0.0|0
0|2020-04-04|7.0|0|0.0|0|0.0|0
0|2020-04-05|9.0|0|0.0|0|0.0|0
0|2020-04-06|9.0|0|0.0|0|0.0|0
0|2020-04-07|10.0|0|0.0|0|0.0|0
0|2020-04-08|11.0|0|0.0|0|0.0|0
0|2020-04-09|14.0|0|0.0|0|0.0|0
0|2020-04-10|15.0|0|0.0|0|0.0|0
0|2020-04-11|18.0|0|0.0|0|0.0|0
0|2020-04-12|19.0|0|0.0|0|0.0|0
0|2020-04-13|22.0|0|0.0|0|0.0|0
0|2020-04-14|22.0|0|0.0|0|0.0|0
0|2020-04-15|22.0|0|0.0|0|0.0|0
0|2020-04-16|24.0|0|0.0|0|0.0|0
0|2020-04-17|24.0|0|0.0|0|0.0|0
0|2020-04-18|24.0|0|0.0|0|0.0|0
0|2020-04-19|28.0|0|0.0|0|0.0|0
0|2020-04-20|28.0|0|0.0|0|0.0|0
0|2020-04-21|28.0|0|0.0|0|0.0|0
0|2020-04-22|28.0|0|0.0|0|0.0|0
0|2020-04-23|30.0|0|0.0|0|0.0|0
0|2020-04-24|30.0|0|0.0|0|0.0|0
0|2020-04-25|31.0|0|0.0|0|0.0|0
0|2020-04-26|31.0|0|0.0|0|0.0|0
0|2020-04-27|32.0|0|0.0|0|0.0|0
0|2020-04-28|33.0|0|0.0|0|0.0|0
0|2020-04-29|34.0|0|0.0|0|0.0|0
0|2020-04-30|34.0|0|0.0|0|0.0|0
0|2020-05-01|36.0|0|0.0|0|0.0|0
0|2020-05-02|36.0|0|0.0|0|0.0|0
0|2020-05-03|36.0|0|0.0|0|0.0|0
0|2020-05-04|39.0|0|0.0|0|0.0|0
0|2020-05-05|40.0|0|0.0|0|0.0|0
0|2020-05-06|38.0|0|0.0|0|0.0|0
0|2020-05-07|39.0|0|0.0|0|0.0|0
0|2020-05-08|41.0|0|0.0|0|0.0|0
0|2020-05-09|41.0|0|0.0|0|0.0|0
0|2020-05-10|41.0|0|0.0|0|0.0|0
0|2020-05-11|43.0|0|0.0|0|0.0|0
0|2020-05-12|43.0|0|0.0|0|0.0|0
0|2020-05-13|44.0|0|0.0|0|0.0|0
