|dates|Montrose_Colorado_UnitedStates.JHU_ConfirmedCases.data|Montrose_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Montrose_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Montrose_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Montrose_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Montrose_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|4.0|0|0.0|0|0.0|0
0|2020-03-27|4.0|0|0.0|0|0.0|0
0|2020-03-28|6.0|0|0.0|0|0.0|0
0|2020-03-29|8.0|0|0.0|0|0.0|0
0|2020-03-30|8.0|0|0.0|0|0.0|0
0|2020-03-31|13.0|0|0.0|0|0.0|0
0|2020-04-01|13.0|0|0.0|0|0.0|0
0|2020-04-02|13.0|0|0.0|0|0.0|0
0|2020-04-03|14.0|0|0.0|0|0.0|0
0|2020-04-04|26.0|0|1.0|0|0.0|0
0|2020-04-05|32.0|0|1.0|0|0.0|0
0|2020-04-06|34.0|0|2.0|0|0.0|0
0|2020-04-07|35.0|0|2.0|0|0.0|0
0|2020-04-08|35.0|0|3.0|0|0.0|0
0|2020-04-09|35.0|0|3.0|0|0.0|0
0|2020-04-10|38.0|0|3.0|0|0.0|0
0|2020-04-11|38.0|0|3.0|0|0.0|0
0|2020-04-12|57.0|0|4.0|0|0.0|0
0|2020-04-13|59.0|0|4.0|0|0.0|0
0|2020-04-14|63.0|0|5.0|0|0.0|0
0|2020-04-15|63.0|0|5.0|0|0.0|0
0|2020-04-16|65.0|0|6.0|0|0.0|0
0|2020-04-17|69.0|0|7.0|0|0.0|0
0|2020-04-18|70.0|0|7.0|0|0.0|0
0|2020-04-19|77.0|0|7.0|0|0.0|0
0|2020-04-20|77.0|0|7.0|0|0.0|0
0|2020-04-21|80.0|0|9.0|0|0.0|0
0|2020-04-22|82.0|0|9.0|0|0.0|0
0|2020-04-23|82.0|0|9.0|0|0.0|0
0|2020-04-24|83.0|0|9.0|0|0.0|0
0|2020-04-25|87.0|0|9.0|0|0.0|0
0|2020-04-26|90.0|0|9.0|0|0.0|0
0|2020-04-27|92.0|0|10.0|0|0.0|0
0|2020-04-28|94.0|0|11.0|0|0.0|0
0|2020-04-29|96.0|0|11.0|0|0.0|0
0|2020-04-30|96.0|0|11.0|0|0.0|0
0|2020-05-01|98.0|0|11.0|0|0.0|0
0|2020-05-02|102.0|0|11.0|0|0.0|0
0|2020-05-03|105.0|0|11.0|0|0.0|0
0|2020-05-04|106.0|0|11.0|0|0.0|0
0|2020-05-05|107.0|0|11.0|0|0.0|0
0|2020-05-06|110.0|0|11.0|0|0.0|0
0|2020-05-07|114.0|0|11.0|0|0.0|0
0|2020-05-08|121.0|0|11.0|0|0.0|0
0|2020-05-09|122.0|0|11.0|0|0.0|0
0|2020-05-10|124.0|0|11.0|0|0.0|0
0|2020-05-11|124.0|0|11.0|0|0.0|0
0|2020-05-12|127.0|0|11.0|0|0.0|0
0|2020-05-13|128.0|0|11.0|0|0.0|0
