|dates|Wayne_Ohio_UnitedStates.JHU_ConfirmedCases.data|Wayne_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Wayne_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Wayne_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Wayne_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Wayne_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|1.0|0|0.0|0|0.0|0
0|2020-03-26|2.0|0|0.0|0|0.0|0
0|2020-03-27|3.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|4.0|0|0.0|0|0.0|0
0|2020-03-30|7.0|0|0.0|0|0.0|0
0|2020-03-31|9.0|0|0.0|0|0.0|0
0|2020-04-01|11.0|0|0.0|0|0.0|0
0|2020-04-02|11.0|0|0.0|0|0.0|0
0|2020-04-03|13.0|0|0.0|0|0.0|0
0|2020-04-04|25.0|0|0.0|0|0.0|0
0|2020-04-05|26.0|0|0.0|0|0.0|0
0|2020-04-06|26.0|0|0.0|0|0.0|0
0|2020-04-07|29.0|0|0.0|0|0.0|0
0|2020-04-08|30.0|0|0.0|0|0.0|0
0|2020-04-09|30.0|0|0.0|0|0.0|0
0|2020-04-10|37.0|0|0.0|0|0.0|0
0|2020-04-11|40.0|0|5.0|0|0.0|0
0|2020-04-12|50.0|0|5.0|0|0.0|0
0|2020-04-13|54.0|0|5.0|0|0.0|0
0|2020-04-14|54.0|0|5.0|0|0.0|0
0|2020-04-15|56.0|0|10.0|0|0.0|0
0|2020-04-16|66.0|0|11.0|0|0.0|0
0|2020-04-17|72.0|0|11.0|0|0.0|0
0|2020-04-18|77.0|0|12.0|0|0.0|0
0|2020-04-19|79.0|0|12.0|0|0.0|0
0|2020-04-20|81.0|0|14.0|0|0.0|0
0|2020-04-21|82.0|0|16.0|0|0.0|0
0|2020-04-22|85.0|0|18.0|0|0.0|0
0|2020-04-23|88.0|0|18.0|0|0.0|0
0|2020-04-24|91.0|0|18.0|0|0.0|0
0|2020-04-25|100.0|0|20.0|0|0.0|0
0|2020-04-26|104.0|0|21.0|0|0.0|0
0|2020-04-27|114.0|0|22.0|0|0.0|0
0|2020-04-28|119.0|0|23.0|0|0.0|0
0|2020-04-29|125.0|0|24.0|0|0.0|0
0|2020-04-30|128.0|0|28.0|0|0.0|0
0|2020-05-01|143.0|0|30.0|0|0.0|0
0|2020-05-02|149.0|0|32.0|0|0.0|0
0|2020-05-03|153.0|0|32.0|0|0.0|0
0|2020-05-04|161.0|0|33.0|0|0.0|0
0|2020-05-05|166.0|0|33.0|0|0.0|0
0|2020-05-06|173.0|0|36.0|0|0.0|0
0|2020-05-07|177.0|0|41.0|0|0.0|0
0|2020-05-08|183.0|0|42.0|0|0.0|0
0|2020-05-09|188.0|0|42.0|0|0.0|0
0|2020-05-10|186.0|0|42.0|0|0.0|0
0|2020-05-11|186.0|0|42.0|0|0.0|0
0|2020-05-12|190.0|0|47.0|0|0.0|0
0|2020-05-13|192.0|0|47.0|0|0.0|0
