|dates|PalmBeach_Florida_UnitedStates.JHU_ConfirmedCases.data|PalmBeach_Florida_UnitedStates.JHU_ConfirmedCases.missing|PalmBeach_Florida_UnitedStates.JHU_ConfirmedDeaths.data|PalmBeach_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|PalmBeach_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|PalmBeach_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|5.0|0|0.0|0|0.0|0
0|2020-03-15|5.0|0|0.0|0|0.0|0
0|2020-03-16|5.0|0|0.0|0|0.0|0
0|2020-03-17|13.0|0|0.0|0|0.0|0
0|2020-03-18|19.0|0|0.0|0|0.0|0
0|2020-03-19|29.0|0|0.0|0|0.0|0
0|2020-03-20|42.0|0|0.0|0|0.0|0
0|2020-03-21|56.0|0|0.0|0|0.0|0
0|2020-03-22|72.0|0|0.0|0|0.0|0
0|2020-03-23|89.0|0|3.0|0|0.0|0
0|2020-03-24|101.0|0|3.0|0|0.0|0
0|2020-03-25|118.0|0|3.0|0|0.0|0
0|2020-03-26|169.0|0|3.0|0|0.0|0
0|2020-03-27|194.0|0|3.0|0|0.0|0
0|2020-03-28|292.0|0|5.0|0|0.0|0
0|2020-03-29|333.0|0|5.0|0|0.0|0
0|2020-03-30|423.0|0|7.0|0|0.0|0
0|2020-03-31|551.0|0|14.0|0|0.0|0
0|2020-04-01|567.0|0|14.0|0|0.0|0
0|2020-04-02|737.0|0|27.0|0|0.0|0
0|2020-04-03|858.0|0|29.0|0|0.0|0
0|2020-04-04|954.0|0|35.0|0|0.0|0
0|2020-04-05|1000.0|0|49.0|0|0.0|0
0|2020-04-06|1069.0|0|49.0|0|0.0|0
0|2020-04-07|1136.0|0|51.0|0|0.0|0
0|2020-04-08|1206.0|0|69.0|0|0.0|0
0|2020-04-09|1260.0|0|73.0|0|0.0|0
0|2020-04-10|1388.0|0|76.0|0|0.0|0
0|2020-04-11|1441.0|0|80.0|0|0.0|0
0|2020-04-12|1646.0|0|81.0|0|0.0|0
0|2020-04-13|1704.0|0|92.0|0|0.0|0
0|2020-04-14|1740.0|0|93.0|0|0.0|0
0|2020-04-15|1814.0|0|105.0|0|0.0|0
0|2020-04-16|1867.0|0|112.0|0|0.0|0
0|2020-04-17|2088.0|0|115.0|0|0.0|0
0|2020-04-18|2138.0|0|114.0|0|0.0|0
0|2020-04-19|2170.0|0|121.0|0|0.0|0
0|2020-04-20|2260.0|0|122.0|0|0.0|0
0|2020-04-21|2320.0|0|131.0|0|0.0|0
0|2020-04-22|2403.0|0|131.0|0|0.0|0
0|2020-04-23|2554.0|0|144.0|0|0.0|0
0|2020-04-24|2600.0|0|155.0|0|0.0|0
0|2020-04-25|2614.0|0|155.0|0|0.0|0
0|2020-04-26|2697.0|0|155.0|0|0.0|0
0|2020-04-27|2763.0|0|156.0|0|0.0|0
0|2020-04-28|2877.0|0|173.0|0|0.0|0
0|2020-04-29|2911.0|0|178.0|0|0.0|0
0|2020-04-30|2963.0|0|186.0|0|0.0|0
0|2020-05-01|3041.0|0|191.0|0|0.0|0
0|2020-05-02|3080.0|0|195.0|0|0.0|0
0|2020-05-03|3130.0|0|196.0|0|0.0|0
0|2020-05-04|3311.0|0|196.0|0|0.0|0
0|2020-05-05|3390.0|0|205.0|0|0.0|0
0|2020-05-06|3480.0|0|215.0|0|0.0|0
0|2020-05-07|3587.0|0|222.0|0|0.0|0
0|2020-05-08|3615.0|0|229.0|0|0.0|0
0|2020-05-09|3798.0|0|237.0|0|0.0|0
0|2020-05-10|3870.0|0|237.0|0|0.0|0
0|2020-05-11|3870.0|0|237.0|0|0.0|0
0|2020-05-12|4093.0|0|245.0|0|0.0|0
0|2020-05-13|4176.0|0|254.0|0|0.0|0
