|dates|Lorain_Ohio_UnitedStates.JHU_ConfirmedCases.data|Lorain_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Lorain_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Lorain_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Lorain_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Lorain_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|3.0|0|0.0|0|0.0|0
0|2020-03-17|4.0|0|0.0|0|0.0|0
0|2020-03-18|6.0|0|0.0|0|0.0|0
0|2020-03-19|6.0|0|0.0|0|0.0|0
0|2020-03-20|10.0|0|0.0|0|0.0|0
0|2020-03-21|14.0|0|0.0|0|0.0|0
0|2020-03-22|19.0|0|0.0|0|0.0|0
0|2020-03-23|24.0|0|0.0|0|0.0|0
0|2020-03-24|30.0|0|0.0|0|0.0|0
0|2020-03-25|37.0|0|0.0|0|0.0|0
0|2020-03-26|44.0|0|0.0|0|0.0|0
0|2020-03-27|56.0|0|0.0|0|0.0|0
0|2020-03-28|65.0|0|0.0|0|0.0|0
0|2020-03-29|74.0|0|0.0|0|0.0|0
0|2020-03-30|78.0|0|2.0|0|0.0|0
0|2020-03-31|82.0|0|2.0|0|0.0|0
0|2020-04-01|85.0|0|2.0|0|0.0|0
0|2020-04-02|90.0|0|2.0|0|0.0|0
0|2020-04-03|95.0|0|2.0|0|0.0|0
0|2020-04-04|105.0|0|2.0|0|0.0|0
0|2020-04-05|110.0|0|3.0|0|0.0|0
0|2020-04-06|117.0|0|3.0|0|0.0|0
0|2020-04-07|116.0|0|3.0|0|0.0|0
0|2020-04-08|136.0|0|4.0|0|0.0|0
0|2020-04-09|140.0|0|5.0|0|0.0|0
0|2020-04-10|150.0|0|5.0|0|0.0|0
0|2020-04-11|161.0|0|5.0|0|0.0|0
0|2020-04-12|176.0|0|5.0|0|0.0|0
0|2020-04-13|184.0|0|6.0|0|0.0|0
0|2020-04-14|191.0|0|7.0|0|0.0|0
0|2020-04-15|203.0|0|7.0|0|0.0|0
0|2020-04-16|221.0|0|9.0|0|0.0|0
0|2020-04-17|245.0|0|14.0|0|0.0|0
0|2020-04-18|291.0|0|16.0|0|0.0|0
0|2020-04-19|294.0|0|17.0|0|0.0|0
0|2020-04-20|303.0|0|18.0|0|0.0|0
0|2020-04-21|320.0|0|19.0|0|0.0|0
0|2020-04-22|332.0|0|19.0|0|0.0|0
0|2020-04-23|344.0|0|19.0|0|0.0|0
0|2020-04-24|366.0|0|19.0|0|0.0|0
0|2020-04-25|374.0|0|19.0|0|0.0|0
0|2020-04-26|377.0|0|19.0|0|0.0|0
0|2020-04-27|395.0|0|20.0|0|0.0|0
0|2020-04-28|406.0|0|20.0|0|0.0|0
0|2020-04-29|418.0|0|22.0|0|0.0|0
0|2020-04-30|452.0|0|30.0|0|0.0|0
0|2020-05-01|471.0|0|32.0|0|0.0|0
0|2020-05-02|480.0|0|33.0|0|0.0|0
0|2020-05-03|490.0|0|35.0|0|0.0|0
0|2020-05-04|503.0|0|37.0|0|0.0|0
0|2020-05-05|510.0|0|39.0|0|0.0|0
0|2020-05-06|518.0|0|41.0|0|0.0|0
0|2020-05-07|528.0|0|42.0|0|0.0|0
0|2020-05-08|537.0|0|44.0|0|0.0|0
0|2020-05-09|543.0|0|44.0|0|0.0|0
0|2020-05-10|548.0|0|44.0|0|0.0|0
0|2020-05-11|548.0|0|44.0|0|0.0|0
0|2020-05-12|560.0|0|46.0|0|0.0|0
0|2020-05-13|569.0|0|49.0|0|0.0|0
