|dates|Kay_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Kay_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Kay_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Kay_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Kay_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Kay_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|3.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|5.0|0|0.0|0|0.0|0
0|2020-03-24|5.0|0|0.0|0|0.0|0
0|2020-03-25|5.0|0|0.0|0|0.0|0
0|2020-03-26|11.0|0|0.0|0|0.0|0
0|2020-03-27|17.0|0|0.0|0|0.0|0
0|2020-03-28|18.0|0|0.0|0|0.0|0
0|2020-03-29|20.0|0|0.0|0|0.0|0
0|2020-03-30|20.0|0|0.0|0|0.0|0
0|2020-03-31|24.0|0|0.0|0|0.0|0
0|2020-04-01|24.0|0|1.0|0|0.0|0
0|2020-04-02|24.0|0|1.0|0|0.0|0
0|2020-04-03|25.0|0|1.0|0|0.0|0
0|2020-04-04|29.0|0|1.0|0|0.0|0
0|2020-04-05|30.0|0|1.0|0|0.0|0
0|2020-04-06|30.0|0|1.0|0|0.0|0
0|2020-04-07|33.0|0|2.0|0|0.0|0
0|2020-04-08|33.0|0|3.0|0|0.0|0
0|2020-04-09|36.0|0|3.0|0|0.0|0
0|2020-04-10|41.0|0|3.0|0|0.0|0
0|2020-04-11|42.0|0|3.0|0|0.0|0
0|2020-04-12|43.0|0|3.0|0|0.0|0
0|2020-04-13|45.0|0|4.0|0|0.0|0
0|2020-04-14|45.0|0|4.0|0|0.0|0
0|2020-04-15|45.0|0|4.0|0|0.0|0
0|2020-04-16|46.0|0|4.0|0|0.0|0
0|2020-04-17|46.0|0|4.0|0|0.0|0
0|2020-04-18|46.0|0|4.0|0|0.0|0
0|2020-04-19|46.0|0|4.0|0|0.0|0
0|2020-04-20|46.0|0|4.0|0|0.0|0
0|2020-04-21|46.0|0|6.0|0|0.0|0
0|2020-04-22|46.0|0|6.0|0|0.0|0
0|2020-04-23|47.0|0|6.0|0|0.0|0
0|2020-04-24|47.0|0|6.0|0|0.0|0
0|2020-04-25|47.0|0|6.0|0|0.0|0
0|2020-04-26|47.0|0|6.0|0|0.0|0
0|2020-04-27|47.0|0|6.0|0|0.0|0
0|2020-04-28|47.0|0|6.0|0|0.0|0
0|2020-04-29|47.0|0|7.0|0|0.0|0
0|2020-04-30|47.0|0|7.0|0|0.0|0
0|2020-05-01|47.0|0|7.0|0|0.0|0
0|2020-05-02|47.0|0|7.0|0|0.0|0
0|2020-05-03|47.0|0|7.0|0|0.0|0
0|2020-05-04|47.0|0|7.0|0|0.0|0
0|2020-05-05|48.0|0|7.0|0|0.0|0
0|2020-05-06|48.0|0|7.0|0|0.0|0
0|2020-05-07|48.0|0|7.0|0|0.0|0
0|2020-05-08|48.0|0|7.0|0|0.0|0
0|2020-05-09|48.0|0|7.0|0|0.0|0
0|2020-05-10|48.0|0|7.0|0|0.0|0
0|2020-05-11|48.0|0|7.0|0|0.0|0
0|2020-05-12|48.0|0|7.0|0|0.0|0
0|2020-05-13|49.0|0|7.0|0|0.0|0
