|dates|Chesterfield_Virginia_UnitedStates.JHU_ConfirmedCases.data|Chesterfield_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Chesterfield_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Chesterfield_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Chesterfield_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Chesterfield_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|4.0|0|0.0|0|0.0|0
0|2020-03-18|5.0|0|0.0|0|0.0|0
0|2020-03-19|6.0|0|0.0|0|0.0|0
0|2020-03-20|6.0|0|0.0|0|0.0|0
0|2020-03-21|7.0|0|0.0|0|0.0|0
0|2020-03-22|8.0|0|0.0|0|0.0|0
0|2020-03-23|9.0|0|0.0|0|0.0|0
0|2020-03-24|10.0|0|0.0|0|0.0|0
0|2020-03-25|11.0|0|0.0|0|0.0|0
0|2020-03-26|12.0|0|0.0|0|0.0|0
0|2020-03-27|12.0|0|0.0|0|0.0|0
0|2020-03-28|12.0|0|0.0|0|0.0|0
0|2020-03-29|12.0|0|0.0|0|0.0|0
0|2020-03-30|21.0|0|0.0|0|0.0|0
0|2020-03-31|43.0|0|0.0|0|0.0|0
0|2020-04-01|59.0|0|0.0|0|0.0|0
0|2020-04-02|73.0|0|0.0|0|0.0|0
0|2020-04-03|89.0|0|0.0|0|0.0|0
0|2020-04-04|106.0|0|0.0|0|0.0|0
0|2020-04-05|108.0|0|0.0|0|0.0|0
0|2020-04-06|108.0|0|0.0|0|0.0|0
0|2020-04-07|128.0|0|0.0|0|0.0|0
0|2020-04-08|145.0|0|0.0|0|0.0|0
0|2020-04-09|158.0|0|0.0|0|0.0|0
0|2020-04-10|179.0|0|0.0|0|0.0|0
0|2020-04-11|203.0|0|0.0|0|0.0|0
0|2020-04-12|209.0|0|0.0|0|0.0|0
0|2020-04-13|211.0|0|0.0|0|0.0|0
0|2020-04-14|241.0|0|0.0|0|0.0|0
0|2020-04-15|254.0|0|0.0|0|0.0|0
0|2020-04-16|267.0|0|0.0|0|0.0|0
0|2020-04-17|291.0|0|0.0|0|0.0|0
0|2020-04-18|310.0|0|0.0|0|0.0|0
0|2020-04-19|311.0|0|0.0|0|0.0|0
0|2020-04-20|331.0|0|0.0|0|0.0|0
0|2020-04-21|346.0|0|0.0|0|0.0|0
0|2020-04-22|356.0|0|7.0|0|0.0|0
0|2020-04-23|402.0|0|7.0|0|0.0|0
0|2020-04-24|423.0|0|17.0|0|0.0|0
0|2020-04-25|440.0|0|18.0|0|0.0|0
0|2020-04-26|457.0|0|18.0|0|0.0|0
0|2020-04-27|457.0|0|18.0|0|0.0|0
0|2020-04-28|488.0|0|19.0|0|0.0|0
0|2020-04-29|501.0|0|19.0|0|0.0|0
0|2020-04-30|531.0|0|20.0|0|0.0|0
0|2020-05-01|557.0|0|24.0|0|0.0|0
0|2020-05-02|593.0|0|24.0|0|0.0|0
0|2020-05-03|601.0|0|24.0|0|0.0|0
0|2020-05-04|601.0|0|24.0|0|0.0|0
0|2020-05-05|646.0|0|25.0|0|0.0|0
0|2020-05-06|646.0|0|25.0|0|0.0|0
0|2020-05-07|707.0|0|26.0|0|0.0|0
0|2020-05-08|741.0|0|26.0|0|0.0|0
0|2020-05-09|765.0|0|26.0|0|0.0|0
0|2020-05-10|787.0|0|26.0|0|0.0|0
0|2020-05-11|787.0|0|26.0|0|0.0|0
0|2020-05-12|837.0|0|28.0|0|0.0|0
0|2020-05-13|862.0|0|29.0|0|0.0|0
