|dates|Hall_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Hall_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Hall_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Hall_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Hall_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Hall_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|0.0|0|0.0|0|0.0|0
0|2020-03-28|3.0|0|1.0|0|0.0|0
0|2020-03-29|3.0|0|1.0|0|0.0|0
0|2020-03-30|6.0|0|1.0|0|0.0|0
0|2020-03-31|8.0|0|1.0|0|0.0|0
0|2020-04-01|15.0|0|1.0|0|0.0|0
0|2020-04-02|17.0|0|1.0|0|0.0|0
0|2020-04-03|26.0|0|1.0|0|0.0|0
0|2020-04-04|40.0|0|1.0|0|0.0|0
0|2020-04-05|44.0|0|1.0|0|0.0|0
0|2020-04-06|55.0|0|1.0|0|0.0|0
0|2020-04-07|58.0|0|1.0|0|0.0|0
0|2020-04-08|69.0|0|2.0|0|0.0|0
0|2020-04-09|84.0|0|2.0|0|0.0|0
0|2020-04-10|116.0|0|2.0|0|0.0|0
0|2020-04-11|129.0|0|4.0|0|0.0|0
0|2020-04-12|159.0|0|4.0|0|0.0|0
0|2020-04-13|161.0|0|4.0|0|0.0|0
0|2020-04-14|214.0|0|4.0|0|0.0|0
0|2020-04-15|214.0|0|4.0|0|0.0|0
0|2020-04-16|231.0|0|4.0|0|0.0|0
0|2020-04-17|247.0|0|4.0|0|0.0|0
0|2020-04-18|403.0|0|4.0|0|0.0|0
0|2020-04-19|457.0|0|4.0|0|0.0|0
0|2020-04-20|531.0|0|4.0|0|0.0|0
0|2020-04-21|554.0|0|4.0|0|0.0|0
0|2020-04-22|588.0|0|4.0|0|0.0|0
0|2020-04-23|647.0|0|12.0|0|0.0|0
0|2020-04-24|734.0|0|12.0|0|0.0|0
0|2020-04-25|797.0|0|12.0|0|0.0|0
0|2020-04-26|876.0|0|12.0|0|0.0|0
0|2020-04-27|908.0|0|12.0|0|0.0|0
0|2020-04-28|908.0|0|12.0|0|0.0|0
0|2020-04-29|943.0|0|12.0|0|0.0|0
0|2020-04-30|1025.0|0|28.0|0|0.0|0
0|2020-05-01|1111.0|0|28.0|0|0.0|0
0|2020-05-02|1160.0|0|28.0|0|0.0|0
0|2020-05-03|1256.0|0|28.0|0|0.0|0
0|2020-05-04|1281.0|0|28.0|0|0.0|0
0|2020-05-05|1284.0|0|28.0|0|0.0|0
0|2020-05-06|1287.0|0|28.0|0|0.0|0
0|2020-05-07|1306.0|0|28.0|0|0.0|0
0|2020-05-08|1311.0|0|28.0|0|0.0|0
0|2020-05-09|1325.0|0|28.0|0|0.0|0
0|2020-05-10|1328.0|0|28.0|0|0.0|0
0|2020-05-11|1328.0|0|28.0|0|0.0|0
0|2020-05-12|1344.0|0|28.0|0|0.0|0
0|2020-05-13|1377.0|0|28.0|0|0.0|0
