|dates|Norfolk_Virginia_UnitedStates.JHU_ConfirmedCases.data|Norfolk_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Norfolk_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Norfolk_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Norfolk_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Norfolk_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|2.0|0|0.0|0|0.0|0
0|2020-03-11|2.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|3.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|5.0|0|0.0|0|0.0|0
0|2020-03-24|8.0|0|0.0|0|0.0|0
0|2020-03-25|8.0|0|0.0|0|0.0|0
0|2020-03-26|9.0|0|0.0|0|0.0|0
0|2020-03-27|8.0|0|0.0|0|0.0|0
0|2020-03-28|10.0|0|0.0|0|0.0|0
0|2020-03-29|14.0|0|0.0|0|0.0|0
0|2020-03-30|17.0|0|0.0|0|0.0|0
0|2020-03-31|27.0|0|0.0|0|0.0|0
0|2020-04-01|33.0|0|0.0|0|0.0|0
0|2020-04-02|37.0|0|0.0|0|0.0|0
0|2020-04-03|43.0|0|0.0|0|0.0|0
0|2020-04-04|55.0|0|0.0|0|0.0|0
0|2020-04-05|59.0|0|0.0|0|0.0|0
0|2020-04-06|60.0|0|0.0|0|0.0|0
0|2020-04-07|72.0|0|0.0|0|0.0|0
0|2020-04-08|77.0|0|0.0|0|0.0|0
0|2020-04-09|84.0|0|0.0|0|0.0|0
0|2020-04-10|88.0|0|0.0|0|0.0|0
0|2020-04-11|90.0|0|0.0|0|0.0|0
0|2020-04-12|90.0|0|0.0|0|0.0|0
0|2020-04-13|99.0|0|0.0|0|0.0|0
0|2020-04-14|99.0|0|0.0|0|0.0|0
0|2020-04-15|99.0|0|2.0|0|0.0|0
0|2020-04-16|105.0|0|2.0|0|0.0|0
0|2020-04-17|108.0|0|2.0|0|0.0|0
0|2020-04-18|109.0|0|2.0|0|0.0|0
0|2020-04-19|111.0|0|2.0|0|0.0|0
0|2020-04-20|113.0|0|2.0|0|0.0|0
0|2020-04-21|118.0|0|2.0|0|0.0|0
0|2020-04-22|126.0|0|3.0|0|0.0|0
0|2020-04-23|136.0|0|3.0|0|0.0|0
0|2020-04-24|141.0|0|3.0|0|0.0|0
0|2020-04-25|169.0|0|3.0|0|0.0|0
0|2020-04-26|179.0|0|3.0|0|0.0|0
0|2020-04-27|184.0|0|3.0|0|0.0|0
0|2020-04-28|188.0|0|3.0|0|0.0|0
0|2020-04-29|192.0|0|3.0|0|0.0|0
0|2020-04-30|198.0|0|3.0|0|0.0|0
0|2020-05-01|204.0|0|3.0|0|0.0|0
0|2020-05-02|211.0|0|3.0|0|0.0|0
0|2020-05-03|221.0|0|4.0|0|0.0|0
0|2020-05-04|239.0|0|4.0|0|0.0|0
0|2020-05-05|251.0|0|4.0|0|0.0|0
0|2020-05-06|251.0|0|4.0|0|0.0|0
0|2020-05-07|270.0|0|5.0|0|0.0|0
0|2020-05-08|274.0|0|5.0|0|0.0|0
0|2020-05-09|290.0|0|5.0|0|0.0|0
0|2020-05-10|304.0|0|5.0|0|0.0|0
0|2020-05-11|304.0|0|5.0|0|0.0|0
0|2020-05-12|319.0|0|5.0|0|0.0|0
0|2020-05-13|327.0|0|5.0|0|0.0|0
