|dates|Bradley_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Bradley_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Bradley_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Bradley_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Bradley_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Bradley_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|5.0|0|0.0|0|0.0|0
0|2020-03-27|6.0|0|0.0|0|0.0|0
0|2020-03-28|5.0|0|0.0|0|0.0|0
0|2020-03-29|8.0|0|0.0|0|0.0|0
0|2020-03-30|8.0|0|0.0|0|0.0|0
0|2020-03-31|10.0|0|0.0|0|0.0|0
0|2020-04-01|14.0|0|0.0|0|0.0|0
0|2020-04-02|18.0|0|0.0|0|0.0|0
0|2020-04-03|21.0|0|0.0|0|0.0|0
0|2020-04-04|21.0|0|0.0|0|0.0|0
0|2020-04-05|21.0|0|0.0|0|0.0|0
0|2020-04-06|23.0|0|0.0|0|0.0|0
0|2020-04-07|25.0|0|0.0|0|0.0|0
0|2020-04-08|28.0|0|0.0|0|0.0|0
0|2020-04-09|28.0|0|0.0|0|0.0|0
0|2020-04-10|31.0|0|0.0|0|0.0|0
0|2020-04-11|31.0|0|0.0|0|0.0|0
0|2020-04-12|31.0|0|0.0|0|0.0|0
0|2020-04-13|32.0|0|0.0|0|0.0|0
0|2020-04-14|33.0|0|1.0|0|0.0|0
0|2020-04-15|33.0|0|1.0|0|0.0|0
0|2020-04-16|33.0|0|1.0|0|0.0|0
0|2020-04-17|35.0|0|1.0|0|0.0|0
0|2020-04-18|38.0|0|1.0|0|0.0|0
0|2020-04-19|37.0|0|1.0|0|0.0|0
0|2020-04-20|37.0|0|1.0|0|0.0|0
0|2020-04-21|37.0|0|1.0|0|0.0|0
0|2020-04-22|37.0|0|1.0|0|0.0|0
0|2020-04-23|38.0|0|1.0|0|0.0|0
0|2020-04-24|40.0|0|1.0|0|0.0|0
0|2020-04-25|41.0|0|1.0|0|0.0|0
0|2020-04-26|43.0|0|1.0|0|0.0|0
0|2020-04-27|45.0|0|1.0|0|0.0|0
0|2020-04-28|46.0|0|1.0|0|0.0|0
0|2020-04-29|48.0|0|1.0|0|0.0|0
0|2020-04-30|49.0|0|1.0|0|0.0|0
0|2020-05-01|52.0|0|1.0|0|0.0|0
0|2020-05-02|52.0|0|1.0|0|0.0|0
0|2020-05-03|53.0|0|1.0|0|0.0|0
0|2020-05-04|56.0|0|1.0|0|0.0|0
0|2020-05-05|59.0|0|1.0|0|0.0|0
0|2020-05-06|61.0|0|1.0|0|0.0|0
0|2020-05-07|64.0|0|1.0|0|0.0|0
0|2020-05-08|68.0|0|1.0|0|0.0|0
0|2020-05-09|69.0|0|1.0|0|0.0|0
0|2020-05-10|69.0|0|1.0|0|0.0|0
0|2020-05-11|69.0|0|1.0|0|0.0|0
0|2020-05-12|74.0|0|1.0|0|0.0|0
0|2020-05-13|75.0|0|1.0|0|0.0|0
