|dates|Dane_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Dane_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Dane_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Dane_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Dane_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Dane_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|1.0|0
0|2020-03-04|0.0|0|0.0|0|1.0|0
0|2020-03-05|0.0|0|0.0|0|1.0|0
0|2020-03-06|0.0|0|0.0|0|1.0|0
0|2020-03-07|0.0|0|0.0|0|1.0|0
0|2020-03-08|0.0|0|0.0|0|1.0|0
0|2020-03-09|0.0|0|0.0|0|1.0|0
0|2020-03-10|2.0|0|0.0|0|1.0|0
0|2020-03-11|2.0|0|0.0|0|1.0|0
0|2020-03-12|4.0|0|0.0|0|1.0|0
0|2020-03-13|5.0|0|0.0|0|1.0|0
0|2020-03-14|6.0|0|0.0|0|1.0|0
0|2020-03-15|6.0|0|0.0|0|1.0|0
0|2020-03-16|10.0|0|0.0|0|1.0|0
0|2020-03-17|19.0|0|0.0|0|1.0|0
0|2020-03-18|23.0|0|0.0|0|1.0|0
0|2020-03-19|27.0|0|0.0|0|1.0|0
0|2020-03-20|32.0|0|0.0|0|1.0|0
0|2020-03-21|49.0|0|0.0|0|1.0|0
0|2020-03-22|61.0|0|0.0|0|0.0|0
0|2020-03-23|70.0|0|0.0|0|0.0|0
0|2020-03-24|72.0|0|0.0|0|0.0|0
0|2020-03-25|88.0|0|1.0|0|0.0|0
0|2020-03-26|134.0|0|1.0|0|0.0|0
0|2020-03-27|158.0|0|1.0|0|0.0|0
0|2020-03-28|172.0|0|1.0|0|0.0|0
0|2020-03-29|183.0|0|1.0|0|0.0|0
0|2020-03-30|192.0|0|2.0|0|0.0|0
0|2020-03-31|214.0|0|2.0|0|0.0|0
0|2020-04-01|215.0|0|2.0|0|0.0|0
0|2020-04-02|238.0|0|3.0|0|0.0|0
0|2020-04-03|252.0|0|5.0|0|0.0|0
0|2020-04-04|269.0|0|8.0|0|0.0|0
0|2020-04-05|280.0|0|9.0|0|0.0|0
0|2020-04-06|287.0|0|9.0|0|0.0|0
0|2020-04-07|289.0|0|11.0|0|0.0|0
0|2020-04-08|303.0|0|11.0|0|0.0|0
0|2020-04-09|307.0|0|11.0|0|0.0|0
0|2020-04-10|313.0|0|12.0|0|0.0|0
0|2020-04-11|327.0|0|12.0|0|0.0|0
0|2020-04-12|334.0|0|12.0|0|0.0|0
0|2020-04-13|340.0|0|12.0|0|0.0|0
0|2020-04-14|344.0|0|12.0|0|0.0|0
0|2020-04-15|351.0|0|13.0|0|0.0|0
0|2020-04-16|352.0|0|16.0|0|0.0|0
0|2020-04-17|359.0|0|17.0|0|0.0|0
0|2020-04-18|358.0|0|17.0|0|0.0|0
0|2020-04-19|361.0|0|19.0|0|0.0|0
0|2020-04-20|364.0|0|19.0|0|0.0|0
0|2020-04-21|382.0|0|20.0|0|0.0|0
0|2020-04-22|386.0|0|20.0|0|0.0|0
0|2020-04-23|387.0|0|21.0|0|0.0|0
0|2020-04-24|395.0|0|21.0|0|0.0|0
0|2020-04-25|401.0|0|21.0|0|0.0|0
0|2020-04-26|405.0|0|21.0|0|0.0|0
0|2020-04-27|412.0|0|21.0|0|0.0|0
0|2020-04-28|417.0|0|22.0|0|0.0|0
0|2020-04-29|424.0|0|22.0|0|0.0|0
0|2020-04-30|428.0|0|22.0|0|0.0|0
0|2020-05-01|430.0|0|23.0|0|0.0|0
0|2020-05-02|433.0|0|22.0|0|0.0|0
0|2020-05-03|436.0|0|22.0|0|0.0|0
0|2020-05-04|441.0|0|22.0|0|0.0|0
0|2020-05-05|443.0|0|22.0|0|0.0|0
0|2020-05-06|445.0|0|22.0|0|0.0|0
0|2020-05-07|447.0|0|22.0|0|0.0|0
0|2020-05-08|455.0|0|22.0|0|0.0|0
0|2020-05-09|465.0|0|22.0|0|0.0|0
0|2020-05-10|472.0|0|22.0|0|0.0|0
0|2020-05-11|472.0|0|22.0|0|0.0|0
0|2020-05-12|477.0|0|22.0|0|0.0|0
0|2020-05-13|490.0|0|22.0|0|0.0|0
0|2020-05-14|494.0|0|22.0|0|0.0|0
0|2020-05-15|507.0|0|25.0|0|0.0|0
0|2020-05-16|507.0|0|25.0|0|0.0|0
