|dates|Canadian_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Canadian_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Canadian_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Canadian_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Canadian_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Canadian_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|4.0|0|0.0|0|0.0|0
0|2020-03-25|5.0|0|0.0|0|0.0|0
0|2020-03-26|6.0|0|0.0|0|0.0|0
0|2020-03-27|11.0|0|0.0|0|0.0|0
0|2020-03-28|11.0|0|0.0|0|0.0|0
0|2020-03-29|12.0|0|0.0|0|0.0|0
0|2020-03-30|15.0|0|0.0|0|0.0|0
0|2020-03-31|19.0|0|1.0|0|0.0|0
0|2020-04-01|24.0|0|1.0|0|0.0|0
0|2020-04-02|28.0|0|1.0|0|0.0|0
0|2020-04-03|29.0|0|1.0|0|0.0|0
0|2020-04-04|32.0|0|1.0|0|0.0|0
0|2020-04-05|33.0|0|1.0|0|0.0|0
0|2020-04-06|35.0|0|1.0|0|0.0|0
0|2020-04-07|40.0|0|1.0|0|0.0|0
0|2020-04-08|40.0|0|1.0|0|0.0|0
0|2020-04-09|48.0|0|1.0|0|0.0|0
0|2020-04-10|52.0|0|1.0|0|0.0|0
0|2020-04-11|56.0|0|1.0|0|0.0|0
0|2020-04-12|56.0|0|1.0|0|0.0|0
0|2020-04-13|57.0|0|3.0|0|0.0|0
0|2020-04-14|62.0|0|3.0|0|0.0|0
0|2020-04-15|63.0|0|3.0|0|0.0|0
0|2020-04-16|65.0|0|3.0|0|0.0|0
0|2020-04-17|65.0|0|3.0|0|0.0|0
0|2020-04-18|65.0|0|3.0|0|0.0|0
0|2020-04-19|73.0|0|3.0|0|0.0|0
0|2020-04-20|75.0|0|3.0|0|0.0|0
0|2020-04-21|76.0|0|3.0|0|0.0|0
0|2020-04-22|82.0|0|3.0|0|0.0|0
0|2020-04-23|86.0|0|3.0|0|0.0|0
0|2020-04-24|88.0|0|3.0|0|0.0|0
0|2020-04-25|90.0|0|3.0|0|0.0|0
0|2020-04-26|91.0|0|3.0|0|0.0|0
0|2020-04-27|91.0|0|3.0|0|0.0|0
0|2020-04-28|96.0|0|3.0|0|0.0|0
0|2020-04-29|97.0|0|3.0|0|0.0|0
0|2020-04-30|98.0|0|3.0|0|0.0|0
0|2020-05-01|98.0|0|3.0|0|0.0|0
0|2020-05-02|98.0|0|3.0|0|0.0|0
0|2020-05-03|100.0|0|3.0|0|0.0|0
0|2020-05-04|102.0|0|3.0|0|0.0|0
0|2020-05-05|103.0|0|3.0|0|0.0|0
0|2020-05-06|103.0|0|3.0|0|0.0|0
0|2020-05-07|107.0|0|3.0|0|0.0|0
0|2020-05-08|107.0|0|3.0|0|0.0|0
0|2020-05-09|110.0|0|3.0|0|0.0|0
0|2020-05-10|111.0|0|3.0|0|0.0|0
0|2020-05-11|111.0|0|3.0|0|0.0|0
0|2020-05-12|114.0|0|3.0|0|0.0|0
0|2020-05-13|115.0|0|3.0|0|0.0|0
