|dates|Dickey_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Dickey_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Dickey_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Dickey_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Dickey_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Dickey_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|6.0|0|0.0|0|0.0|0
0|2020-03-19|19.0|0|0.0|0|0.0|0
0|2020-03-20|26.0|0|0.0|0|0.0|0
0|2020-03-21|28.0|0|0.0|0|0.0|0
0|2020-03-22|28.0|0|0.0|0|0.0|0
0|2020-03-23|30.0|0|0.0|0|0.0|0
0|2020-03-24|36.0|0|0.0|0|0.0|0
0|2020-03-25|45.0|0|0.0|0|0.0|0
0|2020-03-26|51.0|0|0.0|0|0.0|0
0|2020-03-27|68.0|0|1.0|0|0.0|0
0|2020-03-28|94.0|0|1.0|0|0.0|0
0|2020-03-29|98.0|0|1.0|0|0.0|0
0|2020-03-30|109.0|0|2.0|0|0.0|0
0|2020-03-31|122.0|0|3.0|0|0.0|0
0|2020-04-01|142.0|0|3.0|0|0.0|0
0|2020-04-02|159.0|0|3.0|0|0.0|0
0|2020-04-03|173.0|0|3.0|0|0.0|0
0|2020-04-04|186.0|0|3.0|0|0.0|0
0|2020-04-05|207.0|0|3.0|0|0.0|0
0|2020-04-06|225.0|0|3.0|0|0.0|0
0|2020-04-07|237.0|0|4.0|0|0.0|0
0|2020-04-08|251.0|0|4.0|0|0.0|0
0|2020-04-09|269.0|0|5.0|0|0.0|0
0|2020-04-10|278.0|0|6.0|0|0.0|0
0|2020-04-11|293.0|0|7.0|0|0.0|0
0|2020-04-12|308.0|0|7.0|0|0.0|0
0|2020-04-13|331.0|0|8.0|0|0.0|0
0|2020-04-14|341.0|0|8.0|0|0.0|0
0|2020-04-15|365.0|0|9.0|0|0.0|0
0|2020-04-16|393.0|0|9.0|0|0.0|0
0|2020-04-17|393.0|0|9.0|0|0.0|0
0|2020-04-18|528.0|0|9.0|0|0.0|0
0|2020-04-19|585.0|0|9.0|0|0.0|0
0|2020-04-20|627.0|0|9.0|0|0.0|0
0|2020-04-21|644.0|0|13.0|0|0.0|0
0|2020-04-22|679.0|0|14.0|0|0.0|0
0|2020-04-23|709.0|0|15.0|0|0.0|0
0|2020-04-24|748.0|0|15.0|0|0.0|0
0|2020-04-25|803.0|0|16.0|0|0.0|0
0|2020-04-26|867.0|0|17.0|0|0.0|0
0|2020-04-27|942.0|0|19.0|0|0.0|0
0|2020-04-28|991.0|0|19.0|0|0.0|0
0|2020-04-29|1033.0|0|19.0|0|0.0|0
0|2020-04-30|1067.0|0|19.0|0|0.0|0
0|2020-05-01|1107.0|0|23.0|0|0.0|0
0|2020-05-02|1153.0|0|24.0|0|0.0|0
0|2020-05-03|1191.0|0|25.0|0|0.0|0
0|2020-05-04|1225.0|0|25.0|0|0.0|0
0|2020-05-05|1266.0|0|25.0|0|0.0|0
0|2020-05-06|1266.0|0|25.0|0|0.0|0
0|2020-05-07|1266.0|0|25.0|0|0.0|0
0|2020-05-08|1266.0|0|25.0|0|0.0|0
0|2020-05-09|1266.0|0|25.0|0|0.0|0
0|2020-05-10|1266.0|0|25.0|0|0.0|0
0|2020-05-11|1266.0|0|25.0|0|0.0|0
0|2020-05-12|1266.0|0|25.0|0|0.0|0
0|2020-05-13|1266.0|0|25.0|0|0.0|0
