|dates|Navajo_Arizona_UnitedStates.JHU_ConfirmedCases.data|Navajo_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Navajo_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Navajo_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Navajo_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Navajo_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|10.0|0|0.0|0|0.0|0
0|2020-03-22|13.0|0|0.0|0|0.0|0
0|2020-03-23|25.0|0|0.0|0|0.0|0
0|2020-03-24|32.0|0|0.0|0|0.0|0
0|2020-03-25|37.0|0|0.0|0|0.0|0
0|2020-03-26|43.0|0|0.0|0|0.0|0
0|2020-03-27|49.0|0|0.0|0|0.0|0
0|2020-03-28|57.0|0|0.0|0|0.0|0
0|2020-03-29|62.0|0|0.0|0|0.0|0
0|2020-03-30|88.0|0|0.0|0|0.0|0
0|2020-03-31|91.0|0|0.0|0|0.0|0
0|2020-04-01|171.0|0|0.0|0|0.0|0
0|2020-04-02|198.0|0|1.0|0|0.0|0
0|2020-04-03|245.0|0|1.0|0|0.0|0
0|2020-04-04|274.0|0|1.0|0|0.0|0
0|2020-04-05|307.0|0|1.0|0|0.0|0
0|2020-04-06|359.0|0|1.0|0|0.0|0
0|2020-04-07|378.0|0|1.0|0|0.0|0
0|2020-04-08|404.0|0|1.0|0|0.0|0
0|2020-04-09|286.0|0|1.0|0|0.0|0
0|2020-04-10|287.0|0|1.0|0|0.0|0
0|2020-04-11|321.0|0|1.0|0|0.0|0
0|2020-04-12|335.0|0|1.0|0|0.0|0
0|2020-04-13|345.0|0|1.0|0|0.0|0
0|2020-04-14|355.0|0|1.0|0|0.0|0
0|2020-04-15|390.0|0|1.0|0|0.0|0
0|2020-04-16|410.0|0|1.0|0|0.0|0
0|2020-04-17|435.0|0|1.0|0|0.0|0
0|2020-04-18|452.0|0|11.0|0|0.0|0
0|2020-04-19|459.0|0|11.0|0|0.0|0
0|2020-04-20|473.0|0|11.0|0|0.0|0
0|2020-04-21|485.0|0|11.0|0|0.0|0
0|2020-04-22|527.0|0|12.0|0|0.0|0
0|2020-04-23|564.0|0|13.0|0|0.0|0
0|2020-04-24|583.0|0|18.0|0|0.0|0
0|2020-04-25|612.0|0|18.0|0|0.0|0
0|2020-04-26|625.0|0|18.0|0|0.0|0
0|2020-04-27|628.0|0|18.0|0|0.0|0
0|2020-04-28|665.0|0|18.0|0|0.0|0
0|2020-04-29|682.0|0|18.0|0|0.0|0
0|2020-04-30|712.0|0|21.0|0|0.0|0
0|2020-05-01|741.0|0|21.0|0|0.0|0
0|2020-05-02|766.0|0|21.0|0|0.0|0
0|2020-05-03|777.0|0|21.0|0|0.0|0
0|2020-05-04|800.0|0|21.0|0|0.0|0
0|2020-05-05|869.0|0|26.0|0|0.0|0
0|2020-05-06|892.0|0|31.0|0|0.0|0
0|2020-05-07|912.0|0|32.0|0|0.0|0
0|2020-05-08|945.0|0|35.0|0|0.0|0
0|2020-05-09|981.0|0|36.0|0|0.0|0
0|2020-05-10|983.0|0|36.0|0|0.0|0
0|2020-05-11|983.0|0|36.0|0|0.0|0
0|2020-05-12|1017.0|0|41.0|0|0.0|0
0|2020-05-13|1099.0|0|42.0|0|0.0|0
