|dates|Hendry_Florida_UnitedStates.JHU_ConfirmedCases.data|Hendry_Florida_UnitedStates.JHU_ConfirmedCases.missing|Hendry_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Hendry_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Hendry_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Hendry_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|0.0|0|0.0|0|0.0|0
0|2020-03-28|0.0|0|0.0|0|0.0|0
0|2020-03-29|1.0|0|0.0|0|0.0|0
0|2020-03-30|3.0|0|0.0|0|0.0|0
0|2020-03-31|4.0|0|0.0|0|0.0|0
0|2020-04-01|4.0|0|0.0|0|0.0|0
0|2020-04-02|4.0|0|0.0|0|0.0|0
0|2020-04-03|5.0|0|0.0|0|0.0|0
0|2020-04-04|6.0|0|0.0|0|0.0|0
0|2020-04-05|7.0|0|0.0|0|0.0|0
0|2020-04-06|9.0|0|0.0|0|0.0|0
0|2020-04-07|9.0|0|0.0|0|0.0|0
0|2020-04-08|10.0|0|0.0|0|0.0|0
0|2020-04-09|11.0|0|0.0|0|0.0|0
0|2020-04-10|14.0|0|0.0|0|0.0|0
0|2020-04-11|16.0|0|0.0|0|0.0|0
0|2020-04-12|20.0|0|0.0|0|0.0|0
0|2020-04-13|22.0|0|0.0|0|0.0|0
0|2020-04-14|23.0|0|0.0|0|0.0|0
0|2020-04-15|26.0|0|0.0|0|0.0|0
0|2020-04-16|27.0|0|0.0|0|0.0|0
0|2020-04-17|31.0|0|0.0|0|0.0|0
0|2020-04-18|39.0|0|0.0|0|0.0|0
0|2020-04-19|41.0|0|0.0|0|0.0|0
0|2020-04-20|44.0|0|1.0|0|0.0|0
0|2020-04-21|46.0|0|1.0|0|0.0|0
0|2020-04-22|52.0|0|1.0|0|0.0|0
0|2020-04-23|59.0|0|2.0|0|0.0|0
0|2020-04-24|64.0|0|2.0|0|0.0|0
0|2020-04-25|64.0|0|2.0|0|0.0|0
0|2020-04-26|65.0|0|2.0|0|0.0|0
0|2020-04-27|68.0|0|2.0|0|0.0|0
0|2020-04-28|72.0|0|2.0|0|0.0|0
0|2020-04-29|80.0|0|3.0|0|0.0|0
0|2020-04-30|83.0|0|3.0|0|0.0|0
0|2020-05-01|92.0|0|3.0|0|0.0|0
0|2020-05-02|96.0|0|4.0|0|0.0|0
0|2020-05-03|101.0|0|4.0|0|0.0|0
0|2020-05-04|111.0|0|4.0|0|0.0|0
0|2020-05-05|115.0|0|5.0|0|0.0|0
0|2020-05-06|120.0|0|5.0|0|0.0|0
0|2020-05-07|129.0|0|5.0|0|0.0|0
0|2020-05-08|133.0|0|5.0|0|0.0|0
0|2020-05-09|136.0|0|5.0|0|0.0|0
0|2020-05-10|145.0|0|5.0|0|0.0|0
0|2020-05-11|145.0|0|5.0|0|0.0|0
0|2020-05-12|159.0|0|6.0|0|0.0|0
0|2020-05-13|165.0|0|6.0|0|0.0|0
