|dates|Issaquena_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Issaquena_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Issaquena_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Issaquena_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Issaquena_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Issaquena_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|6.0|0|0.0|0|0.0|0
0|2020-03-14|6.0|0|0.0|0|0.0|0
0|2020-03-15|6.0|0|0.0|0|0.0|0
0|2020-03-16|12.0|0|0.0|0|0.0|0
0|2020-03-17|21.0|0|0.0|0|0.0|0
0|2020-03-18|34.0|0|0.0|0|0.0|0
0|2020-03-19|50.0|0|1.0|0|0.0|0
0|2020-03-20|80.0|0|1.0|0|0.0|0
0|2020-03-21|140.0|0|1.0|0|0.0|0
0|2020-03-22|249.0|0|1.0|0|0.0|0
0|2020-03-23|291.0|0|1.0|0|0.0|0
0|2020-03-24|362.0|0|1.0|0|0.0|0
0|2020-03-25|419.0|0|3.0|0|0.0|0
0|2020-03-26|527.0|0|6.0|0|0.0|0
0|2020-03-27|621.0|0|8.0|0|0.0|0
0|2020-03-28|705.0|0|13.0|0|0.0|0
0|2020-03-29|801.0|0|14.0|0|0.0|0
0|2020-03-30|847.0|0|16.0|0|0.0|0
0|2020-03-31|1026.0|0|20.0|0|0.0|0
0|2020-04-01|1162.0|0|22.0|0|0.0|0
0|2020-04-02|1266.0|0|26.0|0|0.0|0
0|2020-04-03|1447.0|0|29.0|0|0.0|0
0|2020-04-04|1544.0|0|35.0|0|0.0|0
0|2020-04-05|1727.0|0|43.0|0|0.0|0
0|2020-04-06|1827.0|0|51.0|0|0.0|0
0|2020-04-07|2004.0|0|60.0|0|0.0|0
0|2020-04-08|2003.0|0|67.0|0|0.0|0
0|2020-04-09|2260.0|0|76.0|0|0.0|0
0|2020-04-10|2469.0|0|82.0|0|0.0|0
0|2020-04-11|2642.0|0|93.0|0|0.0|0
0|2020-04-12|2781.0|0|96.0|0|0.0|0
0|2020-04-13|2942.0|0|98.0|0|0.0|0
0|2020-04-14|3087.0|0|111.0|0|0.0|0
0|2020-04-15|3360.0|0|122.0|0|0.0|0
0|2020-04-16|3624.0|0|129.0|0|0.0|0
0|2020-04-17|3793.0|0|140.0|0|0.0|0
0|2020-04-18|3974.0|0|152.0|0|0.0|0
0|2020-04-19|4274.0|0|159.0|0|0.0|0
0|2020-04-20|4512.0|0|169.0|0|0.0|0
0|2020-04-21|4716.0|0|183.0|0|0.0|0
0|2020-04-22|4894.0|0|193.0|0|0.0|0
0|2020-04-23|5153.0|0|201.0|0|0.0|0
0|2020-04-24|5434.0|0|209.0|0|0.0|0
0|2020-04-25|5718.0|0|221.0|0|0.0|0
0|2020-04-26|5911.0|0|227.0|0|0.0|0
0|2020-04-27|6094.0|0|229.0|0|0.0|0
0|2020-04-28|6342.0|0|239.0|0|0.0|0
0|2020-04-29|6569.0|0|250.0|0|0.0|0
0|2020-04-30|6815.0|0|261.0|0|0.0|0
0|2020-05-01|7212.0|0|281.0|0|0.0|0
0|2020-05-02|7441.0|0|291.0|0|0.0|0
0|2020-05-03|7550.0|0|303.0|0|0.0|0
0|2020-05-04|7877.0|0|310.0|0|0.0|0
0|2020-05-05|8207.0|0|342.0|0|0.0|0
0|2020-05-06|8207.0|0|342.0|0|0.0|0
0|2020-05-07|8207.0|0|342.0|0|0.0|0
0|2020-05-08|8207.0|0|342.0|0|0.0|0
0|2020-05-09|8207.0|0|342.0|0|0.0|0
0|2020-05-10|8207.0|0|342.0|0|0.0|0
0|2020-05-11|8207.0|0|342.0|0|0.0|0
0|2020-05-12|8207.0|0|342.0|0|0.0|0
0|2020-05-13|8207.0|0|342.0|0|0.0|0
