|dates|Livingston_Michigan_UnitedStates.JHU_ConfirmedCases.data|Livingston_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Livingston_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Livingston_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Livingston_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Livingston_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|6.0|0|0.0|0|0.0|0
0|2020-03-22|8.0|0|0.0|0|0.0|0
0|2020-03-23|9.0|0|0.0|0|0.0|0
0|2020-03-24|13.0|0|0.0|0|0.0|0
0|2020-03-25|16.0|0|1.0|0|0.0|0
0|2020-03-26|21.0|0|1.0|0|0.0|0
0|2020-03-27|31.0|0|1.0|0|0.0|0
0|2020-03-28|41.0|0|2.0|0|0.0|0
0|2020-03-29|59.0|0|2.0|0|0.0|0
0|2020-03-30|64.0|0|2.0|0|0.0|0
0|2020-03-31|80.0|0|2.0|0|0.0|0
0|2020-04-01|102.0|0|2.0|0|0.0|0
0|2020-04-02|113.0|0|2.0|0|0.0|0
0|2020-04-03|121.0|0|2.0|0|0.0|0
0|2020-04-04|129.0|0|2.0|0|0.0|0
0|2020-04-05|135.0|0|2.0|0|0.0|0
0|2020-04-06|143.0|0|2.0|0|0.0|0
0|2020-04-07|155.0|0|2.0|0|0.0|0
0|2020-04-08|174.0|0|2.0|0|0.0|0
0|2020-04-09|181.0|0|2.0|0|0.0|0
0|2020-04-10|196.0|0|3.0|0|0.0|0
0|2020-04-11|206.0|0|3.0|0|0.0|0
0|2020-04-12|209.0|0|4.0|0|0.0|0
0|2020-04-13|225.0|0|5.0|0|0.0|0
0|2020-04-14|238.0|0|6.0|0|0.0|0
0|2020-04-15|254.0|0|7.0|0|0.0|0
0|2020-04-16|263.0|0|9.0|0|0.0|0
0|2020-04-17|269.0|0|9.0|0|0.0|0
0|2020-04-18|276.0|0|10.0|0|0.0|0
0|2020-04-19|279.0|0|11.0|0|0.0|0
0|2020-04-20|288.0|0|11.0|0|0.0|0
0|2020-04-21|301.0|0|11.0|0|0.0|0
0|2020-04-22|308.0|0|11.0|0|0.0|0
0|2020-04-23|312.0|0|11.0|0|0.0|0
0|2020-04-24|312.0|0|11.0|0|0.0|0
0|2020-04-25|315.0|0|14.0|0|0.0|0
0|2020-04-26|315.0|0|14.0|0|0.0|0
0|2020-04-27|319.0|0|14.0|0|0.0|0
0|2020-04-28|326.0|0|18.0|0|0.0|0
0|2020-04-29|335.0|0|18.0|0|0.0|0
0|2020-04-30|337.0|0|19.0|0|0.0|0
0|2020-05-01|343.0|0|19.0|0|0.0|0
0|2020-05-02|352.0|0|19.0|0|0.0|0
0|2020-05-03|361.0|0|19.0|0|0.0|0
0|2020-05-04|356.0|0|20.0|0|0.0|0
0|2020-05-05|362.0|0|20.0|0|0.0|0
0|2020-05-06|366.0|0|20.0|0|0.0|0
0|2020-05-07|368.0|0|20.0|0|0.0|0
0|2020-05-08|374.0|0|20.0|0|0.0|0
0|2020-05-09|375.0|0|22.0|0|0.0|0
0|2020-05-10|376.0|0|22.0|0|0.0|0
0|2020-05-11|376.0|0|22.0|0|0.0|0
0|2020-05-12|377.0|0|22.0|0|0.0|0
0|2020-05-13|378.0|0|23.0|0|0.0|0
