|dates|SaltLake_Utah_UnitedStates.JHU_ConfirmedCases.data|SaltLake_Utah_UnitedStates.JHU_ConfirmedCases.missing|SaltLake_Utah_UnitedStates.JHU_ConfirmedDeaths.data|SaltLake_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|SaltLake_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|SaltLake_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|14.0|0|0.0|0|0.0|0
0|2020-03-16|16.0|0|0.0|0|0.0|0
0|2020-03-17|20.0|0|0.0|0|0.0|0
0|2020-03-18|22.0|0|0.0|0|0.0|0
0|2020-03-19|29.0|0|0.0|0|0.0|0
0|2020-03-20|44.0|0|0.0|0|0.0|0
0|2020-03-21|57.0|0|0.0|0|0.0|0
0|2020-03-22|80.0|0|0.0|0|0.0|0
0|2020-03-23|109.0|0|0.0|0|0.0|0
0|2020-03-24|124.0|0|0.0|0|0.0|0
0|2020-03-25|151.0|0|0.0|0|0.0|0
0|2020-03-26|178.0|0|0.0|0|0.0|0
0|2020-03-27|218.0|0|0.0|0|0.0|0
0|2020-03-28|276.0|0|0.0|0|0.0|0
0|2020-03-29|321.0|0|0.0|0|0.0|0
0|2020-03-30|360.0|0|2.0|0|0.0|0
0|2020-03-31|396.0|0|2.0|0|0.0|0
0|2020-04-01|396.0|0|2.0|0|0.0|0
0|2020-04-02|476.0|0|4.0|0|0.0|0
0|2020-04-03|541.0|0|4.0|0|0.0|0
0|2020-04-04|650.0|0|4.0|0|0.0|0
0|2020-04-05|741.0|0|4.0|0|0.0|0
0|2020-04-06|777.0|0|7.0|0|0.0|0
0|2020-04-07|807.0|0|7.0|0|0.0|0
0|2020-04-08|858.0|0|7.0|0|0.0|0
0|2020-04-09|858.0|0|7.0|0|0.0|0
0|2020-04-10|1011.0|0|7.0|0|0.0|0
0|2020-04-11|1071.0|0|7.0|0|0.0|0
0|2020-04-12|1126.0|0|7.0|0|0.0|0
0|2020-04-13|1157.0|0|7.0|0|0.0|0
0|2020-04-14|1187.0|0|7.0|0|0.0|0
0|2020-04-15|1285.0|0|7.0|0|0.0|0
0|2020-04-16|1377.0|0|7.0|0|0.0|0
0|2020-04-17|1456.0|0|12.0|0|0.0|0
0|2020-04-18|1547.0|0|13.0|0|0.0|0
0|2020-04-19|1615.0|0|15.0|0|0.0|0
0|2020-04-20|1671.0|0|15.0|0|0.0|0
0|2020-04-21|1714.0|0|18.0|0|0.0|0
0|2020-04-22|1795.0|0|18.0|0|0.0|0
0|2020-04-23|1889.0|0|20.0|0|0.0|0
0|2020-04-24|1975.0|0|23.0|0|0.0|0
0|2020-04-25|2051.0|0|24.0|0|0.0|0
0|2020-04-26|2144.0|0|24.0|0|0.0|0
0|2020-04-27|2190.0|0|24.0|0|0.0|0
0|2020-04-28|2256.0|0|24.0|0|0.0|0
0|2020-04-29|2348.0|0|28.0|0|0.0|0
0|2020-04-30|2438.0|0|29.0|0|0.0|0
0|2020-05-01|2526.0|0|29.0|0|0.0|0
0|2020-05-02|2609.0|0|30.0|0|0.0|0
0|2020-05-03|2707.0|0|31.0|0|0.0|0
0|2020-05-04|2769.0|0|31.0|0|0.0|0
0|2020-05-05|2832.0|0|35.0|0|0.0|0
0|2020-05-06|2912.0|0|37.0|0|0.0|0
0|2020-05-07|3010.0|0|39.0|0|0.0|0
0|2020-05-08|3104.0|0|39.0|0|0.0|0
0|2020-05-09|3206.0|0|43.0|0|0.0|0
0|2020-05-10|3291.0|0|44.0|0|0.0|0
0|2020-05-11|3291.0|0|44.0|0|0.0|0
0|2020-05-12|3414.0|0|49.0|0|0.0|0
0|2020-05-13|3530.0|0|51.0|0|0.0|0
