|dates|Kanawha_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Kanawha_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Kanawha_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Kanawha_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Kanawha_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Kanawha_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|3.0|0|0.0|0|0.0|0
0|2020-03-24|4.0|0|0.0|0|0.0|0
0|2020-03-25|4.0|0|0.0|0|0.0|0
0|2020-03-26|5.0|0|0.0|0|0.0|0
0|2020-03-27|15.0|0|0.0|0|0.0|0
0|2020-03-28|17.0|0|0.0|0|0.0|0
0|2020-03-29|19.0|0|0.0|0|0.0|0
0|2020-03-30|23.0|0|0.0|0|0.0|0
0|2020-03-31|31.0|0|0.0|0|0.0|0
0|2020-04-01|37.0|0|0.0|0|0.0|0
0|2020-04-02|39.0|0|0.0|0|0.0|0
0|2020-04-03|40.0|0|0.0|0|0.0|0
0|2020-04-04|48.0|0|0.0|0|0.0|0
0|2020-04-05|51.0|0|0.0|0|0.0|0
0|2020-04-06|56.0|0|0.0|0|0.0|0
0|2020-04-07|61.0|0|0.0|0|0.0|0
0|2020-04-08|69.0|0|0.0|0|0.0|0
0|2020-04-09|73.0|0|0.0|0|0.0|0
0|2020-04-10|82.0|0|0.0|0|0.0|0
0|2020-04-11|82.0|0|0.0|0|0.0|0
0|2020-04-12|83.0|0|0.0|0|0.0|0
0|2020-04-13|86.0|0|0.0|0|0.0|0
0|2020-04-14|85.0|0|0.0|0|0.0|0
0|2020-04-15|88.0|0|0.0|0|0.0|0
0|2020-04-16|91.0|0|0.0|0|0.0|0
0|2020-04-17|104.0|0|0.0|0|0.0|0
0|2020-04-18|106.0|0|0.0|0|0.0|0
0|2020-04-19|127.0|0|0.0|0|0.0|0
0|2020-04-20|128.0|0|0.0|0|0.0|0
0|2020-04-21|133.0|0|0.0|0|0.0|0
0|2020-04-22|138.0|0|0.0|0|0.0|0
0|2020-04-23|142.0|0|3.0|0|0.0|0
0|2020-04-24|147.0|0|3.0|0|0.0|0
0|2020-04-25|147.0|0|3.0|0|0.0|0
0|2020-04-26|153.0|0|4.0|0|0.0|0
0|2020-04-27|155.0|0|4.0|0|0.0|0
0|2020-04-28|157.0|0|4.0|0|0.0|0
0|2020-04-29|157.0|0|4.0|0|0.0|0
0|2020-04-30|160.0|0|5.0|0|0.0|0
0|2020-05-01|161.0|0|7.0|0|0.0|0
0|2020-05-02|168.0|0|9.0|0|0.0|0
0|2020-05-03|167.0|0|9.0|0|0.0|0
0|2020-05-04|168.0|0|9.0|0|0.0|0
0|2020-05-05|170.0|0|9.0|0|0.0|0
0|2020-05-06|170.0|0|10.0|0|0.0|0
0|2020-05-07|172.0|0|10.0|0|0.0|0
0|2020-05-08|180.0|0|10.0|0|0.0|0
0|2020-05-09|180.0|0|10.0|0|0.0|0
0|2020-05-10|183.0|0|11.0|0|0.0|0
0|2020-05-11|183.0|0|11.0|0|0.0|0
0|2020-05-12|186.0|0|12.0|0|0.0|0
0|2020-05-13|189.0|0|12.0|0|0.0|0
0|2020-05-14|198.0|0|13.0|0|0.0|0
0|2020-05-15|202.0|0|15.0|0|0.0|0
0|2020-05-16|202.0|0|15.0|0|0.0|0
