|dates|Westchester_NewYork_UnitedStates.JHU_ConfirmedCases.data|Westchester_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Westchester_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Westchester_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Westchester_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Westchester_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|1.0|0|0.0|0|0.0|0
0|2020-03-04|10.0|0|0.0|0|0.0|0
0|2020-03-05|18.0|0|0.0|0|0.0|0
0|2020-03-06|19.0|0|0.0|0|0.0|0
0|2020-03-07|57.0|0|0.0|0|0.0|0
0|2020-03-08|83.0|0|0.0|0|0.0|0
0|2020-03-09|98.0|0|0.0|0|0.0|0
0|2020-03-10|98.0|0|0.0|0|0.0|0
0|2020-03-11|121.0|0|0.0|0|0.0|0
0|2020-03-12|148.0|0|0.0|0|0.0|0
0|2020-03-13|158.0|0|0.0|0|0.0|0
0|2020-03-14|172.0|0|0.0|0|0.0|0
0|2020-03-15|178.0|0|0.0|0|0.0|0
0|2020-03-16|220.0|0|0.0|0|0.0|0
0|2020-03-17|380.0|0|0.0|0|0.0|0
0|2020-03-18|538.0|0|0.0|0|0.0|0
0|2020-03-19|798.0|0|0.0|0|0.0|0
0|2020-03-20|1091.0|0|0.0|0|0.0|0
0|2020-03-21|1387.0|0|0.0|0|0.0|0
0|2020-03-22|1873.0|0|0.0|0|0.0|0
0|2020-03-23|2894.0|0|0.0|0|0.0|0
0|2020-03-24|3891.0|0|1.0|0|0.0|0
0|2020-03-25|4691.0|0|1.0|0|0.0|0
0|2020-03-26|5944.0|0|1.0|0|0.0|0
0|2020-03-27|7187.0|0|1.0|0|0.0|0
0|2020-03-28|7875.0|0|10.0|0|0.0|0
0|2020-03-29|8519.0|0|10.0|0|0.0|0
0|2020-03-30|9326.0|0|10.0|0|0.0|0
0|2020-03-31|9967.0|0|10.0|0|0.0|0
0|2020-04-01|10683.0|0|25.0|0|0.0|0
0|2020-04-02|11567.0|0|64.0|0|0.0|0
0|2020-04-03|12351.0|0|67.0|0|0.0|0
0|2020-04-04|13081.0|0|67.0|0|0.0|0
0|2020-04-05|13723.0|0|67.0|0|0.0|0
0|2020-04-06|14294.0|0|211.0|0|0.0|0
0|2020-04-07|14294.0|0|211.0|0|0.0|0
0|2020-04-08|15887.0|0|283.0|0|0.0|0
0|2020-04-09|17004.0|0|359.0|0|0.0|0
0|2020-04-10|18077.0|0|389.0|0|0.0|0
0|2020-04-11|18729.0|0|461.0|0|0.0|0
0|2020-04-12|19313.0|0|511.0|0|0.0|0
0|2020-04-13|19786.0|0|557.0|0|0.0|0
0|2020-04-14|20191.0|0|596.0|0|0.0|0
0|2020-04-15|20947.0|0|640.0|0|0.0|0
0|2020-04-16|21828.0|0|668.0|0|0.0|0
0|2020-04-17|22476.0|0|668.0|0|0.0|0
0|2020-04-18|23179.0|0|668.0|0|0.0|0
0|2020-04-19|23803.0|0|668.0|0|0.0|0
0|2020-04-20|24306.0|0|776.0|0|0.0|0
0|2020-04-21|24656.0|0|809.0|0|0.0|0
0|2020-04-22|25276.0|0|838.0|0|0.0|0
0|2020-04-23|25959.0|0|863.0|0|0.0|0
0|2020-04-24|26633.0|0|891.0|0|0.0|0
0|2020-04-25|27231.0|0|920.0|0|0.0|0
0|2020-04-26|27664.0|0|946.0|0|0.0|0
0|2020-04-27|28007.0|0|962.0|0|0.0|0
0|2020-04-28|28245.0|0|983.0|0|0.0|0
0|2020-04-29|28626.0|0|1006.0|0|0.0|0
0|2020-04-30|28970.0|0|1031.0|0|0.0|0
0|2020-05-01|29232.0|0|1049.0|0|0.0|0
0|2020-05-02|29626.0|0|1067.0|0|0.0|0
0|2020-05-03|29884.0|0|1086.0|0|0.0|0
0|2020-05-04|30097.0|0|1101.0|0|0.0|0
0|2020-05-05|30240.0|0|1116.0|0|0.0|0
0|2020-05-06|30426.0|0|1167.0|0|0.0|0
0|2020-05-07|30708.0|0|1184.0|0|0.0|0
0|2020-05-08|30905.0|0|1191.0|0|0.0|0
0|2020-05-09|31087.0|0|1203.0|0|0.0|0
0|2020-05-10|31294.0|0|1218.0|0|0.0|0
0|2020-05-11|31294.0|0|1218.0|0|0.0|0
0|2020-05-12|31472.0|0|1238.0|0|0.0|0
0|2020-05-13|31611.0|0|1245.0|0|0.0|0
