|dates|Spalding_Georgia_UnitedStates.JHU_ConfirmedCases.data|Spalding_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Spalding_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Spalding_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Spalding_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Spalding_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|4.0|0|0.0|0|0.0|0
0|2020-03-24|5.0|0|0.0|0|0.0|0
0|2020-03-25|6.0|0|0.0|0|0.0|0
0|2020-03-26|11.0|0|0.0|0|0.0|0
0|2020-03-27|11.0|0|0.0|0|0.0|0
0|2020-03-28|11.0|0|0.0|0|0.0|0
0|2020-03-29|12.0|0|0.0|0|0.0|0
0|2020-03-30|12.0|0|0.0|0|0.0|0
0|2020-03-31|13.0|0|0.0|0|0.0|0
0|2020-04-01|16.0|0|0.0|0|0.0|0
0|2020-04-02|18.0|0|1.0|0|0.0|0
0|2020-04-03|23.0|0|1.0|0|0.0|0
0|2020-04-04|24.0|0|1.0|0|0.0|0
0|2020-04-05|26.0|0|2.0|0|0.0|0
0|2020-04-06|41.0|0|2.0|0|0.0|0
0|2020-04-07|50.0|0|4.0|0|0.0|0
0|2020-04-08|56.0|0|4.0|0|0.0|0
0|2020-04-09|58.0|0|4.0|0|0.0|0
0|2020-04-10|60.0|0|4.0|0|0.0|0
0|2020-04-11|65.0|0|4.0|0|0.0|0
0|2020-04-12|71.0|0|4.0|0|0.0|0
0|2020-04-13|75.0|0|4.0|0|0.0|0
0|2020-04-14|83.0|0|4.0|0|0.0|0
0|2020-04-15|90.0|0|4.0|0|0.0|0
0|2020-04-16|99.0|0|5.0|0|0.0|0
0|2020-04-17|119.0|0|5.0|0|0.0|0
0|2020-04-18|126.0|0|7.0|0|0.0|0
0|2020-04-19|128.0|0|7.0|0|0.0|0
0|2020-04-20|135.0|0|7.0|0|0.0|0
0|2020-04-21|136.0|0|7.0|0|0.0|0
0|2020-04-22|139.0|0|8.0|0|0.0|0
0|2020-04-23|140.0|0|8.0|0|0.0|0
0|2020-04-24|144.0|0|8.0|0|0.0|0
0|2020-04-25|189.0|0|8.0|0|0.0|0
0|2020-04-26|190.0|0|8.0|0|0.0|0
0|2020-04-27|197.0|0|8.0|0|0.0|0
0|2020-04-28|199.0|0|8.0|0|0.0|0
0|2020-04-29|205.0|0|9.0|0|0.0|0
0|2020-04-30|208.0|0|9.0|0|0.0|0
0|2020-05-01|214.0|0|10.0|0|0.0|0
0|2020-05-02|215.0|0|10.0|0|0.0|0
0|2020-05-03|219.0|0|10.0|0|0.0|0
0|2020-05-04|219.0|0|11.0|0|0.0|0
0|2020-05-05|222.0|0|11.0|0|0.0|0
0|2020-05-06|223.0|0|11.0|0|0.0|0
0|2020-05-07|224.0|0|11.0|0|0.0|0
0|2020-05-08|227.0|0|11.0|0|0.0|0
0|2020-05-09|232.0|0|11.0|0|0.0|0
0|2020-05-10|235.0|0|11.0|0|0.0|0
0|2020-05-11|235.0|0|11.0|0|0.0|0
0|2020-05-12|237.0|0|12.0|0|0.0|0
0|2020-05-13|236.0|0|12.0|0|0.0|0
