|dates|Jefferson_Alabama_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|5.0|0|0.0|0|0.0|0
0|2020-03-16|17.0|0|0.0|0|0.0|0
0|2020-03-17|21.0|0|0.0|0|0.0|0
0|2020-03-18|25.0|0|0.0|0|0.0|0
0|2020-03-19|34.0|0|0.0|0|0.0|0
0|2020-03-20|50.0|0|0.0|0|0.0|0
0|2020-03-21|61.0|0|0.0|0|0.0|0
0|2020-03-22|71.0|0|0.0|0|0.0|0
0|2020-03-23|86.0|0|0.0|0|0.0|0
0|2020-03-24|91.0|0|0.0|0|0.0|0
0|2020-03-25|129.0|0|0.0|0|0.0|0
0|2020-03-26|159.0|0|0.0|0|0.0|0
0|2020-03-27|177.0|0|0.0|0|0.0|0
0|2020-03-28|195.0|0|0.0|0|0.0|0
0|2020-03-29|245.0|0|0.0|0|0.0|0
0|2020-03-30|254.0|0|0.0|0|0.0|0
0|2020-03-31|270.0|0|0.0|0|0.0|0
0|2020-04-01|292.0|0|4.0|0|0.0|0
0|2020-04-02|314.0|0|4.0|0|0.0|0
0|2020-04-03|351.0|0|6.0|0|0.0|0
0|2020-04-04|373.0|0|9.0|0|0.0|0
0|2020-04-05|416.0|0|9.0|0|0.0|0
0|2020-04-06|423.0|0|10.0|0|0.0|0
0|2020-04-07|457.0|0|12.0|0|0.0|0
0|2020-04-08|479.0|0|13.0|0|0.0|0
0|2020-04-09|507.0|0|14.0|0|0.0|0
0|2020-04-10|536.0|0|14.0|0|0.0|0
0|2020-04-11|579.0|0|15.0|0|0.0|0
0|2020-04-12|597.0|0|15.0|0|0.0|0
0|2020-04-13|612.0|0|15.0|0|0.0|0
0|2020-04-14|620.0|0|16.0|0|0.0|0
0|2020-04-15|625.0|0|17.0|0|0.0|0
0|2020-04-16|634.0|0|22.0|0|0.0|0
0|2020-04-17|651.0|0|24.0|0|0.0|0
0|2020-04-18|671.0|0|25.0|0|0.0|0
0|2020-04-19|682.0|0|25.0|0|0.0|0
0|2020-04-20|688.0|0|26.0|0|0.0|0
0|2020-04-21|698.0|0|26.0|0|0.0|0
0|2020-04-22|726.0|0|31.0|0|0.0|0
0|2020-04-23|778.0|0|32.0|0|0.0|0
0|2020-04-24|797.0|0|33.0|0|0.0|0
0|2020-04-25|797.0|0|33.0|0|0.0|0
0|2020-04-26|839.0|0|33.0|0|0.0|0
0|2020-04-27|839.0|0|36.0|0|0.0|0
0|2020-04-28|861.0|0|41.0|0|0.0|0
0|2020-04-29|880.0|0|43.0|0|0.0|0
0|2020-04-30|886.0|0|46.0|0|0.0|0
0|2020-05-01|929.0|0|48.0|0|0.0|0
0|2020-05-02|946.0|0|48.0|0|0.0|0
0|2020-05-03|969.0|0|48.0|0|0.0|0
0|2020-05-04|992.0|0|48.0|0|0.0|0
0|2020-05-05|1020.0|0|49.0|0|0.0|0
0|2020-05-06|1048.0|0|53.0|0|0.0|0
0|2020-05-07|1065.0|0|57.0|0|0.0|0
0|2020-05-08|1094.0|0|59.0|0|0.0|0
0|2020-05-09|1109.0|0|60.0|0|0.0|0
0|2020-05-10|1121.0|0|60.0|0|0.0|0
0|2020-05-11|1121.0|0|60.0|0|0.0|0
0|2020-05-12|1153.0|0|62.0|0|0.0|0
0|2020-05-13|1199.0|0|64.0|0|0.0|0
