|dates|Cole_Missouri_UnitedStates.JHU_ConfirmedCases.data|Cole_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Cole_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Cole_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Cole_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Cole_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|3.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|5.0|0|0.0|0|0.0|0
0|2020-03-24|5.0|0|0.0|0|0.0|0
0|2020-03-25|6.0|0|0.0|0|0.0|0
0|2020-03-26|8.0|0|0.0|0|0.0|0
0|2020-03-27|10.0|0|0.0|0|0.0|0
0|2020-03-28|17.0|0|0.0|0|0.0|0
0|2020-03-29|17.0|0|0.0|0|0.0|0
0|2020-03-30|25.0|0|0.0|0|0.0|0
0|2020-03-31|25.0|0|0.0|0|0.0|0
0|2020-04-01|25.0|0|0.0|0|0.0|0
0|2020-04-02|25.0|0|0.0|0|0.0|0
0|2020-04-03|25.0|0|0.0|0|0.0|0
0|2020-04-04|28.0|0|0.0|0|0.0|0
0|2020-04-05|28.0|0|1.0|0|0.0|0
0|2020-04-06|31.0|0|1.0|0|0.0|0
0|2020-04-07|32.0|0|1.0|0|0.0|0
0|2020-04-08|32.0|0|1.0|0|0.0|0
0|2020-04-09|35.0|0|1.0|0|0.0|0
0|2020-04-10|35.0|0|1.0|0|0.0|0
0|2020-04-11|36.0|0|1.0|0|0.0|0
0|2020-04-12|36.0|0|1.0|0|0.0|0
0|2020-04-13|37.0|0|1.0|0|0.0|0
0|2020-04-14|38.0|0|1.0|0|0.0|0
0|2020-04-15|38.0|0|1.0|0|0.0|0
0|2020-04-16|41.0|0|1.0|0|0.0|0
0|2020-04-17|42.0|0|1.0|0|0.0|0
0|2020-04-18|44.0|0|1.0|0|0.0|0
0|2020-04-19|46.0|0|1.0|0|0.0|0
0|2020-04-20|46.0|0|1.0|0|0.0|0
0|2020-04-21|46.0|0|1.0|0|0.0|0
0|2020-04-22|46.0|0|1.0|0|0.0|0
0|2020-04-23|47.0|0|1.0|0|0.0|0
0|2020-04-24|49.0|0|1.0|0|0.0|0
0|2020-04-25|50.0|0|1.0|0|0.0|0
0|2020-04-26|50.0|0|1.0|0|0.0|0
0|2020-04-27|50.0|0|1.0|0|0.0|0
0|2020-04-28|50.0|0|1.0|0|0.0|0
0|2020-04-29|50.0|0|1.0|0|0.0|0
0|2020-04-30|51.0|0|1.0|0|0.0|0
0|2020-05-01|51.0|0|1.0|0|0.0|0
0|2020-05-02|53.0|0|1.0|0|0.0|0
0|2020-05-03|54.0|0|1.0|0|0.0|0
0|2020-05-04|54.0|0|1.0|0|0.0|0
0|2020-05-05|52.0|0|1.0|0|0.0|0
0|2020-05-06|53.0|0|1.0|0|0.0|0
0|2020-05-07|55.0|0|1.0|0|0.0|0
0|2020-05-08|54.0|0|1.0|0|0.0|0
0|2020-05-09|54.0|0|1.0|0|0.0|0
0|2020-05-10|56.0|0|1.0|0|0.0|0
0|2020-05-11|56.0|0|1.0|0|0.0|0
0|2020-05-12|56.0|0|1.0|0|0.0|0
0|2020-05-13|56.0|0|1.0|0|0.0|0
