|dates|Moore_Texas_UnitedStates.JHU_ConfirmedCases.data|Moore_Texas_UnitedStates.JHU_ConfirmedCases.missing|Moore_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Moore_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Moore_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Moore_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|0.0|0|0.0|0|0.0|0
0|2020-03-28|0.0|0|0.0|0|0.0|0
0|2020-03-29|0.0|0|0.0|0|0.0|0
0|2020-03-30|1.0|0|0.0|0|0.0|0
0|2020-03-31|1.0|0|0.0|0|0.0|0
0|2020-04-01|1.0|0|0.0|0|0.0|0
0|2020-04-02|6.0|0|0.0|0|0.0|0
0|2020-04-03|6.0|0|0.0|0|0.0|0
0|2020-04-04|6.0|0|0.0|0|0.0|0
0|2020-04-05|6.0|0|0.0|0|0.0|0
0|2020-04-06|6.0|0|0.0|0|0.0|0
0|2020-04-07|8.0|0|0.0|0|0.0|0
0|2020-04-08|9.0|0|0.0|0|0.0|0
0|2020-04-09|15.0|0|0.0|0|0.0|0
0|2020-04-10|21.0|0|0.0|0|0.0|0
0|2020-04-11|21.0|0|0.0|0|0.0|0
0|2020-04-12|22.0|0|0.0|0|0.0|0
0|2020-04-13|22.0|0|0.0|0|0.0|0
0|2020-04-14|36.0|0|0.0|0|0.0|0
0|2020-04-15|52.0|0|0.0|0|0.0|0
0|2020-04-16|59.0|0|0.0|0|0.0|0
0|2020-04-17|75.0|0|0.0|0|0.0|0
0|2020-04-18|99.0|0|0.0|0|0.0|0
0|2020-04-19|106.0|0|0.0|0|0.0|0
0|2020-04-20|121.0|0|2.0|0|0.0|0
0|2020-04-21|139.0|0|2.0|0|0.0|0
0|2020-04-22|162.0|0|2.0|0|0.0|0
0|2020-04-23|172.0|0|2.0|0|0.0|0
0|2020-04-24|186.0|0|2.0|0|0.0|0
0|2020-04-25|192.0|0|3.0|0|0.0|0
0|2020-04-26|252.0|0|3.0|0|0.0|0
0|2020-04-27|272.0|0|3.0|0|0.0|0
0|2020-04-28|294.0|0|3.0|0|0.0|0
0|2020-04-29|295.0|0|3.0|0|0.0|0
0|2020-04-30|327.0|0|3.0|0|0.0|0
0|2020-05-01|350.0|0|5.0|0|0.0|0
0|2020-05-02|363.0|0|5.0|0|0.0|0
0|2020-05-03|399.0|0|6.0|0|0.0|0
0|2020-05-04|399.0|0|6.0|0|0.0|0
0|2020-05-05|434.0|0|6.0|0|0.0|0
0|2020-05-06|448.0|0|6.0|0|0.0|0
0|2020-05-07|454.0|0|6.0|0|0.0|0
0|2020-05-08|487.0|0|7.0|0|0.0|0
0|2020-05-09|494.0|0|8.0|0|0.0|0
0|2020-05-10|527.0|0|8.0|0|0.0|0
0|2020-05-11|527.0|0|8.0|0|0.0|0
0|2020-05-12|535.0|0|9.0|0|0.0|0
0|2020-05-13|526.0|0|9.0|0|0.0|0
