|dates|Unassigned_RhodeIsland_UnitedStates.JHU_ConfirmedCases.data|Unassigned_RhodeIsland_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_RhodeIsland_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_RhodeIsland_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_RhodeIsland_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_RhodeIsland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|9.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|10.0|0|0.0|0|0.0|0
0|2020-03-21|12.0|0|0.0|0|0.0|0
0|2020-03-22|8.0|0|0.0|0|0.0|0
0|2020-03-23|5.0|0|0.0|0|0.0|0
0|2020-03-24|23.0|0|0.0|0|0.0|0
0|2020-03-25|31.0|0|0.0|0|0.0|0
0|2020-03-26|33.0|0|0.0|0|0.0|0
0|2020-03-27|71.0|0|0.0|0|0.0|0
0|2020-03-28|107.0|0|2.0|0|0.0|0
0|2020-03-29|57.0|0|3.0|0|0.0|0
0|2020-03-30|171.0|0|4.0|0|0.0|0
0|2020-03-31|184.0|0|8.0|0|0.0|0
0|2020-04-01|160.0|0|10.0|0|0.0|0
0|2020-04-02|80.0|0|12.0|0|0.0|0
0|2020-04-03|146.0|0|11.0|0|0.0|0
0|2020-04-04|241.0|0|14.0|0|0.0|0
0|2020-04-05|238.0|0|22.0|0|0.0|0
0|2020-04-06|332.0|0|24.0|0|0.0|0
0|2020-04-07|353.0|0|27.0|0|0.0|0
0|2020-04-08|274.0|0|32.0|0|0.0|0
0|2020-04-09|551.0|0|40.0|0|0.0|0
0|2020-04-10|408.0|0|40.0|0|0.0|0
0|2020-04-11|649.0|0|53.0|0|0.0|0
0|2020-04-12|965.0|0|60.0|0|0.0|0
0|2020-04-13|965.0|0|60.0|0|0.0|0
0|2020-04-14|1551.0|0|77.0|0|0.0|0
0|2020-04-15|756.0|0|77.0|0|0.0|0
0|2020-04-16|902.0|0|84.0|0|0.0|0
0|2020-04-17|790.0|0|115.0|0|0.0|0
0|2020-04-18|1146.0|0|134.0|0|0.0|0
0|2020-04-19|1030.0|0|147.0|0|0.0|0
0|2020-04-20|861.0|0|152.0|0|0.0|0
0|2020-04-21|1000.0|0|168.0|0|0.0|0
0|2020-04-22|895.0|0|178.0|0|0.0|0
0|2020-04-23|1006.0|0|189.0|0|0.0|0
0|2020-04-24|1132.0|0|202.0|0|0.0|0
0|2020-04-25|1198.0|0|215.0|0|0.0|0
0|2020-04-26|1109.0|0|226.0|0|0.0|0
0|2020-04-27|1160.0|0|233.0|0|0.0|0
0|2020-04-28|1267.0|0|239.0|0|0.0|0
0|2020-04-29|1065.0|0|251.0|0|0.0|0
0|2020-04-30|1087.0|0|266.0|0|0.0|0
0|2020-05-01|1104.0|0|279.0|0|0.0|0
0|2020-05-02|1142.0|0|296.0|0|0.0|0
0|2020-05-03|1086.0|0|320.0|0|0.0|0
0|2020-05-04|1133.0|0|341.0|0|0.0|0
0|2020-05-05|1414.0|0|355.0|0|0.0|0
0|2020-05-06|1686.0|0|370.0|0|0.0|0
0|2020-05-07|2011.0|0|388.0|0|0.0|0
0|2020-05-08|2260.0|0|399.0|0|0.0|0
0|2020-05-09|2470.0|0|418.0|0|0.0|0
0|2020-05-10|2755.0|0|422.0|0|0.0|0
0|2020-05-11|2755.0|0|422.0|0|0.0|0
0|2020-05-12|1198.0|0|444.0|0|0.0|0
0|2020-05-13|1046.0|0|462.0|0|0.0|0
