|dates|Anchorage_Alaska_UnitedStates.JHU_ConfirmedCases.data|Anchorage_Alaska_UnitedStates.JHU_ConfirmedCases.missing|Anchorage_Alaska_UnitedStates.JHU_ConfirmedDeaths.data|Anchorage_Alaska_UnitedStates.JHU_ConfirmedDeaths.missing|Anchorage_Alaska_UnitedStates.JHU_ConfirmedRecoveries.data|Anchorage_Alaska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|4.0|0|0.0|0|0.0|0
0|2020-03-20|4.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|5.0|0|0.0|0|0.0|0
0|2020-03-23|13.0|0|0.0|0|0.0|0
0|2020-03-24|17.0|0|0.0|0|0.0|0
0|2020-03-25|17.0|0|0.0|0|0.0|0
0|2020-03-26|28.0|0|0.0|0|0.0|0
0|2020-03-27|30.0|0|0.0|0|0.0|0
0|2020-03-28|43.0|0|1.0|0|0.0|0
0|2020-03-29|54.0|0|1.0|0|0.0|0
0|2020-03-30|59.0|0|1.0|0|0.0|0
0|2020-03-31|61.0|0|1.0|0|0.0|0
0|2020-04-01|65.0|0|1.0|0|0.0|0
0|2020-04-02|67.0|0|1.0|0|0.0|0
0|2020-04-03|73.0|0|1.0|0|0.0|0
0|2020-04-04|81.0|0|1.0|0|0.0|0
0|2020-04-05|85.0|0|1.0|0|0.0|0
0|2020-04-06|88.0|0|1.0|0|0.0|0
0|2020-04-07|98.0|0|4.0|0|0.0|0
0|2020-04-08|103.0|0|4.0|0|0.0|0
0|2020-04-09|109.0|0|4.0|0|0.0|0
0|2020-04-10|112.0|0|4.0|0|0.0|0
0|2020-04-11|121.0|0|4.0|0|0.0|0
0|2020-04-12|127.0|0|4.0|0|0.0|0
0|2020-04-13|131.0|0|4.0|0|0.0|0
0|2020-04-14|136.0|0|4.0|0|0.0|0
0|2020-04-15|139.0|0|4.0|0|0.0|0
0|2020-04-16|143.0|0|4.0|0|0.0|0
0|2020-04-17|150.0|0|4.0|0|0.0|0
0|2020-04-18|151.0|0|4.0|0|0.0|0
0|2020-04-19|154.0|0|4.0|0|0.0|0
0|2020-04-20|155.0|0|4.0|0|0.0|0
0|2020-04-21|160.0|0|4.0|0|0.0|0
0|2020-04-22|164.0|0|4.0|0|0.0|0
0|2020-04-23|166.0|0|4.0|0|0.0|0
0|2020-04-24|168.0|0|4.0|0|0.0|0
0|2020-04-25|168.0|0|4.0|0|0.0|0
0|2020-04-26|168.0|0|4.0|0|0.0|0
0|2020-04-27|171.0|0|4.0|0|0.0|0
0|2020-04-28|175.0|0|4.0|0|0.0|0
0|2020-04-29|179.0|0|4.0|0|0.0|0
0|2020-04-30|179.0|0|4.0|0|0.0|0
0|2020-05-01|185.0|0|4.0|0|0.0|0
0|2020-05-02|185.0|0|4.0|0|0.0|0
0|2020-05-03|187.0|0|4.0|0|0.0|0
0|2020-05-04|189.0|0|4.0|0|0.0|0
0|2020-05-05|190.0|0|4.0|0|0.0|0
0|2020-05-06|190.0|0|4.0|0|0.0|0
0|2020-05-07|191.0|0|4.0|0|0.0|0
0|2020-05-08|194.0|0|4.0|0|0.0|0
0|2020-05-09|194.0|0|4.0|0|0.0|0
0|2020-05-10|194.0|0|4.0|0|0.0|0
0|2020-05-11|194.0|0|4.0|0|0.0|0
0|2020-05-12|194.0|0|4.0|0|0.0|0
0|2020-05-13|194.0|0|4.0|0|0.0|0
