|dates|Cumberland_NewJersey_UnitedStates.JHU_ConfirmedCases.data|Cumberland_NewJersey_UnitedStates.JHU_ConfirmedCases.missing|Cumberland_NewJersey_UnitedStates.JHU_ConfirmedDeaths.data|Cumberland_NewJersey_UnitedStates.JHU_ConfirmedDeaths.missing|Cumberland_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.data|Cumberland_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|4.0|0|0.0|0|0.0|0
0|2020-03-27|9.0|0|0.0|0|0.0|0
0|2020-03-28|11.0|0|0.0|0|0.0|0
0|2020-03-29|11.0|0|0.0|0|0.0|0
0|2020-03-30|12.0|0|1.0|0|0.0|0
0|2020-03-31|18.0|0|1.0|0|0.0|0
0|2020-04-01|27.0|0|1.0|0|0.0|0
0|2020-04-02|31.0|0|1.0|0|0.0|0
0|2020-04-03|36.0|0|1.0|0|0.0|0
0|2020-04-04|40.0|0|2.0|0|0.0|0
0|2020-04-05|54.0|0|2.0|0|0.0|0
0|2020-04-06|64.0|0|2.0|0|0.0|0
0|2020-04-07|71.0|0|2.0|0|0.0|0
0|2020-04-08|80.0|0|2.0|0|0.0|0
0|2020-04-09|111.0|0|3.0|0|0.0|0
0|2020-04-10|138.0|0|3.0|0|0.0|0
0|2020-04-11|154.0|0|3.0|0|0.0|0
0|2020-04-12|165.0|0|3.0|0|0.0|0
0|2020-04-13|187.0|0|3.0|0|0.0|0
0|2020-04-14|201.0|0|3.0|0|0.0|0
0|2020-04-15|210.0|0|3.0|0|0.0|0
0|2020-04-16|223.0|0|3.0|0|0.0|0
0|2020-04-17|263.0|0|3.0|0|0.0|0
0|2020-04-18|272.0|0|4.0|0|0.0|0
0|2020-04-19|308.0|0|4.0|0|0.0|0
0|2020-04-20|338.0|0|4.0|0|0.0|0
0|2020-04-21|360.0|0|4.0|0|0.0|0
0|2020-04-22|382.0|0|5.0|0|0.0|0
0|2020-04-23|424.0|0|5.0|0|0.0|0
0|2020-04-24|466.0|0|5.0|0|0.0|0
0|2020-04-25|504.0|0|6.0|0|0.0|0
0|2020-04-26|520.0|0|6.0|0|0.0|0
0|2020-04-27|595.0|0|8.0|0|0.0|0
0|2020-04-28|659.0|0|10.0|0|0.0|0
0|2020-04-29|687.0|0|10.0|0|0.0|0
0|2020-04-30|723.0|0|12.0|0|0.0|0
0|2020-05-01|746.0|0|13.0|0|0.0|0
0|2020-05-02|809.0|0|16.0|0|0.0|0
0|2020-05-03|881.0|0|17.0|0|0.0|0
0|2020-05-04|940.0|0|19.0|0|0.0|0
0|2020-05-05|985.0|0|23.0|0|0.0|0
0|2020-05-06|1059.0|0|25.0|0|0.0|0
0|2020-05-07|1090.0|0|25.0|0|0.0|0
0|2020-05-08|1124.0|0|28.0|0|0.0|0
0|2020-05-09|1245.0|0|34.0|0|0.0|0
0|2020-05-10|1287.0|0|36.0|0|0.0|0
0|2020-05-11|1287.0|0|36.0|0|0.0|0
0|2020-05-12|1427.0|0|43.0|0|0.0|0
0|2020-05-13|1447.0|0|43.0|0|0.0|0
