|dates|Clarke_Georgia_UnitedStates.JHU_ConfirmedCases.data|Clarke_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Clarke_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Clarke_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Clarke_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Clarke_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|3.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|5.0|0|0.0|0|0.0|0
0|2020-03-19|8.0|0|0.0|0|0.0|0
0|2020-03-20|10.0|0|0.0|0|0.0|0
0|2020-03-21|9.0|0|0.0|0|0.0|0
0|2020-03-22|9.0|0|0.0|0|0.0|0
0|2020-03-23|14.0|0|0.0|0|0.0|0
0|2020-03-24|16.0|0|0.0|0|0.0|0
0|2020-03-25|19.0|0|1.0|0|0.0|0
0|2020-03-26|24.0|0|1.0|0|0.0|0
0|2020-03-27|32.0|0|1.0|0|0.0|0
0|2020-03-28|35.0|0|2.0|0|0.0|0
0|2020-03-29|35.0|0|2.0|0|0.0|0
0|2020-03-30|41.0|0|5.0|0|0.0|0
0|2020-03-31|50.0|0|5.0|0|0.0|0
0|2020-04-01|51.0|0|5.0|0|0.0|0
0|2020-04-02|54.0|0|7.0|0|0.0|0
0|2020-04-03|57.0|0|8.0|0|0.0|0
0|2020-04-04|60.0|0|8.0|0|0.0|0
0|2020-04-05|62.0|0|8.0|0|0.0|0
0|2020-04-06|69.0|0|8.0|0|0.0|0
0|2020-04-07|77.0|0|9.0|0|0.0|0
0|2020-04-08|81.0|0|9.0|0|0.0|0
0|2020-04-09|81.0|0|9.0|0|0.0|0
0|2020-04-10|81.0|0|10.0|0|0.0|0
0|2020-04-11|82.0|0|11.0|0|0.0|0
0|2020-04-12|83.0|0|11.0|0|0.0|0
0|2020-04-13|85.0|0|11.0|0|0.0|0
0|2020-04-14|95.0|0|12.0|0|0.0|0
0|2020-04-15|98.0|0|12.0|0|0.0|0
0|2020-04-16|102.0|0|12.0|0|0.0|0
0|2020-04-17|106.0|0|12.0|0|0.0|0
0|2020-04-18|106.0|0|13.0|0|0.0|0
0|2020-04-19|108.0|0|13.0|0|0.0|0
0|2020-04-20|114.0|0|13.0|0|0.0|0
0|2020-04-21|114.0|0|13.0|0|0.0|0
0|2020-04-22|118.0|0|13.0|0|0.0|0
0|2020-04-23|122.0|0|13.0|0|0.0|0
0|2020-04-24|127.0|0|13.0|0|0.0|0
0|2020-04-25|127.0|0|13.0|0|0.0|0
0|2020-04-26|123.0|0|13.0|0|0.0|0
0|2020-04-27|140.0|0|13.0|0|0.0|0
0|2020-04-28|142.0|0|13.0|0|0.0|0
0|2020-04-29|144.0|0|13.0|0|0.0|0
0|2020-04-30|150.0|0|13.0|0|0.0|0
0|2020-05-01|155.0|0|13.0|0|0.0|0
0|2020-05-02|156.0|0|13.0|0|0.0|0
0|2020-05-03|156.0|0|13.0|0|0.0|0
0|2020-05-04|161.0|0|13.0|0|0.0|0
0|2020-05-05|168.0|0|13.0|0|0.0|0
0|2020-05-06|174.0|0|13.0|0|0.0|0
0|2020-05-07|176.0|0|13.0|0|0.0|0
0|2020-05-08|180.0|0|13.0|0|0.0|0
0|2020-05-09|182.0|0|13.0|0|0.0|0
0|2020-05-10|186.0|0|13.0|0|0.0|0
0|2020-05-11|186.0|0|13.0|0|0.0|0
0|2020-05-12|189.0|0|13.0|0|0.0|0
0|2020-05-13|190.0|0|13.0|0|0.0|0
