|dates|Boone_Indiana_UnitedStates.JHU_ConfirmedCases.data|Boone_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Boone_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Boone_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Boone_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Boone_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|3.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|4.0|0|0.0|0|0.0|0
0|2020-03-26|7.0|0|0.0|0|0.0|0
0|2020-03-27|7.0|0|0.0|0|0.0|0
0|2020-03-28|8.0|0|0.0|0|0.0|0
0|2020-03-29|13.0|0|0.0|0|0.0|0
0|2020-03-30|20.0|0|0.0|0|0.0|0
0|2020-03-31|22.0|0|0.0|0|0.0|0
0|2020-04-01|29.0|0|0.0|0|0.0|0
0|2020-04-02|32.0|0|0.0|0|0.0|0
0|2020-04-03|38.0|0|0.0|0|0.0|0
0|2020-04-04|50.0|0|0.0|0|0.0|0
0|2020-04-05|57.0|0|1.0|0|0.0|0
0|2020-04-06|64.0|0|1.0|0|0.0|0
0|2020-04-07|74.0|0|1.0|0|0.0|0
0|2020-04-08|76.0|0|2.0|0|0.0|0
0|2020-04-09|84.0|0|2.0|0|0.0|0
0|2020-04-10|90.0|0|2.0|0|0.0|0
0|2020-04-11|103.0|0|2.0|0|0.0|0
0|2020-04-12|109.0|0|2.0|0|0.0|0
0|2020-04-13|109.0|0|2.0|0|0.0|0
0|2020-04-14|125.0|0|3.0|0|0.0|0
0|2020-04-15|129.0|0|4.0|0|0.0|0
0|2020-04-16|136.0|0|5.0|0|0.0|0
0|2020-04-17|145.0|0|7.0|0|0.0|0
0|2020-04-18|151.0|0|8.0|0|0.0|0
0|2020-04-19|153.0|0|8.0|0|0.0|0
0|2020-04-20|154.0|0|8.0|0|0.0|0
0|2020-04-21|161.0|0|17.0|0|0.0|0
0|2020-04-22|166.0|0|18.0|0|0.0|0
0|2020-04-23|172.0|0|19.0|0|0.0|0
0|2020-04-24|177.0|0|19.0|0|0.0|0
0|2020-04-25|182.0|0|19.0|0|0.0|0
0|2020-04-26|182.0|0|20.0|0|0.0|0
0|2020-04-27|183.0|0|20.0|0|0.0|0
0|2020-04-28|185.0|0|20.0|0|0.0|0
0|2020-04-29|186.0|0|20.0|0|0.0|0
0|2020-04-30|190.0|0|20.0|0|0.0|0
0|2020-05-01|189.0|0|23.0|0|0.0|0
0|2020-05-02|198.0|0|23.0|0|0.0|0
0|2020-05-03|198.0|0|23.0|0|0.0|0
0|2020-05-04|199.0|0|24.0|0|0.0|0
0|2020-05-05|207.0|0|26.0|0|0.0|0
0|2020-05-06|207.0|0|26.0|0|0.0|0
0|2020-05-07|211.0|0|27.0|0|0.0|0
0|2020-05-08|214.0|0|27.0|0|0.0|0
0|2020-05-09|219.0|0|30.0|0|0.0|0
0|2020-05-10|223.0|0|31.0|0|0.0|0
0|2020-05-11|223.0|0|31.0|0|0.0|0
0|2020-05-12|235.0|0|31.0|0|0.0|0
0|2020-05-13|235.0|0|31.0|0|0.0|0
