|dates|Honolulu_Hawaii_UnitedStates.JHU_ConfirmedCases.data|Honolulu_Hawaii_UnitedStates.JHU_ConfirmedCases.missing|Honolulu_Hawaii_UnitedStates.JHU_ConfirmedDeaths.data|Honolulu_Hawaii_UnitedStates.JHU_ConfirmedDeaths.missing|Honolulu_Hawaii_UnitedStates.JHU_ConfirmedRecoveries.data|Honolulu_Hawaii_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|2.0|0|0.0|0|0.0|0
0|2020-03-11|2.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|2.0|0|0.0|0|0.0|0
0|2020-03-15|3.0|0|0.0|0|0.0|0
0|2020-03-16|5.0|0|0.0|0|0.0|0
0|2020-03-17|6.0|0|0.0|0|0.0|0
0|2020-03-18|10.0|0|0.0|0|0.0|0
0|2020-03-19|10.0|0|0.0|0|0.0|0
0|2020-03-20|28.0|0|0.0|0|0.0|0
0|2020-03-21|28.0|0|0.0|0|0.0|0
0|2020-03-22|41.0|0|0.0|0|0.0|0
0|2020-03-23|41.0|0|0.0|0|0.0|0
0|2020-03-24|58.0|0|1.0|0|0.0|0
0|2020-03-25|58.0|0|0.0|0|0.0|0
0|2020-03-26|68.0|0|0.0|0|0.0|0
0|2020-03-27|76.0|0|0.0|0|0.0|0
0|2020-03-28|108.0|0|0.0|0|0.0|0
0|2020-03-29|108.0|0|0.0|0|0.0|0
0|2020-03-30|123.0|0|0.0|0|0.0|0
0|2020-03-31|139.0|0|0.0|0|0.0|0
0|2020-04-01|157.0|0|0.0|0|0.0|0
0|2020-04-02|182.0|0|1.0|0|0.0|0
0|2020-04-03|237.0|0|3.0|0|0.0|0
0|2020-04-04|266.0|0|3.0|0|0.0|0
0|2020-04-05|281.0|0|4.0|0|0.0|0
0|2020-04-06|292.0|0|4.0|0|0.0|0
0|2020-04-07|312.0|0|4.0|0|0.0|0
0|2020-04-08|312.0|0|4.0|0|0.0|0
0|2020-04-09|334.0|0|4.0|0|0.0|0
0|2020-04-10|334.0|0|4.0|0|0.0|0
0|2020-04-11|343.0|0|5.0|0|0.0|0
0|2020-04-12|350.0|0|6.0|0|0.0|0
0|2020-04-13|352.0|0|6.0|0|0.0|0
0|2020-04-14|358.0|0|6.0|0|0.0|0
0|2020-04-15|369.0|0|6.0|0|0.0|0
0|2020-04-16|369.0|0|6.0|0|0.0|0
0|2020-04-17|373.0|0|6.0|0|0.0|0
0|2020-04-18|382.0|0|6.0|0|0.0|0
0|2020-04-19|385.0|0|6.0|0|0.0|0
0|2020-04-20|385.0|0|6.0|0|0.0|0
0|2020-04-21|385.0|0|6.0|0|0.0|0
0|2020-04-22|388.0|0|7.0|0|0.0|0
0|2020-04-23|389.0|0|7.0|0|0.0|0
0|2020-04-24|392.0|0|8.0|0|0.0|0
0|2020-04-25|395.0|0|8.0|0|0.0|0
0|2020-04-26|396.0|0|9.0|0|0.0|0
0|2020-04-27|396.0|0|11.0|0|0.0|0
0|2020-04-28|396.0|0|11.0|0|0.0|0
0|2020-04-29|399.0|0|11.0|0|0.0|0
0|2020-04-30|399.0|0|11.0|0|0.0|0
0|2020-05-01|400.0|0|11.0|0|0.0|0
0|2020-05-02|400.0|0|11.0|0|0.0|0
0|2020-05-03|400.0|0|11.0|0|0.0|0
0|2020-05-04|400.0|0|11.0|0|0.0|0
0|2020-05-05|404.0|0|11.0|0|0.0|0
0|2020-05-06|405.0|0|11.0|0|0.0|0
0|2020-05-07|408.0|0|11.0|0|0.0|0
0|2020-05-08|408.0|0|11.0|0|0.0|0
0|2020-05-09|407.0|0|11.0|0|0.0|0
0|2020-05-10|408.0|0|11.0|0|0.0|0
0|2020-05-11|408.0|0|11.0|0|0.0|0
0|2020-05-12|411.0|0|11.0|0|0.0|0
0|2020-05-13|414.0|0|11.0|0|0.0|0
