|dates|Monroe_Indiana_UnitedStates.JHU_ConfirmedCases.data|Monroe_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Monroe_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Monroe_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Monroe_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Monroe_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|4.0|0|0.0|0|0.0|0
0|2020-03-26|6.0|0|0.0|0|0.0|0
0|2020-03-27|8.0|0|0.0|0|0.0|0
0|2020-03-28|16.0|0|0.0|0|0.0|0
0|2020-03-29|22.0|0|0.0|0|0.0|0
0|2020-03-30|26.0|0|0.0|0|0.0|0
0|2020-03-31|30.0|0|0.0|0|0.0|0
0|2020-04-01|33.0|0|0.0|0|0.0|0
0|2020-04-02|36.0|0|0.0|0|0.0|0
0|2020-04-03|40.0|0|0.0|0|0.0|0
0|2020-04-04|45.0|0|0.0|0|0.0|0
0|2020-04-05|48.0|0|0.0|0|0.0|0
0|2020-04-06|48.0|0|0.0|0|0.0|0
0|2020-04-07|54.0|0|0.0|0|0.0|0
0|2020-04-08|60.0|0|0.0|0|0.0|0
0|2020-04-09|61.0|0|0.0|0|0.0|0
0|2020-04-10|70.0|0|0.0|0|0.0|0
0|2020-04-11|75.0|0|0.0|0|0.0|0
0|2020-04-12|83.0|0|1.0|0|0.0|0
0|2020-04-13|87.0|0|1.0|0|0.0|0
0|2020-04-14|91.0|0|1.0|0|0.0|0
0|2020-04-15|95.0|0|2.0|0|0.0|0
0|2020-04-16|102.0|0|2.0|0|0.0|0
0|2020-04-17|108.0|0|3.0|0|0.0|0
0|2020-04-18|113.0|0|4.0|0|0.0|0
0|2020-04-19|114.0|0|4.0|0|0.0|0
0|2020-04-20|114.0|0|4.0|0|0.0|0
0|2020-04-21|115.0|0|5.0|0|0.0|0
0|2020-04-22|118.0|0|5.0|0|0.0|0
0|2020-04-23|118.0|0|6.0|0|0.0|0
0|2020-04-24|118.0|0|6.0|0|0.0|0
0|2020-04-25|120.0|0|6.0|0|0.0|0
0|2020-04-26|120.0|0|7.0|0|0.0|0
0|2020-04-27|120.0|0|7.0|0|0.0|0
0|2020-04-28|122.0|0|7.0|0|0.0|0
0|2020-04-29|122.0|0|8.0|0|0.0|0
0|2020-04-30|123.0|0|8.0|0|0.0|0
0|2020-05-01|126.0|0|8.0|0|0.0|0
0|2020-05-02|130.0|0|8.0|0|0.0|0
0|2020-05-03|130.0|0|8.0|0|0.0|0
0|2020-05-04|131.0|0|8.0|0|0.0|0
0|2020-05-05|132.0|0|8.0|0|0.0|0
0|2020-05-06|135.0|0|9.0|0|0.0|0
0|2020-05-07|137.0|0|9.0|0|0.0|0
0|2020-05-08|141.0|0|9.0|0|0.0|0
0|2020-05-09|142.0|0|9.0|0|0.0|0
0|2020-05-10|143.0|0|9.0|0|0.0|0
0|2020-05-11|143.0|0|9.0|0|0.0|0
0|2020-05-12|145.0|0|9.0|0|0.0|0
0|2020-05-13|145.0|0|10.0|0|0.0|0
