|dates|Jefferson_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|11.0|0|0.0|0|0.0|0
0|2020-03-15|12.0|0|0.0|0|0.0|0
0|2020-03-16|16.0|0|0.0|0|0.0|0
0|2020-03-17|35.0|0|0.0|0|0.0|0
0|2020-03-18|40.0|0|0.0|0|0.0|0
0|2020-03-19|62.0|0|1.0|0|0.0|0
0|2020-03-20|104.0|0|2.0|0|0.0|0
0|2020-03-21|166.0|0|3.0|0|0.0|0
0|2020-03-22|166.0|0|3.0|0|0.0|0
0|2020-03-23|252.0|0|5.0|0|0.0|0
0|2020-03-24|293.0|0|6.0|0|0.0|0
0|2020-03-25|359.0|0|7.0|0|0.0|0
0|2020-03-26|458.0|0|12.0|0|0.0|0
0|2020-03-27|548.0|0|24.0|0|0.0|0
0|2020-03-28|744.0|0|26.0|0|0.0|0
0|2020-03-29|761.0|0|28.0|0|0.0|0
0|2020-03-30|838.0|0|37.0|0|0.0|0
0|2020-03-31|1193.0|0|57.0|0|0.0|0
0|2020-04-01|1433.0|0|64.0|0|0.0|0
0|2020-04-02|2178.0|0|73.0|0|0.0|0
0|2020-04-03|2495.0|0|85.0|0|0.0|0
0|2020-04-04|3008.0|0|95.0|0|0.0|0
0|2020-04-05|3088.0|0|113.0|0|0.0|0
0|2020-04-06|3530.0|0|121.0|0|0.0|0
0|2020-04-07|3922.0|0|137.0|0|0.0|0
0|2020-04-08|4092.0|0|149.0|0|0.0|0
0|2020-04-09|4480.0|0|158.0|0|0.0|0
0|2020-04-10|4678.0|0|165.0|0|0.0|0
0|2020-04-11|4877.0|0|166.0|0|0.0|0
0|2020-04-12|4990.0|0|173.0|0|0.0|0
0|2020-04-13|5088.0|0|186.0|0|0.0|0
0|2020-04-14|5188.0|0|210.0|0|0.0|0
0|2020-04-15|5265.0|0|247.0|0|0.0|0
0|2020-04-16|5346.0|0|261.0|0|0.0|0
0|2020-04-17|5476.0|0|269.0|0|0.0|0
0|2020-04-18|5543.0|0|275.0|0|0.0|0
0|2020-04-19|5592.0|0|282.0|0|0.0|0
0|2020-04-20|5761.0|0|286.0|0|0.0|0
0|2020-04-21|5802.0|0|288.0|0|0.0|0
0|2020-04-22|5860.0|0|297.0|0|0.0|0
0|2020-04-23|5929.0|0|306.0|0|0.0|0
0|2020-04-24|5985.0|0|323.0|0|0.0|0
0|2020-04-25|6007.0|0|325.0|0|0.0|0
0|2020-04-26|6059.0|0|329.0|0|0.0|0
0|2020-04-27|6104.0|0|331.0|0|0.0|0
0|2020-04-28|6135.0|0|340.0|0|0.0|0
0|2020-04-29|6173.0|0|340.0|0|0.0|0
0|2020-04-30|6197.0|0|346.0|0|0.0|0
0|2020-05-01|6305.0|0|368.0|0|0.0|0
0|2020-05-02|6362.0|0|369.0|0|0.0|0
0|2020-05-03|6388.0|0|371.0|0|0.0|0
0|2020-05-04|6426.0|0|377.0|0|0.0|0
0|2020-05-05|6491.0|0|381.0|0|0.0|0
0|2020-05-06|6554.0|0|387.0|0|0.0|0
0|2020-05-07|6588.0|0|391.0|0|0.0|0
0|2020-05-08|6610.0|0|392.0|0|0.0|0
0|2020-05-09|6679.0|0|396.0|0|0.0|0
0|2020-05-10|6709.0|0|397.0|0|0.0|0
0|2020-05-11|6709.0|0|397.0|0|0.0|0
0|2020-05-12|6789.0|0|405.0|0|0.0|0
0|2020-05-13|6833.0|0|408.0|0|0.0|0
