|dates|Jefferson_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|3.0|0|0.0|0|0.0|0
0|2020-03-15|3.0|0|0.0|0|0.0|0
0|2020-03-16|3.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|3.0|0|0.0|0|0.0|0
0|2020-03-22|9.0|0|0.0|0|0.0|0
0|2020-03-23|21.0|0|0.0|0|0.0|0
0|2020-03-24|21.0|0|0.0|0|0.0|0
0|2020-03-25|22.0|0|0.0|0|0.0|0
0|2020-03-26|23.0|0|0.0|0|0.0|0
0|2020-03-27|23.0|0|0.0|0|0.0|0
0|2020-03-28|25.0|0|0.0|0|0.0|0
0|2020-03-29|25.0|0|0.0|0|0.0|0
0|2020-03-30|26.0|0|0.0|0|0.0|0
0|2020-03-31|33.0|0|0.0|0|0.0|0
0|2020-04-01|42.0|0|0.0|0|0.0|0
0|2020-04-02|49.0|0|0.0|0|0.0|0
0|2020-04-03|51.0|0|0.0|0|0.0|0
0|2020-04-04|53.0|0|0.0|0|0.0|0
0|2020-04-05|59.0|0|0.0|0|0.0|0
0|2020-04-06|62.0|0|0.0|0|0.0|0
0|2020-04-07|69.0|0|0.0|0|0.0|0
0|2020-04-08|78.0|0|0.0|0|0.0|0
0|2020-04-09|90.0|0|1.0|0|0.0|0
0|2020-04-10|91.0|0|1.0|0|0.0|0
0|2020-04-11|91.0|0|2.0|0|0.0|0
0|2020-04-12|95.0|0|3.0|0|0.0|0
0|2020-04-13|100.0|0|4.0|0|0.0|0
0|2020-04-14|105.0|0|5.0|0|0.0|0
0|2020-04-15|106.0|0|6.0|0|0.0|0
0|2020-04-16|109.0|0|6.0|0|0.0|0
0|2020-04-17|113.0|0|6.0|0|0.0|0
0|2020-04-18|114.0|0|6.0|0|0.0|0
0|2020-04-19|118.0|0|6.0|0|0.0|0
0|2020-04-20|126.0|0|7.0|0|0.0|0
0|2020-04-21|126.0|0|7.0|0|0.0|0
0|2020-04-22|135.0|0|7.0|0|0.0|0
0|2020-04-23|142.0|0|7.0|0|0.0|0
0|2020-04-24|145.0|0|7.0|0|0.0|0
0|2020-04-25|149.0|0|7.0|0|0.0|0
0|2020-04-26|153.0|0|9.0|0|0.0|0
0|2020-04-27|160.0|0|9.0|0|0.0|0
0|2020-04-28|162.0|0|13.0|0|0.0|0
0|2020-04-29|168.0|0|13.0|0|0.0|0
0|2020-04-30|169.0|0|14.0|0|0.0|0
0|2020-05-01|177.0|0|15.0|0|0.0|0
0|2020-05-02|178.0|0|16.0|0|0.0|0
0|2020-05-03|184.0|0|17.0|0|0.0|0
0|2020-05-04|195.0|0|18.0|0|0.0|0
0|2020-05-05|199.0|0|19.0|0|0.0|0
0|2020-05-06|217.0|0|19.0|0|0.0|0
0|2020-05-07|223.0|0|19.0|0|0.0|0
0|2020-05-08|226.0|0|19.0|0|0.0|0
0|2020-05-09|226.0|0|19.0|0|0.0|0
0|2020-05-10|234.0|0|19.0|0|0.0|0
0|2020-05-11|234.0|0|19.0|0|0.0|0
0|2020-05-12|273.0|0|19.0|0|0.0|0
0|2020-05-13|280.0|0|19.0|0|0.0|0
