|dates|Oglethorpe_Georgia_UnitedStates.JHU_ConfirmedCases.data|Oglethorpe_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Oglethorpe_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Oglethorpe_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Oglethorpe_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Oglethorpe_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|0.0|0|0.0|0|0.0|0
0|2020-03-28|0.0|0|0.0|0|0.0|0
0|2020-03-29|0.0|0|0.0|0|0.0|0
0|2020-03-30|0.0|0|0.0|0|0.0|0
0|2020-03-31|1.0|0|0.0|0|0.0|0
0|2020-04-01|1.0|0|0.0|0|0.0|0
0|2020-04-02|1.0|0|1.0|0|0.0|0
0|2020-04-03|1.0|0|1.0|0|0.0|0
0|2020-04-04|1.0|0|1.0|0|0.0|0
0|2020-04-05|1.0|0|1.0|0|0.0|0
0|2020-04-06|1.0|0|1.0|0|0.0|0
0|2020-04-07|2.0|0|1.0|0|0.0|0
0|2020-04-08|2.0|0|1.0|0|0.0|0
0|2020-04-09|2.0|0|1.0|0|0.0|0
0|2020-04-10|11.0|0|1.0|0|0.0|0
0|2020-04-11|12.0|0|1.0|0|0.0|0
0|2020-04-12|12.0|0|1.0|0|0.0|0
0|2020-04-13|13.0|0|1.0|0|0.0|0
0|2020-04-14|19.0|0|1.0|0|0.0|0
0|2020-04-15|19.0|0|1.0|0|0.0|0
0|2020-04-16|31.0|0|1.0|0|0.0|0
0|2020-04-17|32.0|0|1.0|0|0.0|0
0|2020-04-18|32.0|0|2.0|0|0.0|0
0|2020-04-19|32.0|0|2.0|0|0.0|0
0|2020-04-20|34.0|0|2.0|0|0.0|0
0|2020-04-21|34.0|0|3.0|0|0.0|0
0|2020-04-22|37.0|0|3.0|0|0.0|0
0|2020-04-23|36.0|0|3.0|0|0.0|0
0|2020-04-24|48.0|0|3.0|0|0.0|0
0|2020-04-25|48.0|0|3.0|0|0.0|0
0|2020-04-26|47.0|0|3.0|0|0.0|0
0|2020-04-27|48.0|0|3.0|0|0.0|0
0|2020-04-28|48.0|0|3.0|0|0.0|0
0|2020-04-29|49.0|0|3.0|0|0.0|0
0|2020-04-30|48.0|0|3.0|0|0.0|0
0|2020-05-01|49.0|0|3.0|0|0.0|0
0|2020-05-02|50.0|0|3.0|0|0.0|0
0|2020-05-03|50.0|0|3.0|0|0.0|0
0|2020-05-04|50.0|0|3.0|0|0.0|0
0|2020-05-05|52.0|0|3.0|0|0.0|0
0|2020-05-06|51.0|0|3.0|0|0.0|0
0|2020-05-07|53.0|0|3.0|0|0.0|0
0|2020-05-08|56.0|0|4.0|0|0.0|0
0|2020-05-09|56.0|0|4.0|0|0.0|0
0|2020-05-10|56.0|0|4.0|0|0.0|0
0|2020-05-11|56.0|0|4.0|0|0.0|0
0|2020-05-12|56.0|0|4.0|0|0.0|0
0|2020-05-13|56.0|0|4.0|0|0.0|0
