|dates|Wright_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Wright_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Wright_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Wright_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Wright_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Wright_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|3.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|3.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|5.0|0|0.0|0|0.0|0
0|2020-03-27|5.0|0|0.0|0|0.0|0
0|2020-03-28|5.0|0|0.0|0|0.0|0
0|2020-03-29|6.0|0|0.0|0|0.0|0
0|2020-03-30|6.0|0|0.0|0|0.0|0
0|2020-03-31|6.0|0|0.0|0|0.0|0
0|2020-04-01|6.0|0|0.0|0|0.0|0
0|2020-04-02|7.0|0|0.0|0|0.0|0
0|2020-04-03|7.0|0|0.0|0|0.0|0
0|2020-04-04|8.0|0|0.0|0|0.0|0
0|2020-04-05|9.0|0|0.0|0|0.0|0
0|2020-04-06|9.0|0|0.0|0|0.0|0
0|2020-04-07|12.0|0|0.0|0|0.0|0
0|2020-04-08|12.0|0|0.0|0|0.0|0
0|2020-04-09|12.0|0|0.0|0|0.0|0
0|2020-04-10|14.0|0|0.0|0|0.0|0
0|2020-04-11|16.0|0|1.0|0|0.0|0
0|2020-04-12|17.0|0|1.0|0|0.0|0
0|2020-04-13|17.0|0|1.0|0|0.0|0
0|2020-04-14|19.0|0|1.0|0|0.0|0
0|2020-04-15|21.0|0|1.0|0|0.0|0
0|2020-04-16|21.0|0|1.0|0|0.0|0
0|2020-04-17|23.0|0|1.0|0|0.0|0
0|2020-04-18|23.0|0|1.0|0|0.0|0
0|2020-04-19|25.0|0|1.0|0|0.0|0
0|2020-04-20|25.0|0|1.0|0|0.0|0
0|2020-04-21|27.0|0|1.0|0|0.0|0
0|2020-04-22|30.0|0|1.0|0|0.0|0
0|2020-04-23|32.0|0|1.0|0|0.0|0
0|2020-04-24|32.0|0|1.0|0|0.0|0
0|2020-04-25|33.0|0|1.0|0|0.0|0
0|2020-04-26|33.0|0|1.0|0|0.0|0
0|2020-04-27|34.0|0|1.0|0|0.0|0
0|2020-04-28|35.0|0|1.0|0|0.0|0
0|2020-04-29|40.0|0|1.0|0|0.0|0
0|2020-04-30|42.0|0|1.0|0|0.0|0
0|2020-05-01|43.0|0|1.0|0|0.0|0
0|2020-05-02|48.0|0|1.0|0|0.0|0
0|2020-05-03|50.0|0|1.0|0|0.0|0
0|2020-05-04|54.0|0|1.0|0|0.0|0
0|2020-05-05|60.0|0|1.0|0|0.0|0
0|2020-05-06|69.0|0|1.0|0|0.0|0
0|2020-05-07|73.0|0|1.0|0|0.0|0
0|2020-05-08|83.0|0|1.0|0|0.0|0
0|2020-05-09|92.0|0|1.0|0|0.0|0
0|2020-05-10|102.0|0|1.0|0|0.0|0
0|2020-05-11|102.0|0|1.0|0|0.0|0
0|2020-05-12|119.0|0|1.0|0|0.0|0
0|2020-05-13|124.0|0|1.0|0|0.0|0
