|dates|Clermont_Ohio_UnitedStates.JHU_ConfirmedCases.data|Clermont_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Clermont_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Clermont_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Clermont_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Clermont_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|5.0|0|0.0|0|0.0|0
0|2020-03-23|5.0|0|0.0|0|0.0|0
0|2020-03-24|5.0|0|0.0|0|0.0|0
0|2020-03-25|5.0|0|0.0|0|0.0|0
0|2020-03-26|6.0|0|0.0|0|0.0|0
0|2020-03-27|6.0|0|0.0|0|0.0|0
0|2020-03-28|8.0|0|0.0|0|0.0|0
0|2020-03-29|8.0|0|0.0|0|0.0|0
0|2020-03-30|9.0|0|0.0|0|0.0|0
0|2020-03-31|10.0|0|0.0|0|0.0|0
0|2020-04-01|11.0|0|0.0|0|0.0|0
0|2020-04-02|14.0|0|0.0|0|0.0|0
0|2020-04-03|17.0|0|1.0|0|0.0|0
0|2020-04-04|20.0|0|1.0|0|0.0|0
0|2020-04-05|21.0|0|1.0|0|0.0|0
0|2020-04-06|27.0|0|1.0|0|0.0|0
0|2020-04-07|22.0|0|1.0|0|0.0|0
0|2020-04-08|27.0|0|1.0|0|0.0|0
0|2020-04-09|33.0|0|1.0|0|0.0|0
0|2020-04-10|36.0|0|1.0|0|0.0|0
0|2020-04-11|41.0|0|1.0|0|0.0|0
0|2020-04-12|41.0|0|1.0|0|0.0|0
0|2020-04-13|39.0|0|1.0|0|0.0|0
0|2020-04-14|44.0|0|1.0|0|0.0|0
0|2020-04-15|49.0|0|1.0|0|0.0|0
0|2020-04-16|60.0|0|1.0|0|0.0|0
0|2020-04-17|66.0|0|1.0|0|0.0|0
0|2020-04-18|71.0|0|1.0|0|0.0|0
0|2020-04-19|72.0|0|1.0|0|0.0|0
0|2020-04-20|72.0|0|2.0|0|0.0|0
0|2020-04-21|74.0|0|3.0|0|0.0|0
0|2020-04-22|73.0|0|2.0|0|0.0|0
0|2020-04-23|76.0|0|2.0|0|0.0|0
0|2020-04-24|77.0|0|2.0|0|0.0|0
0|2020-04-25|77.0|0|2.0|0|0.0|0
0|2020-04-26|77.0|0|2.0|0|0.0|0
0|2020-04-27|76.0|0|2.0|0|0.0|0
0|2020-04-28|78.0|0|2.0|0|0.0|0
0|2020-04-29|81.0|0|3.0|0|0.0|0
0|2020-04-30|88.0|0|3.0|0|0.0|0
0|2020-05-01|93.0|0|3.0|0|0.0|0
0|2020-05-02|99.0|0|3.0|0|0.0|0
0|2020-05-03|101.0|0|3.0|0|0.0|0
0|2020-05-04|103.0|0|3.0|0|0.0|0
0|2020-05-05|109.0|0|3.0|0|0.0|0
0|2020-05-06|110.0|0|3.0|0|0.0|0
0|2020-05-07|110.0|0|3.0|0|0.0|0
0|2020-05-08|120.0|0|3.0|0|0.0|0
0|2020-05-09|122.0|0|3.0|0|0.0|0
0|2020-05-10|123.0|0|3.0|0|0.0|0
0|2020-05-11|123.0|0|3.0|0|0.0|0
0|2020-05-12|125.0|0|3.0|0|0.0|0
0|2020-05-13|129.0|0|3.0|0|0.0|0
