|dates|Franklin_Alabama_UnitedStates.JHU_ConfirmedCases.data|Franklin_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|2.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|3.0|0|0.0|0|0.0|0
0|2020-03-28|3.0|0|0.0|0|0.0|0
0|2020-03-29|3.0|0|0.0|0|0.0|0
0|2020-03-30|3.0|0|0.0|0|0.0|0
0|2020-03-31|3.0|0|0.0|0|0.0|0
0|2020-04-01|3.0|0|0.0|0|0.0|0
0|2020-04-02|4.0|0|0.0|0|0.0|0
0|2020-04-03|5.0|0|0.0|0|0.0|0
0|2020-04-04|6.0|0|0.0|0|0.0|0
0|2020-04-05|6.0|0|0.0|0|0.0|0
0|2020-04-06|6.0|0|0.0|0|0.0|0
0|2020-04-07|7.0|0|0.0|0|0.0|0
0|2020-04-08|7.0|0|0.0|0|0.0|0
0|2020-04-09|8.0|0|0.0|0|0.0|0
0|2020-04-10|8.0|0|0.0|0|0.0|0
0|2020-04-11|8.0|0|0.0|0|0.0|0
0|2020-04-12|10.0|0|0.0|0|0.0|0
0|2020-04-13|10.0|0|0.0|0|0.0|0
0|2020-04-14|12.0|0|1.0|0|0.0|0
0|2020-04-15|14.0|0|1.0|0|0.0|0
0|2020-04-16|17.0|0|1.0|0|0.0|0
0|2020-04-17|18.0|0|1.0|0|0.0|0
0|2020-04-18|17.0|0|1.0|0|0.0|0
0|2020-04-19|17.0|0|0.0|0|0.0|0
0|2020-04-20|18.0|0|0.0|0|0.0|0
0|2020-04-21|18.0|0|0.0|0|0.0|0
0|2020-04-22|22.0|0|0.0|0|0.0|0
0|2020-04-23|25.0|0|0.0|0|0.0|0
0|2020-04-24|32.0|0|0.0|0|0.0|0
0|2020-04-25|32.0|0|0.0|0|0.0|0
0|2020-04-26|41.0|0|0.0|0|0.0|0
0|2020-04-27|43.0|0|0.0|0|0.0|0
0|2020-04-28|44.0|0|0.0|0|0.0|0
0|2020-04-29|45.0|0|0.0|0|0.0|0
0|2020-04-30|58.0|0|0.0|0|0.0|0
0|2020-05-01|78.0|0|0.0|0|0.0|0
0|2020-05-02|100.0|0|0.0|0|0.0|0
0|2020-05-03|132.0|0|0.0|0|0.0|0
0|2020-05-04|136.0|0|0.0|0|0.0|0
0|2020-05-05|152.0|0|0.0|0|0.0|0
0|2020-05-06|164.0|0|1.0|0|0.0|0
0|2020-05-07|184.0|0|1.0|0|0.0|0
0|2020-05-08|202.0|0|1.0|0|0.0|0
0|2020-05-09|216.0|0|1.0|0|0.0|0
0|2020-05-10|226.0|0|1.0|0|0.0|0
0|2020-05-11|226.0|0|1.0|0|0.0|0
0|2020-05-12|264.0|0|3.0|0|0.0|0
0|2020-05-13|270.0|0|3.0|0|0.0|0
