|dates|Leon_Florida_UnitedStates.JHU_ConfirmedCases.data|Leon_Florida_UnitedStates.JHU_ConfirmedCases.missing|Leon_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Leon_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Leon_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Leon_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|4.0|0|1.0|0|0.0|0
0|2020-03-20|4.0|0|1.0|0|0.0|0
0|2020-03-21|4.0|0|1.0|0|0.0|0
0|2020-03-22|5.0|0|1.0|0|0.0|0
0|2020-03-23|6.0|0|1.0|0|0.0|0
0|2020-03-24|8.0|0|1.0|0|0.0|0
0|2020-03-25|8.0|0|1.0|0|0.0|0
0|2020-03-26|9.0|0|1.0|0|0.0|0
0|2020-03-27|14.0|0|0.0|0|0.0|0
0|2020-03-28|16.0|0|0.0|0|0.0|0
0|2020-03-29|18.0|0|0.0|0|0.0|0
0|2020-03-30|21.0|0|0.0|0|0.0|0
0|2020-03-31|26.0|0|0.0|0|0.0|0
0|2020-04-01|28.0|0|0.0|0|0.0|0
0|2020-04-02|35.0|0|0.0|0|0.0|0
0|2020-04-03|39.0|0|0.0|0|0.0|0
0|2020-04-04|42.0|0|0.0|0|0.0|0
0|2020-04-05|42.0|0|0.0|0|0.0|0
0|2020-04-06|59.0|0|0.0|0|0.0|0
0|2020-04-07|68.0|0|0.0|0|0.0|0
0|2020-04-08|71.0|0|0.0|0|0.0|0
0|2020-04-09|74.0|0|0.0|0|0.0|0
0|2020-04-10|82.0|0|0.0|0|0.0|0
0|2020-04-11|112.0|0|0.0|0|0.0|0
0|2020-04-12|120.0|0|0.0|0|0.0|0
0|2020-04-13|150.0|0|0.0|0|0.0|0
0|2020-04-14|150.0|0|0.0|0|0.0|0
0|2020-04-15|154.0|0|0.0|0|0.0|0
0|2020-04-16|165.0|0|0.0|0|0.0|0
0|2020-04-17|174.0|0|0.0|0|0.0|0
0|2020-04-18|169.0|0|1.0|0|0.0|0
0|2020-04-19|176.0|0|1.0|0|0.0|0
0|2020-04-20|184.0|0|1.0|0|0.0|0
0|2020-04-21|186.0|0|1.0|0|0.0|0
0|2020-04-22|186.0|0|1.0|0|0.0|0
0|2020-04-23|191.0|0|2.0|0|0.0|0
0|2020-04-24|207.0|0|2.0|0|0.0|0
0|2020-04-25|208.0|0|2.0|0|0.0|0
0|2020-04-26|210.0|0|2.0|0|0.0|0
0|2020-04-27|212.0|0|3.0|0|0.0|0
0|2020-04-28|213.0|0|3.0|0|0.0|0
0|2020-04-29|214.0|0|3.0|0|0.0|0
0|2020-04-30|219.0|0|3.0|0|0.0|0
0|2020-05-01|226.0|0|3.0|0|0.0|0
0|2020-05-02|233.0|0|3.0|0|0.0|0
0|2020-05-03|234.0|0|4.0|0|0.0|0
0|2020-05-04|243.0|0|5.0|0|0.0|0
0|2020-05-05|243.0|0|5.0|0|0.0|0
0|2020-05-06|243.0|0|6.0|0|0.0|0
0|2020-05-07|249.0|0|6.0|0|0.0|0
0|2020-05-08|249.0|0|6.0|0|0.0|0
0|2020-05-09|252.0|0|6.0|0|0.0|0
0|2020-05-10|254.0|0|6.0|0|0.0|0
0|2020-05-11|254.0|0|6.0|0|0.0|0
0|2020-05-12|266.0|0|6.0|0|0.0|0
0|2020-05-13|271.0|0|6.0|0|0.0|0
