|dates|Hopkins_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Hopkins_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Hopkins_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Hopkins_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Hopkins_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Hopkins_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|0.0|0|1.0|0|0.0|0
0|2020-03-28|0.0|0|1.0|0|0.0|0
0|2020-03-29|11.0|0|1.0|0|0.0|0
0|2020-03-30|17.0|0|1.0|0|0.0|0
0|2020-03-31|17.0|0|1.0|0|0.0|0
0|2020-04-01|17.0|0|1.0|0|0.0|0
0|2020-04-02|27.0|0|2.0|0|0.0|0
0|2020-04-03|27.0|0|2.0|0|0.0|0
0|2020-04-04|33.0|0|2.0|0|0.0|0
0|2020-04-05|34.0|0|4.0|0|0.0|0
0|2020-04-06|34.0|0|4.0|0|0.0|0
0|2020-04-07|36.0|0|4.0|0|0.0|0
0|2020-04-08|36.0|0|4.0|0|0.0|0
0|2020-04-09|57.0|0|4.0|0|0.0|0
0|2020-04-10|57.0|0|4.0|0|0.0|0
0|2020-04-11|57.0|0|4.0|0|0.0|0
0|2020-04-12|87.0|0|4.0|0|0.0|0
0|2020-04-13|87.0|0|4.0|0|0.0|0
0|2020-04-14|87.0|0|8.0|0|0.0|0
0|2020-04-15|91.0|0|8.0|0|0.0|0
0|2020-04-16|97.0|0|9.0|0|0.0|0
0|2020-04-17|104.0|0|9.0|0|0.0|0
0|2020-04-18|109.0|0|9.0|0|0.0|0
0|2020-04-19|111.0|0|10.0|0|0.0|0
0|2020-04-20|112.0|0|11.0|0|0.0|0
0|2020-04-21|144.0|0|16.0|0|0.0|0
0|2020-04-22|150.0|0|17.0|0|0.0|0
0|2020-04-23|157.0|0|17.0|0|0.0|0
0|2020-04-24|170.0|0|19.0|0|0.0|0
0|2020-04-25|174.0|0|19.0|0|0.0|0
0|2020-04-26|183.0|0|19.0|0|0.0|0
0|2020-04-27|187.0|0|21.0|0|0.0|0
0|2020-04-28|191.0|0|21.0|0|0.0|0
0|2020-04-29|192.0|0|22.0|0|0.0|0
0|2020-04-30|196.0|0|22.0|0|0.0|0
0|2020-05-01|201.0|0|22.0|0|0.0|0
0|2020-05-02|201.0|0|22.0|0|0.0|0
0|2020-05-03|206.0|0|22.0|0|0.0|0
0|2020-05-04|203.0|0|23.0|0|0.0|0
0|2020-05-05|204.0|0|24.0|0|0.0|0
0|2020-05-06|211.0|0|24.0|0|0.0|0
0|2020-05-07|212.0|0|24.0|0|0.0|0
0|2020-05-08|213.0|0|25.0|0|0.0|0
0|2020-05-09|214.0|0|25.0|0|0.0|0
0|2020-05-10|214.0|0|25.0|0|0.0|0
0|2020-05-11|214.0|0|25.0|0|0.0|0
0|2020-05-12|214.0|0|27.0|0|0.0|0
0|2020-05-13|214.0|0|27.0|0|0.0|0
