|dates|Ascension_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Ascension_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Ascension_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Ascension_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Ascension_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Ascension_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|12.0|0|0.0|0|0.0|0
0|2020-03-22|12.0|0|0.0|0|0.0|0
0|2020-03-23|26.0|0|1.0|0|0.0|0
0|2020-03-24|36.0|0|1.0|0|0.0|0
0|2020-03-25|65.0|0|1.0|0|0.0|0
0|2020-03-26|91.0|0|1.0|0|0.0|0
0|2020-03-27|90.0|0|1.0|0|0.0|0
0|2020-03-28|107.0|0|1.0|0|0.0|0
0|2020-03-29|139.0|0|2.0|0|0.0|0
0|2020-03-30|153.0|0|5.0|0|0.0|0
0|2020-03-31|161.0|0|6.0|0|0.0|0
0|2020-04-01|189.0|0|5.0|0|0.0|0
0|2020-04-02|201.0|0|7.0|0|0.0|0
0|2020-04-03|222.0|0|7.0|0|0.0|0
0|2020-04-04|284.0|0|7.0|0|0.0|0
0|2020-04-05|286.0|0|11.0|0|0.0|0
0|2020-04-06|347.0|0|11.0|0|0.0|0
0|2020-04-07|358.0|0|11.0|0|0.0|0
0|2020-04-08|366.0|0|15.0|0|0.0|0
0|2020-04-09|370.0|0|17.0|0|0.0|0
0|2020-04-10|397.0|0|19.0|0|0.0|0
0|2020-04-11|415.0|0|20.0|0|0.0|0
0|2020-04-12|428.0|0|23.0|0|0.0|0
0|2020-04-13|432.0|0|24.0|0|0.0|0
0|2020-04-14|438.0|0|27.0|0|0.0|0
0|2020-04-15|440.0|0|27.0|0|0.0|0
0|2020-04-16|451.0|0|29.0|0|0.0|0
0|2020-04-17|468.0|0|30.0|0|0.0|0
0|2020-04-18|496.0|0|30.0|0|0.0|0
0|2020-04-19|508.0|0|30.0|0|0.0|0
0|2020-04-20|512.0|0|31.0|0|0.0|0
0|2020-04-21|515.0|0|31.0|0|0.0|0
0|2020-04-22|533.0|0|33.0|0|0.0|0
0|2020-04-23|536.0|0|33.0|0|0.0|0
0|2020-04-24|551.0|0|34.0|0|0.0|0
0|2020-04-25|557.0|0|35.0|0|0.0|0
0|2020-04-26|568.0|0|36.0|0|0.0|0
0|2020-04-27|574.0|0|35.0|0|0.0|0
0|2020-04-28|576.0|0|36.0|0|0.0|0
0|2020-04-29|587.0|0|38.0|0|0.0|0
0|2020-04-30|593.0|0|40.0|0|0.0|0
0|2020-05-01|627.0|0|40.0|0|0.0|0
0|2020-05-02|636.0|0|40.0|0|0.0|0
0|2020-05-03|644.0|0|40.0|0|0.0|0
0|2020-05-04|647.0|0|40.0|0|0.0|0
0|2020-05-05|657.0|0|40.0|0|0.0|0
0|2020-05-06|664.0|0|44.0|0|0.0|0
0|2020-05-07|672.0|0|46.0|0|0.0|0
0|2020-05-08|675.0|0|46.0|0|0.0|0
0|2020-05-09|689.0|0|46.0|0|0.0|0
0|2020-05-10|694.0|0|46.0|0|0.0|0
0|2020-05-11|694.0|0|46.0|0|0.0|0
0|2020-05-12|701.0|0|49.0|0|0.0|0
0|2020-05-13|704.0|0|48.0|0|0.0|0
