|dates|Lucas_Ohio_UnitedStates.JHU_ConfirmedCases.data|Lucas_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Lucas_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Lucas_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Lucas_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Lucas_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|1.0|0|0.0|0
0|2020-03-21|4.0|0|1.0|0|0.0|0
0|2020-03-22|7.0|0|1.0|0|0.0|0
0|2020-03-23|10.0|0|1.0|0|0.0|0
0|2020-03-24|13.0|0|1.0|0|0.0|0
0|2020-03-25|23.0|0|2.0|0|0.0|0
0|2020-03-26|35.0|0|2.0|0|0.0|0
0|2020-03-27|48.0|0|2.0|0|0.0|0
0|2020-03-28|67.0|0|2.0|0|0.0|0
0|2020-03-29|94.0|0|2.0|0|0.0|0
0|2020-03-30|114.0|0|3.0|0|0.0|0
0|2020-03-31|133.0|0|3.0|0|0.0|0
0|2020-04-01|171.0|0|3.0|0|0.0|0
0|2020-04-02|206.0|0|3.0|0|0.0|0
0|2020-04-03|233.0|0|4.0|0|0.0|0
0|2020-04-04|272.0|0|7.0|0|0.0|0
0|2020-04-05|302.0|0|8.0|0|0.0|0
0|2020-04-06|321.0|0|12.0|0|0.0|0
0|2020-04-07|347.0|0|16.0|0|0.0|0
0|2020-04-08|371.0|0|16.0|0|0.0|0
0|2020-04-09|403.0|0|16.0|0|0.0|0
0|2020-04-10|443.0|0|16.0|0|0.0|0
0|2020-04-11|490.0|0|21.0|0|0.0|0
0|2020-04-12|503.0|0|21.0|0|0.0|0
0|2020-04-13|514.0|0|21.0|0|0.0|0
0|2020-04-14|540.0|0|25.0|0|0.0|0
0|2020-04-15|596.0|0|28.0|0|0.0|0
0|2020-04-16|644.0|0|28.0|0|0.0|0
0|2020-04-17|682.0|0|28.0|0|0.0|0
0|2020-04-18|724.0|0|31.0|0|0.0|0
0|2020-04-19|789.0|0|33.0|0|0.0|0
0|2020-04-20|823.0|0|33.0|0|0.0|0
0|2020-04-21|853.0|0|36.0|0|0.0|0
0|2020-04-22|878.0|0|44.0|0|0.0|0
0|2020-04-23|936.0|0|55.0|0|0.0|0
0|2020-04-24|985.0|0|58.0|0|0.0|0
0|2020-04-25|1033.0|0|59.0|0|0.0|0
0|2020-04-26|1104.0|0|59.0|0|0.0|0
0|2020-04-27|1130.0|0|61.0|0|0.0|0
0|2020-04-28|1166.0|0|66.0|0|0.0|0
0|2020-04-29|1208.0|0|114.0|0|0.0|0
0|2020-04-30|1251.0|0|117.0|0|0.0|0
0|2020-05-01|1297.0|0|119.0|0|0.0|0
0|2020-05-02|1331.0|0|119.0|0|0.0|0
0|2020-05-03|1376.0|0|119.0|0|0.0|0
0|2020-05-04|1429.0|0|120.0|0|0.0|0
0|2020-05-05|1478.0|0|133.0|0|0.0|0
0|2020-05-06|1527.0|0|151.0|0|0.0|0
0|2020-05-07|1583.0|0|155.0|0|0.0|0
0|2020-05-08|1665.0|0|161.0|0|0.0|0
0|2020-05-09|1710.0|0|164.0|0|0.0|0
0|2020-05-10|1757.0|0|164.0|0|0.0|0
0|2020-05-11|1757.0|0|164.0|0|0.0|0
0|2020-05-12|1836.0|0|179.0|0|0.0|0
0|2020-05-13|1858.0|0|187.0|0|0.0|0
