|dates|Gilliam_Oregon_UnitedStates.JHU_ConfirmedCases.data|Gilliam_Oregon_UnitedStates.JHU_ConfirmedCases.missing|Gilliam_Oregon_UnitedStates.JHU_ConfirmedDeaths.data|Gilliam_Oregon_UnitedStates.JHU_ConfirmedDeaths.missing|Gilliam_Oregon_UnitedStates.JHU_ConfirmedRecoveries.data|Gilliam_Oregon_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|1.0|0|0.0|0|0.0|0
0|2020-03-01|1.0|0|0.0|0|0.0|0
0|2020-03-02|3.0|0|0.0|0|0.0|0
0|2020-03-03|3.0|0|0.0|0|0.0|0
0|2020-03-04|3.0|0|0.0|0|0.0|0
0|2020-03-05|3.0|0|0.0|0|0.0|0
0|2020-03-06|3.0|0|0.0|0|0.0|0
0|2020-03-07|6.0|0|0.0|0|0.0|0
0|2020-03-08|14.0|0|0.0|0|0.0|0
0|2020-03-09|14.0|0|0.0|0|0.0|0
0|2020-03-10|14.0|0|0.0|0|0.0|0
0|2020-03-11|19.0|0|0.0|0|0.0|0
0|2020-03-12|24.0|0|0.0|0|0.0|0
0|2020-03-13|30.0|0|0.0|0|0.0|0
0|2020-03-14|36.0|0|0.0|0|0.0|0
0|2020-03-15|36.0|0|1.0|0|0.0|0
0|2020-03-16|39.0|0|1.0|0|0.0|0
0|2020-03-17|66.0|0|1.0|0|0.0|0
0|2020-03-18|75.0|0|3.0|0|0.0|0
0|2020-03-19|88.0|0|3.0|0|0.0|0
0|2020-03-20|114.0|0|3.0|0|0.0|0
0|2020-03-21|137.0|0|4.0|0|0.0|0
0|2020-03-22|161.0|0|5.0|0|0.0|0
0|2020-03-23|191.0|0|5.0|0|0.0|0
0|2020-03-24|210.0|0|8.0|0|0.0|0
0|2020-03-25|266.0|0|10.0|0|0.0|0
0|2020-03-26|316.0|0|11.0|0|0.0|0
0|2020-03-27|416.0|0|12.0|0|0.0|0
0|2020-03-28|479.0|0|13.0|0|0.0|0
0|2020-03-29|548.0|0|13.0|0|0.0|0
0|2020-03-30|606.0|0|16.0|0|0.0|0
0|2020-03-31|690.0|0|18.0|0|0.0|0
0|2020-04-01|736.0|0|19.0|0|0.0|0
0|2020-04-02|826.0|0|21.0|0|0.0|0
0|2020-04-03|899.0|0|22.0|0|0.0|0
0|2020-04-04|899.0|0|22.0|0|0.0|0
0|2020-04-05|1068.0|0|27.0|0|0.0|0
0|2020-04-06|1068.0|0|27.0|0|0.0|0
0|2020-04-07|1132.0|0|29.0|0|0.0|0
0|2020-04-08|1181.0|0|33.0|0|0.0|0
0|2020-04-09|1321.0|0|44.0|0|0.0|0
0|2020-04-10|1322.0|0|44.0|0|0.0|0
0|2020-04-11|1371.0|0|48.0|0|0.0|0
0|2020-04-12|1527.0|0|52.0|0|0.0|0
0|2020-04-13|1584.0|0|53.0|0|0.0|0
0|2020-04-14|1633.0|0|55.0|0|0.0|0
0|2020-04-15|1663.0|0|58.0|0|0.0|0
0|2020-04-16|1736.0|0|64.0|0|0.0|0
0|2020-04-17|1785.0|0|70.0|0|0.0|0
0|2020-04-18|1844.0|0|72.0|0|0.0|0
0|2020-04-19|1910.0|0|74.0|0|0.0|0
0|2020-04-20|1957.0|0|75.0|0|0.0|0
0|2020-04-21|2004.0|0|78.0|0|0.0|0
0|2020-04-22|2059.0|0|78.0|0|0.0|0
0|2020-04-23|2127.0|0|83.0|0|0.0|0
0|2020-04-24|2177.0|0|86.0|0|0.0|0
0|2020-04-25|2253.0|0|87.0|0|0.0|0
0|2020-04-26|2311.0|0|92.0|0|0.0|0
0|2020-04-27|2354.0|0|92.0|0|0.0|0
0|2020-04-28|2385.0|0|99.0|0|0.0|0
0|2020-04-29|2446.0|0|101.0|0|0.0|0
0|2020-04-30|2510.0|0|103.0|0|0.0|0
0|2020-05-01|2579.0|0|104.0|0|0.0|0
0|2020-05-02|2635.0|0|109.0|0|0.0|0
0|2020-05-03|2680.0|0|109.0|0|0.0|0
0|2020-05-04|2759.0|0|109.0|0|0.0|0
0|2020-05-05|2839.0|0|113.0|0|0.0|0
0|2020-05-06|2839.0|0|113.0|0|0.0|0
0|2020-05-07|2839.0|0|113.0|0|0.0|0
0|2020-05-08|2839.0|0|113.0|0|0.0|0
0|2020-05-09|2839.0|0|113.0|0|0.0|0
0|2020-05-10|2839.0|0|113.0|0|0.0|0
0|2020-05-11|2839.0|0|113.0|0|0.0|0
0|2020-05-12|2839.0|0|113.0|0|0.0|0
0|2020-05-13|2839.0|0|113.0|0|0.0|0
