|dates|Albany_NewYork_UnitedStates.JHU_ConfirmedCases.data|Albany_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Albany_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Albany_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Albany_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Albany_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|7.0|0|0.0|0|0.0|0
0|2020-03-15|7.0|0|0.0|0|0.0|0
0|2020-03-16|15.0|0|0.0|0|0.0|0
0|2020-03-17|25.0|0|0.0|0|0.0|0
0|2020-03-18|36.0|0|0.0|0|0.0|0
0|2020-03-19|43.0|0|0.0|0|0.0|0
0|2020-03-20|70.0|0|0.0|0|0.0|0
0|2020-03-21|88.0|0|0.0|0|0.0|0
0|2020-03-22|123.0|0|0.0|0|0.0|0
0|2020-03-23|127.0|0|0.0|0|0.0|0
0|2020-03-24|146.0|0|0.0|0|0.0|0
0|2020-03-25|152.0|0|0.0|0|0.0|0
0|2020-03-26|171.0|0|0.0|0|0.0|0
0|2020-03-27|187.0|0|0.0|0|0.0|0
0|2020-03-28|195.0|0|0.0|0|0.0|0
0|2020-03-29|205.0|0|1.0|0|0.0|0
0|2020-03-30|217.0|0|1.0|0|0.0|0
0|2020-03-31|226.0|0|1.0|0|0.0|0
0|2020-04-01|240.0|0|1.0|0|0.0|0
0|2020-04-02|253.0|0|2.0|0|0.0|0
0|2020-04-03|267.0|0|2.0|0|0.0|0
0|2020-04-04|293.0|0|6.0|0|0.0|0
0|2020-04-05|305.0|0|8.0|0|0.0|0
0|2020-04-06|319.0|0|8.0|0|0.0|0
0|2020-04-07|333.0|0|8.0|0|0.0|0
0|2020-04-08|342.0|0|9.0|0|0.0|0
0|2020-04-09|379.0|0|11.0|0|0.0|0
0|2020-04-10|426.0|0|11.0|0|0.0|0
0|2020-04-11|446.0|0|12.0|0|0.0|0
0|2020-04-12|478.0|0|12.0|0|0.0|0
0|2020-04-13|499.0|0|14.0|0|0.0|0
0|2020-04-14|535.0|0|16.0|0|0.0|0
0|2020-04-15|548.0|0|20.0|0|0.0|0
0|2020-04-16|581.0|0|20.0|0|0.0|0
0|2020-04-17|619.0|0|20.0|0|0.0|0
0|2020-04-18|648.0|0|20.0|0|0.0|0
0|2020-04-19|682.0|0|20.0|0|0.0|0
0|2020-04-20|687.0|0|22.0|0|0.0|0
0|2020-04-21|704.0|0|23.0|0|0.0|0
0|2020-04-22|737.0|0|23.0|0|0.0|0
0|2020-04-23|758.0|0|30.0|0|0.0|0
0|2020-04-24|805.0|0|31.0|0|0.0|0
0|2020-04-25|899.0|0|31.0|0|0.0|0
0|2020-04-26|948.0|0|32.0|0|0.0|0
0|2020-04-27|979.0|0|36.0|0|0.0|0
0|2020-04-28|1009.0|0|36.0|0|0.0|0
0|2020-04-29|1067.0|0|36.0|0|0.0|0
0|2020-04-30|1165.0|0|41.0|0|0.0|0
0|2020-05-01|1204.0|0|44.0|0|0.0|0
0|2020-05-02|1238.0|0|44.0|0|0.0|0
0|2020-05-03|1258.0|0|49.0|0|0.0|0
0|2020-05-04|1287.0|0|49.0|0|0.0|0
0|2020-05-05|1294.0|0|49.0|0|0.0|0
0|2020-05-06|1321.0|0|53.0|0|0.0|0
0|2020-05-07|1348.0|0|53.0|0|0.0|0
0|2020-05-08|1384.0|0|53.0|0|0.0|0
0|2020-05-09|1416.0|0|59.0|0|0.0|0
0|2020-05-10|1432.0|0|59.0|0|0.0|0
0|2020-05-11|1432.0|0|59.0|0|0.0|0
0|2020-05-12|1479.0|0|61.0|0|0.0|0
0|2020-05-13|1494.0|0|62.0|0|0.0|0
