|dates|RockIsland_Illinois_UnitedStates.JHU_ConfirmedCases.data|RockIsland_Illinois_UnitedStates.JHU_ConfirmedCases.missing|RockIsland_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|RockIsland_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|RockIsland_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|RockIsland_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|4.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|5.0|0|0.0|0|0.0|0
0|2020-03-30|8.0|0|0.0|0|0.0|0
0|2020-03-31|11.0|0|0.0|0|0.0|0
0|2020-04-01|17.0|0|0.0|0|0.0|0
0|2020-04-02|21.0|0|0.0|0|0.0|0
0|2020-04-03|24.0|0|0.0|0|0.0|0
0|2020-04-04|29.0|0|0.0|0|0.0|0
0|2020-04-05|40.0|0|0.0|0|0.0|0
0|2020-04-06|47.0|0|0.0|0|0.0|0
0|2020-04-07|47.0|0|0.0|0|0.0|0
0|2020-04-08|67.0|0|0.0|0|0.0|0
0|2020-04-09|67.0|0|0.0|0|0.0|0
0|2020-04-10|80.0|0|3.0|0|0.0|0
0|2020-04-11|84.0|0|3.0|0|0.0|0
0|2020-04-12|91.0|0|3.0|0|0.0|0
0|2020-04-13|105.0|0|3.0|0|0.0|0
0|2020-04-14|113.0|0|3.0|0|0.0|0
0|2020-04-15|138.0|0|4.0|0|0.0|0
0|2020-04-16|154.0|0|4.0|0|0.0|0
0|2020-04-17|167.0|0|4.0|0|0.0|0
0|2020-04-18|187.0|0|4.0|0|0.0|0
0|2020-04-19|188.0|0|4.0|0|0.0|0
0|2020-04-20|211.0|0|4.0|0|0.0|0
0|2020-04-21|217.0|0|5.0|0|0.0|0
0|2020-04-22|242.0|0|6.0|0|0.0|0
0|2020-04-23|247.0|0|6.0|0|0.0|0
0|2020-04-24|270.0|0|6.0|0|0.0|0
0|2020-04-25|293.0|0|6.0|0|0.0|0
0|2020-04-26|304.0|0|6.0|0|0.0|0
0|2020-04-27|323.0|0|8.0|0|0.0|0
0|2020-04-28|342.0|0|9.0|0|0.0|0
0|2020-04-29|369.0|0|9.0|0|0.0|0
0|2020-04-30|377.0|0|9.0|0|0.0|0
0|2020-05-01|389.0|0|9.0|0|0.0|0
0|2020-05-02|412.0|0|9.0|0|0.0|0
0|2020-05-03|436.0|0|9.0|0|0.0|0
0|2020-05-04|452.0|0|9.0|0|0.0|0
0|2020-05-05|454.0|0|12.0|0|0.0|0
0|2020-05-06|465.0|0|14.0|0|0.0|0
0|2020-05-07|477.0|0|15.0|0|0.0|0
0|2020-05-08|498.0|0|15.0|0|0.0|0
0|2020-05-09|507.0|0|16.0|0|0.0|0
0|2020-05-10|515.0|0|16.0|0|0.0|0
0|2020-05-11|515.0|0|16.0|0|0.0|0
0|2020-05-12|530.0|0|17.0|0|0.0|0
0|2020-05-13|538.0|0|17.0|0|0.0|0
