|dates|Washington_Maryland_UnitedStates.JHU_ConfirmedCases.data|Washington_Maryland_UnitedStates.JHU_ConfirmedCases.missing|Washington_Maryland_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Maryland_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Maryland_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Maryland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|4.0|0|0.0|0|0.0|0
0|2020-03-26|4.0|0|0.0|0|0.0|0
0|2020-03-27|5.0|0|0.0|0|0.0|0
0|2020-03-28|6.0|0|0.0|0|0.0|0
0|2020-03-29|6.0|0|0.0|0|0.0|0
0|2020-03-30|7.0|0|0.0|0|0.0|0
0|2020-03-31|11.0|0|0.0|0|0.0|0
0|2020-04-01|15.0|0|0.0|0|0.0|0
0|2020-04-02|17.0|0|0.0|0|0.0|0
0|2020-04-03|27.0|0|0.0|0|0.0|0
0|2020-04-04|29.0|0|0.0|0|0.0|0
0|2020-04-05|34.0|0|0.0|0|0.0|0
0|2020-04-06|37.0|0|0.0|0|0.0|0
0|2020-04-07|44.0|0|0.0|0|0.0|0
0|2020-04-08|57.0|0|0.0|0|0.0|0
0|2020-04-09|60.0|0|0.0|0|0.0|0
0|2020-04-10|66.0|0|0.0|0|0.0|0
0|2020-04-11|72.0|0|1.0|0|0.0|0
0|2020-04-12|75.0|0|1.0|0|0.0|0
0|2020-04-13|93.0|0|1.0|0|0.0|0
0|2020-04-14|96.0|0|1.0|0|0.0|0
0|2020-04-15|106.0|0|1.0|0|0.0|0
0|2020-04-16|109.0|0|1.0|0|0.0|0
0|2020-04-17|116.0|0|1.0|0|0.0|0
0|2020-04-18|116.0|0|3.0|0|0.0|0
0|2020-04-19|117.0|0|3.0|0|0.0|0
0|2020-04-20|123.0|0|3.0|0|0.0|0
0|2020-04-21|126.0|0|3.0|0|0.0|0
0|2020-04-22|127.0|0|3.0|0|0.0|0
0|2020-04-23|139.0|0|3.0|0|0.0|0
0|2020-04-24|139.0|0|3.0|0|0.0|0
0|2020-04-25|154.0|0|3.0|0|0.0|0
0|2020-04-26|173.0|0|3.0|0|0.0|0
0|2020-04-27|181.0|0|3.0|0|0.0|0
0|2020-04-28|187.0|0|3.0|0|0.0|0
0|2020-04-29|197.0|0|3.0|0|0.0|0
0|2020-04-30|206.0|0|4.0|0|0.0|0
0|2020-05-01|216.0|0|4.0|0|0.0|0
0|2020-05-02|225.0|0|6.0|0|0.0|0
0|2020-05-03|232.0|0|6.0|0|0.0|0
0|2020-05-04|237.0|0|6.0|0|0.0|0
0|2020-05-05|238.0|0|6.0|0|0.0|0
0|2020-05-06|251.0|0|7.0|0|0.0|0
0|2020-05-07|260.0|0|7.0|0|0.0|0
0|2020-05-08|259.0|0|7.0|0|0.0|0
0|2020-05-09|265.0|0|8.0|0|0.0|0
0|2020-05-10|276.0|0|9.0|0|0.0|0
0|2020-05-11|276.0|0|9.0|0|0.0|0
0|2020-05-12|284.0|0|9.0|0|0.0|0
0|2020-05-13|287.0|0|9.0|0|0.0|0
