|dates|Unassigned_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Unassigned_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|22.0|0|0.0|0|0.0|0
0|2020-03-20|43.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|30.0|0|0.0|0|0.0|0
0|2020-03-23|84.0|0|0.0|0|0.0|0
0|2020-03-24|68.0|0|0.0|0|0.0|0
0|2020-03-25|111.0|0|0.0|0|0.0|0
0|2020-03-26|142.0|0|0.0|0|0.0|0
0|2020-03-27|202.0|0|3.0|0|0.0|0
0|2020-03-28|191.0|0|4.0|0|0.0|0
0|2020-03-29|220.0|0|4.0|0|0.0|0
0|2020-03-30|227.0|0|4.0|0|0.0|0
0|2020-03-31|337.0|0|11.0|0|0.0|0
0|2020-04-01|472.0|0|11.0|0|0.0|0
0|2020-04-02|36.0|0|0.0|0|0.0|0
0|2020-04-03|84.0|0|0.0|0|0.0|0
0|2020-04-04|93.0|0|0.0|0|0.0|0
0|2020-04-05|116.0|0|0.0|0|0.0|0
0|2020-04-06|99.0|0|0.0|0|0.0|0
0|2020-04-07|89.0|0|0.0|0|0.0|0
0|2020-04-08|61.0|0|0.0|0|0.0|0
0|2020-04-09|68.0|0|0.0|0|0.0|0
0|2020-04-10|52.0|0|0.0|0|0.0|0
0|2020-04-11|49.0|0|0.0|0|0.0|0
0|2020-04-12|42.0|0|0.0|0|0.0|0
0|2020-04-13|76.0|0|0.0|0|0.0|0
0|2020-04-14|166.0|0|0.0|0|0.0|0
0|2020-04-15|166.0|0|0.0|0|0.0|0
0|2020-04-16|227.0|0|0.0|0|0.0|0
0|2020-04-17|239.0|0|0.0|0|0.0|0
0|2020-04-18|67.0|0|0.0|0|0.0|0
0|2020-04-19|118.0|0|0.0|0|0.0|0
0|2020-04-20|87.0|0|0.0|0|0.0|0
0|2020-04-21|66.0|0|0.0|0|0.0|0
0|2020-04-22|66.0|0|0.0|0|0.0|0
0|2020-04-23|60.0|0|0.0|0|0.0|0
0|2020-04-24|49.0|0|0.0|0|0.0|0
0|2020-04-25|78.0|0|0.0|0|0.0|0
0|2020-04-26|67.0|0|0.0|0|0.0|0
0|2020-04-27|79.0|0|0.0|0|0.0|0
0|2020-04-28|65.0|0|0.0|0|0.0|0
0|2020-04-29|72.0|0|0.0|0|0.0|0
0|2020-04-30|63.0|0|0.0|0|0.0|0
0|2020-05-01|63.0|0|0.0|0|0.0|0
0|2020-05-02|116.0|0|0.0|0|0.0|0
0|2020-05-03|148.0|0|0.0|0|0.0|0
0|2020-05-04|163.0|0|0.0|0|0.0|0
0|2020-05-05|119.0|0|0.0|0|0.0|0
0|2020-05-06|106.0|0|1.0|0|0.0|0
0|2020-05-07|86.0|0|1.0|0|0.0|0
0|2020-05-08|60.0|0|1.0|0|0.0|0
0|2020-05-09|63.0|0|0.0|0|0.0|0
0|2020-05-10|64.0|0|0.0|0|0.0|0
0|2020-05-11|64.0|0|0.0|0|0.0|0
0|2020-05-12|254.0|0|0.0|0|0.0|0
0|2020-05-13|158.0|0|0.0|0|0.0|0
