|dates|Nacogdoches_Texas_UnitedStates.JHU_ConfirmedCases.data|Nacogdoches_Texas_UnitedStates.JHU_ConfirmedCases.missing|Nacogdoches_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Nacogdoches_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Nacogdoches_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Nacogdoches_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|1.0|0|0.0|0|0.0|0
0|2020-03-26|1.0|0|0.0|0|0.0|0
0|2020-03-27|1.0|0|0.0|0|0.0|0
0|2020-03-28|1.0|0|0.0|0|0.0|0
0|2020-03-29|2.0|0|0.0|0|0.0|0
0|2020-03-30|2.0|0|0.0|0|0.0|0
0|2020-03-31|2.0|0|0.0|0|0.0|0
0|2020-04-01|4.0|0|0.0|0|0.0|0
0|2020-04-02|5.0|0|0.0|0|0.0|0
0|2020-04-03|12.0|0|1.0|0|0.0|0
0|2020-04-04|15.0|0|2.0|0|0.0|0
0|2020-04-05|16.0|0|2.0|0|0.0|0
0|2020-04-06|18.0|0|2.0|0|0.0|0
0|2020-04-07|21.0|0|2.0|0|0.0|0
0|2020-04-08|25.0|0|2.0|0|0.0|0
0|2020-04-09|25.0|0|2.0|0|0.0|0
0|2020-04-10|31.0|0|3.0|0|0.0|0
0|2020-04-11|31.0|0|3.0|0|0.0|0
0|2020-04-12|47.0|0|3.0|0|0.0|0
0|2020-04-13|48.0|0|3.0|0|0.0|0
0|2020-04-14|56.0|0|4.0|0|0.0|0
0|2020-04-15|64.0|0|6.0|0|0.0|0
0|2020-04-16|69.0|0|6.0|0|0.0|0
0|2020-04-17|75.0|0|6.0|0|0.0|0
0|2020-04-18|88.0|0|6.0|0|0.0|0
0|2020-04-19|89.0|0|6.0|0|0.0|0
0|2020-04-20|91.0|0|6.0|0|0.0|0
0|2020-04-21|96.0|0|6.0|0|0.0|0
0|2020-04-22|98.0|0|6.0|0|0.0|0
0|2020-04-23|111.0|0|7.0|0|0.0|0
0|2020-04-24|115.0|0|7.0|0|0.0|0
0|2020-04-25|115.0|0|7.0|0|0.0|0
0|2020-04-26|125.0|0|7.0|0|0.0|0
0|2020-04-27|125.0|0|7.0|0|0.0|0
0|2020-04-28|141.0|0|7.0|0|0.0|0
0|2020-04-29|141.0|0|7.0|0|0.0|0
0|2020-04-30|157.0|0|7.0|0|0.0|0
0|2020-05-01|160.0|0|7.0|0|0.0|0
0|2020-05-02|172.0|0|7.0|0|0.0|0
0|2020-05-03|172.0|0|7.0|0|0.0|0
0|2020-05-04|174.0|0|7.0|0|0.0|0
0|2020-05-05|187.0|0|7.0|0|0.0|0
0|2020-05-06|189.0|0|7.0|0|0.0|0
0|2020-05-07|202.0|0|7.0|0|0.0|0
0|2020-05-08|202.0|0|7.0|0|0.0|0
0|2020-05-09|202.0|0|7.0|0|0.0|0
0|2020-05-10|206.0|0|9.0|0|0.0|0
0|2020-05-11|206.0|0|9.0|0|0.0|0
0|2020-05-12|221.0|0|9.0|0|0.0|0
0|2020-05-13|224.0|0|9.0|0|0.0|0
