|dates|Dickson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Dickson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Dickson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Dickson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Dickson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Dickson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|3.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|5.0|0|0.0|0|0.0|0
0|2020-03-24|5.0|0|0.0|0|0.0|0
0|2020-03-25|5.0|0|0.0|0|0.0|0
0|2020-03-26|7.0|0|0.0|0|0.0|0
0|2020-03-27|9.0|0|0.0|0|0.0|0
0|2020-03-28|11.0|0|0.0|0|0.0|0
0|2020-03-29|11.0|0|0.0|0|0.0|0
0|2020-03-30|11.0|0|0.0|0|0.0|0
0|2020-03-31|17.0|0|0.0|0|0.0|0
0|2020-04-01|18.0|0|0.0|0|0.0|0
0|2020-04-02|20.0|0|0.0|0|0.0|0
0|2020-04-03|21.0|0|0.0|0|0.0|0
0|2020-04-04|22.0|0|0.0|0|0.0|0
0|2020-04-05|23.0|0|0.0|0|0.0|0
0|2020-04-06|24.0|0|0.0|0|0.0|0
0|2020-04-07|27.0|0|0.0|0|0.0|0
0|2020-04-08|26.0|0|0.0|0|0.0|0
0|2020-04-09|28.0|0|0.0|0|0.0|0
0|2020-04-10|29.0|0|0.0|0|0.0|0
0|2020-04-11|30.0|0|0.0|0|0.0|0
0|2020-04-12|30.0|0|0.0|0|0.0|0
0|2020-04-13|30.0|0|0.0|0|0.0|0
0|2020-04-14|33.0|0|0.0|0|0.0|0
0|2020-04-15|33.0|0|0.0|0|0.0|0
0|2020-04-16|37.0|0|0.0|0|0.0|0
0|2020-04-17|39.0|0|0.0|0|0.0|0
0|2020-04-18|42.0|0|0.0|0|0.0|0
0|2020-04-19|45.0|0|0.0|0|0.0|0
0|2020-04-20|46.0|0|0.0|0|0.0|0
0|2020-04-21|46.0|0|0.0|0|0.0|0
0|2020-04-22|46.0|0|0.0|0|0.0|0
0|2020-04-23|56.0|0|0.0|0|0.0|0
0|2020-04-24|63.0|0|0.0|0|0.0|0
0|2020-04-25|64.0|0|0.0|0|0.0|0
0|2020-04-26|66.0|0|0.0|0|0.0|0
0|2020-04-27|70.0|0|0.0|0|0.0|0
0|2020-04-28|71.0|0|0.0|0|0.0|0
0|2020-04-29|72.0|0|0.0|0|0.0|0
0|2020-04-30|72.0|0|0.0|0|0.0|0
0|2020-05-01|74.0|0|0.0|0|0.0|0
0|2020-05-02|77.0|0|0.0|0|0.0|0
0|2020-05-03|80.0|0|0.0|0|0.0|0
0|2020-05-04|82.0|0|0.0|0|0.0|0
0|2020-05-05|84.0|0|0.0|0|0.0|0
0|2020-05-06|84.0|0|0.0|0|0.0|0
0|2020-05-07|85.0|0|0.0|0|0.0|0
0|2020-05-08|85.0|0|0.0|0|0.0|0
0|2020-05-09|85.0|0|0.0|0|0.0|0
0|2020-05-10|86.0|0|0.0|0|0.0|0
0|2020-05-11|86.0|0|0.0|0|0.0|0
0|2020-05-12|88.0|0|0.0|0|0.0|0
0|2020-05-13|88.0|0|0.0|0|0.0|0
