|dates|Peach_Georgia_UnitedStates.JHU_ConfirmedCases.data|Peach_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Peach_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Peach_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Peach_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Peach_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|3.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|4.0|0|0.0|0|0.0|0
0|2020-03-26|5.0|0|0.0|0|0.0|0
0|2020-03-27|6.0|0|0.0|0|0.0|0
0|2020-03-28|6.0|0|0.0|0|0.0|0
0|2020-03-29|6.0|0|0.0|0|0.0|0
0|2020-03-30|7.0|0|1.0|0|0.0|0
0|2020-03-31|7.0|0|1.0|0|0.0|0
0|2020-04-01|7.0|0|1.0|0|0.0|0
0|2020-04-02|7.0|0|1.0|0|0.0|0
0|2020-04-03|9.0|0|1.0|0|0.0|0
0|2020-04-04|10.0|0|1.0|0|0.0|0
0|2020-04-05|13.0|0|1.0|0|0.0|0
0|2020-04-06|15.0|0|2.0|0|0.0|0
0|2020-04-07|16.0|0|2.0|0|0.0|0
0|2020-04-08|19.0|0|2.0|0|0.0|0
0|2020-04-09|20.0|0|2.0|0|0.0|0
0|2020-04-10|20.0|0|2.0|0|0.0|0
0|2020-04-11|21.0|0|2.0|0|0.0|0
0|2020-04-12|22.0|0|2.0|0|0.0|0
0|2020-04-13|24.0|0|2.0|0|0.0|0
0|2020-04-14|24.0|0|2.0|0|0.0|0
0|2020-04-15|24.0|0|2.0|0|0.0|0
0|2020-04-16|28.0|0|2.0|0|0.0|0
0|2020-04-17|31.0|0|2.0|0|0.0|0
0|2020-04-18|32.0|0|2.0|0|0.0|0
0|2020-04-19|32.0|0|2.0|0|0.0|0
0|2020-04-20|35.0|0|2.0|0|0.0|0
0|2020-04-21|35.0|0|2.0|0|0.0|0
0|2020-04-22|35.0|0|2.0|0|0.0|0
0|2020-04-23|36.0|0|2.0|0|0.0|0
0|2020-04-24|37.0|0|2.0|0|0.0|0
0|2020-04-25|37.0|0|2.0|0|0.0|0
0|2020-04-26|37.0|0|2.0|0|0.0|0
0|2020-04-27|39.0|0|2.0|0|0.0|0
0|2020-04-28|44.0|0|2.0|0|0.0|0
0|2020-04-29|45.0|0|2.0|0|0.0|0
0|2020-04-30|46.0|0|2.0|0|0.0|0
0|2020-05-01|52.0|0|2.0|0|0.0|0
0|2020-05-02|56.0|0|2.0|0|0.0|0
0|2020-05-03|55.0|0|2.0|0|0.0|0
0|2020-05-04|59.0|0|2.0|0|0.0|0
0|2020-05-05|60.0|0|2.0|0|0.0|0
0|2020-05-06|61.0|0|2.0|0|0.0|0
0|2020-05-07|61.0|0|2.0|0|0.0|0
0|2020-05-08|62.0|0|2.0|0|0.0|0
0|2020-05-09|62.0|0|2.0|0|0.0|0
0|2020-05-10|63.0|0|2.0|0|0.0|0
0|2020-05-11|63.0|0|2.0|0|0.0|0
0|2020-05-12|68.0|0|2.0|0|0.0|0
0|2020-05-13|69.0|0|2.0|0|0.0|0
