|dates|Washoe_Nevada_UnitedStates.JHU_ConfirmedCases.data|Washoe_Nevada_UnitedStates.JHU_ConfirmedCases.missing|Washoe_Nevada_UnitedStates.JHU_ConfirmedDeaths.data|Washoe_Nevada_UnitedStates.JHU_ConfirmedDeaths.missing|Washoe_Nevada_UnitedStates.JHU_ConfirmedRecoveries.data|Washoe_Nevada_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|1.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|2.0|0|0.0|0|0.0|0
0|2020-03-09|2.0|0|0.0|0|0.0|0
0|2020-03-10|2.0|0|0.0|0|0.0|0
0|2020-03-11|2.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|4.0|0|0.0|0|0.0|0
0|2020-03-15|4.0|0|0.0|0|0.0|0
0|2020-03-16|9.0|0|0.0|0|0.0|0
0|2020-03-17|12.0|0|0.0|0|0.0|0
0|2020-03-18|12.0|0|0.0|0|0.0|0
0|2020-03-19|14.0|0|0.0|0|0.0|0
0|2020-03-20|14.0|0|0.0|0|0.0|0
0|2020-03-21|22.0|0|0.0|0|0.0|0
0|2020-03-22|25.0|0|0.0|0|0.0|0
0|2020-03-23|25.0|0|0.0|0|0.0|0
0|2020-03-24|44.0|0|0.0|0|0.0|0
0|2020-03-25|50.0|0|0.0|0|0.0|0
0|2020-03-26|57.0|0|0.0|0|0.0|0
0|2020-03-27|67.0|0|0.0|0|0.0|0
0|2020-03-28|75.0|0|0.0|0|0.0|0
0|2020-03-29|107.0|0|1.0|0|0.0|0
0|2020-03-30|111.0|0|1.0|0|0.0|0
0|2020-03-31|121.0|0|3.0|0|0.0|0
0|2020-04-01|143.0|0|3.0|0|0.0|0
0|2020-04-02|163.0|0|4.0|0|0.0|0
0|2020-04-03|184.0|0|4.0|0|0.0|0
0|2020-04-04|245.0|0|4.0|0|0.0|0
0|2020-04-05|264.0|0|4.0|0|0.0|0
0|2020-04-06|264.0|0|4.0|0|0.0|0
0|2020-04-07|309.0|0|5.0|0|0.0|0
0|2020-04-08|326.0|0|6.0|0|0.0|0
0|2020-04-09|326.0|0|8.0|0|0.0|0
0|2020-04-10|363.0|0|10.0|0|0.0|0
0|2020-04-11|389.0|0|10.0|0|0.0|0
0|2020-04-12|415.0|0|11.0|0|0.0|0
0|2020-04-13|461.0|0|12.0|0|0.0|0
0|2020-04-14|532.0|0|12.0|0|0.0|0
0|2020-04-15|549.0|0|14.0|0|0.0|0
0|2020-04-16|549.0|0|14.0|0|0.0|0
0|2020-04-17|572.0|0|15.0|0|0.0|0
0|2020-04-18|588.0|0|16.0|0|0.0|0
0|2020-04-19|637.0|0|18.0|0|0.0|0
0|2020-04-20|662.0|0|18.0|0|0.0|0
0|2020-04-21|662.0|0|18.0|0|0.0|0
0|2020-04-22|710.0|0|18.0|0|0.0|0
0|2020-04-23|736.0|0|22.0|0|0.0|0
0|2020-04-24|736.0|0|22.0|0|0.0|0
0|2020-04-25|791.0|0|27.0|0|0.0|0
0|2020-04-26|804.0|0|27.0|0|0.0|0
0|2020-04-27|804.0|0|27.0|0|0.0|0
0|2020-04-28|834.0|0|29.0|0|0.0|0
0|2020-04-29|848.0|0|30.0|0|0.0|0
0|2020-04-30|873.0|0|30.0|0|0.0|0
0|2020-05-01|921.0|0|33.0|0|0.0|0
0|2020-05-02|949.0|0|33.0|0|0.0|0
0|2020-05-03|977.0|0|33.0|0|0.0|0
0|2020-05-04|988.0|0|34.0|0|0.0|0
0|2020-05-05|1014.0|0|36.0|0|0.0|0
0|2020-05-06|1022.0|0|37.0|0|0.0|0
0|2020-05-07|1030.0|0|38.0|0|0.0|0
0|2020-05-08|1065.0|0|39.0|0|0.0|0
0|2020-05-09|1077.0|0|39.0|0|0.0|0
0|2020-05-10|1095.0|0|39.0|0|0.0|0
0|2020-05-11|1095.0|0|39.0|0|0.0|0
0|2020-05-12|1116.0|0|40.0|0|0.0|0
0|2020-05-13|1132.0|0|43.0|0|0.0|0
