|dates|SantaBarbara_California_UnitedStates.JHU_ConfirmedCases.data|SantaBarbara_California_UnitedStates.JHU_ConfirmedCases.missing|SantaBarbara_California_UnitedStates.JHU_ConfirmedDeaths.data|SantaBarbara_California_UnitedStates.JHU_ConfirmedDeaths.missing|SantaBarbara_California_UnitedStates.JHU_ConfirmedRecoveries.data|SantaBarbara_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|8.0|0|0.0|0|0.0|0
0|2020-03-20|9.0|0|0.0|0|0.0|0
0|2020-03-21|9.0|0|0.0|0|0.0|0
0|2020-03-22|13.0|0|0.0|0|0.0|0
0|2020-03-23|18.0|0|0.0|0|0.0|0
0|2020-03-24|18.0|0|0.0|0|0.0|0
0|2020-03-25|24.0|0|0.0|0|0.0|0
0|2020-03-26|26.0|0|0.0|0|0.0|0
0|2020-03-27|32.0|0|0.0|0|0.0|0
0|2020-03-28|47.0|0|0.0|0|0.0|0
0|2020-03-29|64.0|0|0.0|0|0.0|0
0|2020-03-30|68.0|0|0.0|0|0.0|0
0|2020-03-31|88.0|0|0.0|0|0.0|0
0|2020-04-01|99.0|0|0.0|0|0.0|0
0|2020-04-02|111.0|0|1.0|0|0.0|0
0|2020-04-03|139.0|0|1.0|0|0.0|0
0|2020-04-04|152.0|0|1.0|0|0.0|0
0|2020-04-05|168.0|0|1.0|0|0.0|0
0|2020-04-06|174.0|0|2.0|0|0.0|0
0|2020-04-07|192.0|0|2.0|0|0.0|0
0|2020-04-08|218.0|0|2.0|0|0.0|0
0|2020-04-09|228.0|0|2.0|0|0.0|0
0|2020-04-10|243.0|0|2.0|0|0.0|0
0|2020-04-11|260.0|0|2.0|0|0.0|0
0|2020-04-12|264.0|0|2.0|0|0.0|0
0|2020-04-13|267.0|0|2.0|0|0.0|0
0|2020-04-14|284.0|0|2.0|0|0.0|0
0|2020-04-15|313.0|0|2.0|0|0.0|0
0|2020-04-16|334.0|0|2.0|0|0.0|0
0|2020-04-17|354.0|0|3.0|0|0.0|0
0|2020-04-18|373.0|0|3.0|0|0.0|0
0|2020-04-19|385.0|0|4.0|0|0.0|0
0|2020-04-20|394.0|0|4.0|0|0.0|0
0|2020-04-21|416.0|0|4.0|0|0.0|0
0|2020-04-22|429.0|0|5.0|0|0.0|0
0|2020-04-23|451.0|0|5.0|0|0.0|0
0|2020-04-24|460.0|0|6.0|0|0.0|0
0|2020-04-25|469.0|0|7.0|0|0.0|0
0|2020-04-26|469.0|0|7.0|0|0.0|0
0|2020-04-27|471.0|0|7.0|0|0.0|0
0|2020-04-28|473.0|0|7.0|0|0.0|0
0|2020-04-29|485.0|0|8.0|0|0.0|0
0|2020-04-30|485.0|0|8.0|0|0.0|0
0|2020-05-01|506.0|0|8.0|0|0.0|0
0|2020-05-02|506.0|0|8.0|0|0.0|0
0|2020-05-03|514.0|0|8.0|0|0.0|0
0|2020-05-04|514.0|0|8.0|0|0.0|0
0|2020-05-05|526.0|0|8.0|0|0.0|0
0|2020-05-06|613.0|0|9.0|0|0.0|0
0|2020-05-07|613.0|0|9.0|0|0.0|0
0|2020-05-08|722.0|0|10.0|0|0.0|0
0|2020-05-09|1250.0|0|11.0|0|0.0|0
0|2020-05-10|1250.0|0|11.0|0|0.0|0
0|2020-05-11|1250.0|0|11.0|0|0.0|0
0|2020-05-12|1371.0|0|11.0|0|0.0|0
0|2020-05-13|1371.0|0|11.0|0|0.0|0
